C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717014|*Heavy Metals|C0347988|82143|ET|Entry Term Replacement for "Metals, Heavy";RtM via: Metals, Heavy;Forced Non-Leaf Node Lookup:heavy metals|TI|MM;RC|73^12^0
41717014|*Insecta|C0021585|5073|MH|RtM via: Plecoptera (Burmeister, 1839);Forced Non-Leaf Node Lookup:trichoptera;Forced Non-Leaf Node Lookup:plecoptera|TI|MM;RC|123^10^0;138^11^0
41717015|United States|C0041703|611017|CT|Forced Leaf Node Lookup:american|TI|MM|64^8^0
41717015|*Populus|C0522458|610017|MH|RtM via: Populus fremontii;Forced Leaf Node Lookup:populus fremontii;checkForceMH Boosted|TI|MM;RC|447^17^0;918^7^0;719^7^0
41717015|*Salix|C0995181|607645|MH|RtM via: Willow;RtM via: Salix gooddingii;RtM via: Salicin extract;Forced Leaf Node Lookup:salix;checkForceMH Boosted|TI|MM;RC|930^5^0;731^5^0;466^16^0
41717015|*Tamaricaceae|C1084540|491530|MH|RtM via: Tamarix;RtM via: Tamarix ramosissima;Forced Leaf Node Lookup:tamarix;checkForceMH Boosted|TI|MM;RC|769^7^0;488^19^0
41717015|*Trees|C0040811|263602|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|1434^4^0
41717015|*Rivers|C0337050|198071|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|574^5^0
41717015|*Ecosystem|C0162358|194180|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|82^10^0
41717015|*Soil|C0037592|187385|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1285^4^0;1354^4^0
41717015|*Water|C0043047|131564|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1550^5^0
41717015|*Dehydration|C0011175|100988|MH|RtM via: Water Stress;Forced Leaf Node Lookup:water stress|TI|MM|1416^12^0
41717015|Arizona|C0003787|79925|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM;RC|581^7^0
41717015|*Groundwater|C0596631|131289|MH|RtM via: Water Table;RtM via: Groundwater;Forced Non-Leaf Node Lookup:groundwaters|TI|MM;RC|1490^11^0;1091^11^0;818^11^0;1046^11^0;626^11^0;406^11^0;195^11^0;127^11^0;373^11^0
41717015|*Woods|C0043217|39531|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|21^5^0
41717015|Plant Roots|C0242726|1000|MH|Forced Non-Leaf Node Lookup:plant roots||MM|1168^11^0
41717016|Animals|C0003062|151805|CT|Antelopes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Antelopes);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
41717016|*Ecosystem|C0162358|150805|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM;RC|866^10^0;815^7^0;480^7^0;324^7^0;146^7^0;951^7^0
41717016|*Grass|C0018210|148099|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM;RC|1758^5^0
41717016|*Sagebrush|C0331308|129616|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia (plant);RtM via: Artemisia tridentata;RtM via: Artemisia spinescens;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM;RC|1943^9^0;1727^9^0;1515^9^0;1396^9^0;1210^9^0;1143^9^0;839^9^0;683^9^0;1939^13^0;1511^13^0;1206^13^0;1139^13^0;707^20^0;679^13^0;1320^9^0;1628^9^0
41717016|*Atriplex|C0949801|100182|MH|RtM via: Atriplex;RtM via: Atriplex canescens;RtM via: Atriplex lentiformis;Forced Leaf Node Lookup:saltbushs;Forced Leaf Node Lookup:atriplex;checkForceMH Boosted|TI|MM|1930^8^0;1690^8^0;1478^8^0;1383^8^0;1173^8^0;1018^8^0;616^8^0;626^18^0;1502^12^0;1197^12^0;1130^12^0;670^12^0;1283^8^0;1307^8^0;1591^8^0;1615^8^0;1714^8^0;1985^8^0
41717016|*Antelopes|C0003146|87164|MH|RtM via: Subfamily Antilopinae (organism);Forced Leaf Node Lookup:antelopes;checkForceMH Boosted|TI|MM|1797^8^0;1564^8^0;1256^8^0;780^8^0;498^8^0
41717016|Wyoming|C0043287|29854|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM;RC|425^7^0;272^7^0
41717016|*Specialization|C0037776|23551|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|192^11^0
41717016|*Animals, Wild|C0003070|41223|MH|RtM via: Animals, Wild|TI|MM;RC|942^8^0;471^8^0;315^8^0;137^8^0
41717016|*Coal Mining|C0009133|27033|MH|RtM via: Coal Mining|TI|MM|31^4^1;54^6^1
41717016|Galliformes|C0325589|4305|MH|Forced Non-Leaf Node Lookup:grouse||MM;RC|540^6^0;798^6^0;1359^6^0;1457^6^0;1669^6^0;1874^6^0
41717016|Coal|C0009131|1000|MH|Forced Non-Leaf Node Lookup:coal||MM|31^4^0
41717017|Animals|C0003062|97480|CT|CT Text Lookup: animal|TI|MM;RC|636^6^0
41717017|*Pinus ponderosa|C0330188|96480|MH|RtM via: Pinus ponderosa;Forced Leaf Node Lookup:ponderosa pines;checkForceMH Boosted|TI|MM|138^14^0
41717017|*Pinus|C0330186|73362|MH|RtM via: Pinus <genus>|TI|MM;RC|258^4^0
41717017|Forests|C0086312|2445|MH|||RC
41717022|Animals|C0003062|23417|CT|Neotoma;CT Treecode Lookup: B01.050.150.900.649.313.992 (Neotoma)||MM;RC
41717022|granite|C0061864|22417|NM|RtM via: granite;Forced SCR Leaf Node Lookup:granite|TI|MM|743^7^0
41717022|*Limestone|C0205688|16809|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted|TI|MM|752^9^0
41717022|*Fossils|C0016614|12147|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|650^6^0;277^6^0;21^6^0
41717022|*Geology|C0017448|8988|MH|RtM via: Geology;Forced Leaf Node Lookup:geology|TI|MM|700^8^0;368^7^0;336^7^0
41717022|*Neotoma|C0027683|6336|ET|Entry Term Replacement for "Sigmodontinae";RtM via: Neotoma;checkForceMH Boosted|TI|MM;RC|37^7^0;28^7^0
41717022|Nevada|C0027951|3366|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM;RC|303^6^0
41717022|*Geographic Information Systems|C0815319|2805|MH|Forced Leaf Node Lookup:gis|TI|MM;RC|166^3^0
41717022|*Silicon Dioxide|C0037098|22416|HM|RtM via: granite|TI|MM|743^7^0
41717022|*Minerals|C0026162|14520|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM;RC|1433^7^0
41717022|*Probability|C0033204|2430|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|451^11^0;251^11^0;567^11^0;1388^11^0
41717023|*Droughts|C0013140|81804|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|2226^7^0
41717023|*Quercus|C0330302|72852|MH|RtM via: Quercus turbinella;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|39^18^0;35^3^0
41717023|*Soil|C0037592|41757|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|2177^4^0;2043^4^0
41717023|*Water|C0043047|37374|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|2154^5^0;1948^5^0;1645^5^0
41717023|Arizona|C0003787|17652|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|143^7^0
41717023|Utah|C0042124|17652|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|2363^4^0;796^4^0;443^4^0;198^4^0;125^4^0
41717023|*Xylem|C1720877|31947|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM|1639^5^0
41717023|*Carbon Isotopes|C0007017|20229|MH|RtM via: Carbon Isotopes;Forced Non-Leaf Node Lookup:carbon isotopes|TI|MM;RC|984^14^0;507^14^0
41717023|*Seasons|C0036497|13134|MH|RtM via: Winter;RtM via: Summer|TI|MM;RC|1991^6^0;2219^6^0
41717023|*Phenotype|C0031437|4269|MH|RtM via: Phenotype;RtM via: Trait;Forced Non-Leaf Node Lookup:phenotypes|TI|MM;RC|2113^9^0;1570^10^0;901^6^0;563^5^0;598^6^0;1617^10^0
41717023|Nitrogen|C0028158|1000|MH|Forced Non-Leaf Node Lookup:nitrogen||MM;RC|718^8^0;1202^8^0
41717024|Animals|C0003062|124020|CT|Amphipoda;CT Treecode Lookup: B01.050.500.131 (Amphipoda);Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda);Ostracods;CT Treecode Lookup: B01.050.500.131 (Ostracods)||MM;RC
41717024|*Amphipoda|C0598804|123020|MH|RtM via: Amphipoda;RtM via: Stygobromus;Forced Leaf Node Lookup:amphipods;checkForceMH Boosted|TI|MM;RC|1285^8^0;208^8^0;1294^11^0;1025^11^0;883^11^0;283^11^0;217^11^0
41717024|*Rivers|C0337050|118598|MH|RtM via: Streams;RtM via: Rivers;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|70^7^0;634^5^0;503^5^0
41717024|*Copepoda|C0323853|55169|MH|RtM via: Copepoda;Forced Leaf Node Lookup:copepods;checkForceMH Boosted|TI|MM|1396^8^0
41717024|Colorado|C0009399|12523|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM;RC|1111^8^0;354^8^0;89^8^0
41717024|*Follow-Up Studies|C0016441|12511|MH|RtM via: Follow-Up Studies;Forced Lookup:follow-up study|TI|MM|1329^15^0;1009^15^0;654^15^0;544^15^0
41717024|*Sampling Studies|C0036150|12496|MH|Forced Leaf Node Lookup:study, sampling|TI|MM|263^15^0
41717024|*Habitats|C0871648|38163|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|711^8^0
41717024|*Tardigrada|C1010027|8793|MH|RtM via: Tardigrada|TI|MM|1420^11^0
41717024|*Data Collection|C0010995|876|MH|RtM via: Analytical Procedure Range|TI|MM|345^5^0
41717024|Mouth|C0226896|1000|MH|Forced Non-Leaf Node Lookup:mouth||MM|830^5^0
41717025|Animals|C0003062|69325|CT|Arthropods;CT Treecode Lookup: B01.050.500.131 (Arthropods);Sparrows;CT Treecode Lookup: B01.050.150.900.248 (Sparrows);Passeriformes;CT Treecode Lookup: B01.050.150.900.248 (Passeriformes)||MM;RC
41717025|*Malathion|C0024547|68325|MH|RtM via: Malathion;Forced Leaf Node Lookup:malathion;checkForceMH Boosted|TI|MM|864^9^0;380^9^0
41717025|*Insecticides|C0021576|21498|MH|RtM via: Insecticides;Forced Leaf Node Lookup:insecticides;checkForceMH Boosted|TI|MM|367^11^0
41717025|*Arthropods|C0003903|12105|MH|RtM via: Arthropods;checkForceMH Boosted;Forced Non-Leaf Node Lookup:arthropods|TI|MM|249^10^0
41717025|*Sparrows|C0326937|10566|MH|Forced Leaf Node Lookup:sparrows;checkForceMH Boosted|TI|MM|81^8^0
41717025|Idaho|C0020787|5688|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|192^5^0
41717025|*Diets|C0012155|24162|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|490^5^0
41717025|*Food|C0016452|10248|MH|RtM via: Food|TI|MM|1030^4^0;562^4^0
41717025|*Record|C0034869|2589|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|832^8^0
41717026|Cattle|C0007452|93135|CT|RtM via: Cattle;Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM;RC|670^6^0;75^6^0;702^6^0
41717026|United States|C0041703|93135|CT|Forced Leaf Node Lookup:american|TI|MM|244^8^0;745^8^0
41717026|Animals|C0003062|93135|CT|RtM via: Cattle;Rodent;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodent);Tail;CT Treecode Lookup: A13.895 (Tail);CT Text Lookup: cattle|TI|MM;RC|670^6^0;75^6^0
41717026|*Ecosystem|C0162358|92135|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|1274^9^0;760^10^0
41717026|*Biomass|C0005535|65854|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|921^7^0
41717026|*Soil|C0037592|58741|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|772^4^0;144^4^0
41717026|*Rodent|C0035804|23680|ET|Entry Term Replacement for "Rodentia";RtM via: Rodent;checkForceMH Boosted|TI|MM|961^6^0;191^6^0
41717026|*Matched-Pair Analysis|C0085145|9490|MH|RtM via: Paired Comparisons;Forced Leaf Node Lookup:paired comparisons|TI|MM|444^18^0
41717026|Biodiversity|C0282469|3534|MH|||RC
41717026|Herbivory|C0562691|2561|MH|||RC
41717026|*Tail|C0039259|2367|MH|RtM via: Tail|TI|MM|522^6^0
41717027|*Trees|C0040811|17226|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|617^5^0;692^5^0
41717027|*Incidence|C0021149|1986|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|785^9^0;141^9^0
41717027|*Basidiomycota|C0004810|12009|MH|RtM via: Cronartium flaccidum|TI|MM;RC|732^4^0;637^4^0;154^4^0;59^17^0
41717027|Pinus|C0330186|2410|MH|||RC
41717027|*Survey|C0038951|1434|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|92^6^0
41717028|Female|C0086287|62695|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|430^7^0
41717028|Male|C0086582|62695|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|486^5^0
41717028|Animals|C0003062|62695|CT|Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|321^4^0
41717028|*Lakes|C0337049|61695|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|134^4^0
41717028|*Temperature|C0039476|59745|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1163^12^0
41717028|*Body Temperature|C0005903|42276|MH|RtM via: Body Temperature;Forced Leaf Node Lookup:body temperatures|TI|MM|1126^16^0;950^17^0
41717028|*Seasons|C0036497|32004|MH|RtM via: Summer;Forced Leaf Node Lookup:seasonal|TI|MM;RC|929^6^0;1084^8^0
41717028|Nevada|C0027951|25659|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM;RC|155^6^0
41717028|Arizona|C0003787|25656|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM;RC|147^7^0
41717028|*Water|C0043047|21072|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1018^5^0
41717028|*Fishes|C0016163|49083|MH|RtM via: Fishes|TI|MM;RC|1108^4^0;722^4^0;606^4^0;321^4^0
41717028|*Habitat|C0871648|39345|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|50^7^0
41717028|*Reproduction|C0035150|18093|MH|RtM via: Reproduction|TI|MM;RC|576^12^0
41717028|*Movement|C0026649|9000|MH|RtM via: Movement|TI|MM;RC|997^9^0;201^8^0;35^9^0
41717029|*Salt-Tolerant Plants|C2350260|92622|MH|RtM via: Halophytes;Forced Leaf Node Lookup:halophytes;checkForceMH Boosted|TI|MM;RC|327^9^0
41717029|*Photosynthesis|C0031764|85368|MH|RtM via: Photosynthesis;Forced Leaf Node Lookup:photosynthesis|TI|MM;RC|1186^14^0;998^14^0;1053^14^0
41717029|*Seedlings|C0242437|81405|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|89^8^0
41717029|*Salinity|C1956027|62283|MH|RtM via: Salinity;Forced Leaf Node Lookup:salinity|TI|MM;RC|1236^10^0;1263^8^0;1077^10^0;1030^8^0;729^8^0;652^8^0;541^8^0;136^8^0;76^8^0
41717029|*Water|C0043047|40938|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|662^5^0;568^5^0
41717029|*Sand|C4759711|33927|MH|RtM via: Sand;Forced New Lookup:sand;checkForceMH Boosted|TI|MM|414^4^0
41717029|*Plant Leaves|C0242724|44388|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|777^6^0
41717029|*Plant Roots|C0242726|39570|MH|RtM via: Plant Roots|TI|MM;RC|1297^5^0;900^5^0;460^5^0
41717029|*Ions|C0022023|37248|MH|RtM via: Ions;RtM via: Sodium Cation;Forced Non-Leaf Node Lookup:ions|TI|MM;RC|795^4^0;862^2^0;812^2^0
41717029|*Chenopodiaceae|C0446248|13479|MH|RtM via: Allenrolfea occidentalis|TI|MM|48^24^0
41717030|Animals|C0003062|13189|CT|Forced Lookup:odocoileus;Forced Lookup:deer;Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);Livestock;CT Treecode Lookup: B01.050.050 (Livestock)|TI|MM;RC|118^10^0;112^4^0
41717030|*Deer|C0011133|12189|MH|RtM via: Odocoileus hemionus;Forced Lookup:odocoileus;Forced Lookup:deer|TI|MM;RC|107^9^0;118^19^0;112^4^0
41717030|*Livestock|C2936506|6766|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|210^9^0;86^9^0
41717030|*Habitat|C0871648|5184|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|168^7^0
41717030|*Seasons|C0036497|3402|MH|RtM via: Winter|TI|MM;RC|231^6^0;155^6^0
41717030|*Publications|C0034036|204|MH|RtM via: Publications|TI|MM|43^10^0
41717030|*Data Collection|C0010995|141|MH|RtM via: Analytical Procedure Range|TI|MM|238^6^0;162^5^0
41717030|Equidae|C0242616|1000|MH|Forced Non-Leaf Node Lookup:mule||MM|107^4^0
41717031|*Populus|C0522458|147780|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;Forced Leaf Node Lookup:populus fremontii;Forced Leaf Node Lookup:cottonwoods;checkForceMH Boosted|TI|MM;RC|412^10^0;385^17^0;604^10^0
41717031|*Water|C0043047|48544|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1215^5^0;556^5^0;119^5^0
41717031|*Rivers|C0337050|26242|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|1272^5^0
41717031|New Mexico|C0027972|15466|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM|593^10^0
41717031|*Xylem|C1720877|144216|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM;RC|992^5^0;742^5^0;466^5^0;286^5^0;70^5^0
41717031|*Water Stress|C1136135|32415|ET|Entry Term Replacement for "Dehydration";RtM via: Water Stress|TI|MM;RC|236^12^0
41717031|*Plant Leaves|C0242724|24096|MH|RtM via: Plant Leaves|TI|MM;RC|551^4^0
41717031|*Biological Transport|C0005528|3960|MH|RtM via: water transport|TI|MM;RC|47^15^0
41717031|*Embolism|C0013922|288|MH|RtM via: Embolus;RtM via: Embolism;Forced Non-Leaf Node Lookup:embolisms|TI|MM|807^8^0;447^8^0;321^6^0;21^8^0
41717032|Animals|C0003062|63994|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
