C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/1521991|*Bird|C0005595|43239|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|634^4^0
10.2307/1521991|*Habitat|C0871648|24429|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1207^7^0
10.2307/1521991|California|C0006754|14295|MH|RtM via: California;Forced Non-Leaf Node Lookup:california|TI|MM|155^10^0
10.2307/1521991|*Charadriiformes|C0325773|11772|MH|RtM via: Phalaropus tricolor|TI|MM;RC|1152^19^0;77^19^0;56^19^0
10.2307/1521991|*Breeding|C0006159|6948|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1227^8^0;625^8^0;584^8^0
10.2307/1521991|*Surveys|C0038951|1665|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|639^7^0
10.2307/1521991|South America|C0037713|351|MH|RtM via: South America|TI|MM|228^13^0
10.2307/1521992|Animals|C0003062|69839|CT|Forced Lookup:population decline;Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)|TI|MM;RC|63^18^0
10.2307/1521992|United States|C0041703|69839|CT|Forced Leaf Node Lookup:american|TI|MM|1108^8^0
10.2307/1521992|*Charadriiformes|C0325773|68839|MH|RtM via: Sterna nilotica;RtM via: Tern (organism);Forced Leaf Node Lookup:terns;Forced Leaf Node Lookup:gull;checkForceMH Boosted|TI|MM;RC|1209^17^0;1011^17^0;279^17^0;107^17^0;126^15^0;1117^4^0;119^5^0;291^5^0;1023^5^0;1221^5^0
10.2307/1521992|*Wetlands|C1721088|46564|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM;RC|747^5^0;391^5^0
10.2307/1521992|*Clutch Size|C1568397|35248|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM|492^11^0
10.2307/1521992|*Islands|C0022130|25645|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|832^7^0;379^7^0;407^7^0
10.2307/1521992|Texas|C0039711|7618|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|1331^5^0
10.2307/1521992|Virginia|C0042753|7618|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM|1038^8^0;426^8^0;162^8^0
10.2307/1521992|*Sand|C4759711|7615|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|365^5^0
10.2307/1521992|*Habitat|C0871648|28398|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|702^7^0
10.2307/1521992|*Reproduction|C0035150|17469|MH|RtM via: Reproduction|TI|MM;RC|1245^12^0
10.2307/1521992|*Food|C0016452|2277|MH|RtM via: Food|TI|MM|196^4^0
10.2307/1521992|*Biological Phenomena|C0005520|1995|MH|RtM via: Tissue Growth|TI|MM|1399^6^0;667^6^0;595^6^0
10.2307/1521993|Animals|C0003062|28686|CT|Forced Lookup:population decline;Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);Colubridae;CT Treecode Lookup: B01.050.150.900.833 (Colubridae)|TI|MM;RC|51^18^0
10.2307/1521993|*Charadriiformes|C0325773|27686|MH|RtM via: Sterna nilotica;Forced Leaf Node Lookup:terns;Forced Leaf Node Lookup:gull;checkForceMH Boosted|TI|MM;RC|226^16^0;73^17^0;92^15^0;85^5^0;238^4^0
10.2307/1521993|*Seasons|C0036497|19772|MH|RtM via: Seasons;RtM via: spring (season);Forced Leaf Node Lookup:seasons|TI|MM;RC|959^6^0;1385^6^0
10.2307/1521993|*Strigiformes|C0326067|13870|MH|RtM via: Bubo virginianus;Forced Leaf Node Lookup:great horned owls;checkForceMH Boosted|TI|MM|1470^16^0;1451^17^0
10.2307/1521993|*Wetlands|C1721088|13421|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM;RC|643^5^0;356^5^0
10.2307/1521993|*Islands|C0022130|12335|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|663^6^0;416^7^0
10.2307/1521993|*Survival Rate|C0038954|7820|MH|RtM via: Survival Rate;Forced Leaf Node Lookup:survival rates|TI|MM;RC|999^14^0;838^14^0
10.2307/1521993|*Sand|C4759711|7621|MH|RtM via: Sand;Forced New Lookup:sand;checkForceMH Boosted|TI|MM|380^4^0
10.2307/1521993|Virginia|C0042753|3818|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM|136^8^0;261^8^0
10.2307/1521993|*Floods|C0016248|8382|MH|RtM via: Floods|TI|MM|1373^8^0;746^8^0
10.2307/1521993|*Predatory Behavior|C0032942|8199|MH|RtM via: Predatory Behavior|TI|MM|1430^9^0
10.2307/1521993|*Chickens|C0008051|5568|MH|RtM via: Young chicken|TI|MM;RC|1282^5^0;1165^6^0;981^6^0;856^6^0;807^5^0;830^6^0;557^5^0;243^6^0
10.2307/1521993|*Colubridae|C0206283|2922|MH|RtM via: Virginia (Reptile)|TI|MM|136^8^0
10.2307/1521993|Denmark|C0011318|1000|MH|Forced Non-Leaf Node Lookup:denmark||MM|1336^7^0
10.2307/1521994|Animals|C0003062|141225|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|552^4^0
10.2307/1521994|*Charadriiformes|C0325773|140225|MH|RtM via: Laridae;RtM via: Fratercula arctica;RtM via: Larus tridactyla;RtM via: Rissa tridactyla;RtM via: Uria aalge;RtM via: Kittiwake;RtM via: Larus argentatus;RtM via: Genus Larus (organism);Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|775^5^0;611^5^0;833^15^0;850^18^0;621^22^0;645^16^0;874^12^0;888^10^0;1282^10^0;701^9^0;1297^13^0;605^5^0;1305^5^0
10.2307/1521994|*Fisheries|C0016162|85750|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fisheries|TI|MM;RC|502^9^0
10.2307/1521994|*Mallotus Plant|C1001094|24614|MH|Forced Leaf Node Lookup:mallotus;checkForceMH Boosted|TI|MM|368^8^0
10.2307/1521994|*Diving|C0012823|19582|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM|826^6^0
10.2307/1521994|*Birds|C0005595|39102|MH|RtM via: Leach's storm petrel;Forced Non-Leaf Node Lookup:seabirds|TI|MM;RC|925^20^0;947^21^0;79^7^0;939^6^0
10.2307/1521994|*Oceanography|C0028813|17415|MH|RtM via: Oceanography|TI|MM;RC|170^13^0
10.2307/1521994|*Fishes|C0016163|15561|MH|RtM via: Clupea harengus (organism);RtM via: Clupeidae;RtM via: Herring|TI|MM|715^7^0
10.2307/1521994|*Breeding|C0006159|11562|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1650^8^0;1248^8^0;1084^8^0;901^8^0;792^8^0;28^8^0;63^8^0;95^8^0;1423^8^0
10.2307/1521994|Oceans and Seas|C0028815|1000|MH|Forced Non-Leaf Node Lookup:oceans||MM;RC|1212^5^0
10.2307/1521995|Humans|C0086418|14437|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|90^5^0
10.2307/1521995|*Reproduction|C0035150|13437|MH|RtM via: Reproduction|TI|MM;RC|323^12^0
10.2307/1521995|*Investigator|C0035173|3855|ET|Entry Term Replacement for "Research Personnel";RtM via: Research Personnel|TI|MM|522^12^0;206^12^0
10.2307/1521995|*Research|C0035168|2544|MH|RtM via: Study|TI|MM|394^7^0
10.2307/1521995|*Industry|C0021267|1527|MH|RtM via: Industry|TI|MM|679^8^0
10.2307/1521995|*Reproductive Behavior|C0035154|8448|MH|RtM via: Reproductive Behavior;Forced Non-Leaf Node Lookup:behavior, reproductive|TI|MM|300^21^0;313^22^0
10.2307/1521995|*Aircraft|C0001881|1062|MH|RtM via: Aircraft;Forced Non-Leaf Node Lookup:aircraft|TI|MM|259^8^0
10.2307/1521996|Female|C0086287|51421|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|927^7^0
10.2307/1521996|Male|C0086582|51421|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|869^5^0
10.2307/1521996|Animals|C0003062|51421|CT|CT Text Lookup: fish|TI|MM;RC|395^4^0
10.2307/1521996|*Gastrointestinal Contents|C0017177|34282|MH|RtM via: Gastric Content;Forced Leaf Node Lookup:stomach contents|TI|MM;RC|150^16^0
10.2307/1521996|*Seasons|C0036497|30772|MH|RtM via: Seasonal Variation;RtM via: Winter;Forced Leaf Node Lookup:seasonal variations|TI|MM;RC|1145^18^0;1314^6^0;1103^6^0;203^6^0;32^6^0
10.2307/1521996|*Fisheries|C0016162|14563|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fisheries|TI|MM|1692^9^0
10.2307/1521996|*Otolithic Membrane|C0029893|9040|MH|RtM via: Structure of otoconia;Forced Leaf Node Lookup:otoliths|TI|MM|376^8^0
10.2307/1521996|North Sea|C0028410|8074|MH|RtM via: North Sea;Forced Leaf Node Lookup:north sea|TI|MM;RC|1709^9^0
10.2307/1521996|*Food Preferences|C0016483|50421|MH|RtM via: Food Selection|TI|MM|260^11^0
10.2307/1521996|*Diet|C0012155|50205|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|1340^4^0;39^4^0
10.2307/1521996|*Food|C0016452|22113|MH|RtM via: Food|TI|MM|319^4^0
10.2307/1521996|*Climate|C0008946|6168|MH|RtM via: Seasonal variation (climate)|TI|MM|1145^18^0
10.2307/1521996|*Stomachs|C0038351|897|ET|Entry Term Replacement for "Stomach";RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|1237^8^0;352^8^0
10.2307/1521996|Norway|C0028423|9|MH|RtM via: Norway|TI|MM|116^6^0
10.2307/1521997|Animals|C0003062|16630|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
10.2307/1521997|Female|C0086287|16630|CT|Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition)||MM;RC
10.2307/1521997|Pregnancy|C0032961|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.490 (Parturition)||MM
10.2307/1521997|*Charadriiformes|C0325773|15630|MH|RtM via: Sterna dougallii;Forced Leaf Node Lookup:tern;checkForceMH Boosted|TI|MM;RC|1196^12^0;44^12^0;58^16^0;52^4^0;1204^4^0
10.2307/1521997|Connecticut|C0009778|1770|MH|RtM via: Connecticut;Forced Leaf Node Lookup:connecticut|TI|MM|202^11^0
10.2307/1521997|*Predatory Behavior|C0032942|10869|MH|RtM via: Predatory Behavior|TI|MM;RC|1158^9^0
10.2307/1521997|*Islands|C0022130|10182|MH|RtM via: Islands|TI|MM;RC|194^6^0
10.2307/1521997|*Biological Phenomena|C0005520|1698|MH|RtM via: Tissue Growth|TI|MM|34^6^0
10.2307/1521997|*Parturition|C0005615|444|MH|RtM via: hatching|TI|MM|996^7^0;407^7^0
10.2307/1521998|Animals|C0003062|266110|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Columbidae;CT Treecode Lookup: B01.050.150.900.248 (Columbidae);Psittacula;CT Treecode Lookup: B01.050.150.900.248 (Psittacula);Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);CT Text Lookup: fish;CT Text Lookup: psittacula|TI|MM;RC|251^4^0;727^10^0
10.2307/1521998|*Charadriiformes|C0325773|265110|MH|RtM via: Aethia psittacula;RtM via: Brachyramphus marmoratus;RtM via: Cepphus columba;RtM via: Fratercula cirrhata;RtM via: Fratercula corniculata;RtM via: Larus philadelphia;RtM via: Tern (organism);RtM via: Haematopus bachmani;RtM via: Genus Brachyramphus;RtM via: Sterna;Forced Leaf Node Lookup:terns;Forced Leaf Node Lookup:gull;checkForceMH Boosted|TI|MM;RC|712^25^0;695^15^0;648^24^0;605^15^0;587^16^0;755^19^0;740^13^0;796^22^0;781^13^0;527^16^0;545^18^0;566^5^0;1038^20^0;1060^19^0;623^13^0;573^6^0;539^4^0
10.2307/1521998|*Ducks|C0013268|146551|MH|RtM via: Bucephala clangula;RtM via: Melanitta perspicillata;RtM via: Histrionicus histrionicus;RtM via: Genus Bucephala;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM;RC|999^18^0;501^23^0;488^11^0;942^15^0;959^25^0;987^10^0;952^5^0
10.2307/1521998|*Petroleum Pollution|C0337182|118289|MH|RtM via: Petroleum Pollution;Forced Leaf Node Lookup:oil spills|TI|MM;RC|1691^9^0;1221^9^0
10.2307/1521998|*Columbidae|C0325912|59824|MH|Forced Leaf Node Lookup:pigeons;checkForceMH Boosted|TI|MM|587^6^0
10.2307/1521998|*Psittacula|C1301021|59824|MH|Forced Leaf Node Lookup:psittacula;checkForceMH Boosted|TI|MM|727^10^0
10.2307/1521998|Alaska|C0001905|46709|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM;RC|1314^6^0;95^6^0
10.2307/1521998|Pacific Ocean|C0030171|41588|MH|RtM via: Pacific Ocean;Forced Leaf Node Lookup:pacific ocean|TI|MM|1618^13^0;1467^13^0
10.2307/1521998|Philadelphia|C0031525|29912|MH|Forced Leaf Node Lookup:philadelphia|TI|MM|551^12^0
10.2307/1521998|*Fishes|C0016163|70827|MH|RtM via: Fishes|TI|MM;RC|1545^4^0;1441^4^0;901^4^0;251^4^0
10.2307/1521998|*Aquatic Organisms|C0596121|33849|MH|RtM via: Bucephala clangula;RtM via: Melanitta perspicillata;RtM via: Histrionicus histrionicus;RtM via: Genus Bucephala|TI|MM|999^18^0;501^23^0;488^11^0;942^15^0;959^25^0;987^10^0
10.2307/1521998|*Invertebrates|C0021948|29169|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|358^13^0
10.2307/1521998|*Surveys|C0038951|399|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|52^7^0;132^7^0
10.2307/1521998|California|C0006754|8391|MH|RtM via: California|TI|MM|1352^10^0
10.2307/1521999|Animals|C0003062|218960|CT|Spheniscidae;CT Treecode Lookup: B01.050.150.900.248 (Spheniscidae);Hagfishes;CT Treecode Lookup: B01.050.150.200 (Hagfishes);Hagfishes;CT Treecode Lookup: B01.050.150.900.493 (Hagfishes);Hagfishes;CT Treecode Lookup: B01.050.500.272 (Hagfishes);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Squid;CT Treecode Lookup: B01.050.500.644 (Squid);Loligo;CT Treecode Lookup: B01.050.500.644 (Loligo);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea);CT Text Lookup: fish|TI|MM;RC|391^4^0
10.2307/1521999|*Spheniscidae|C0325331|217960|MH|RtM via: Spheniscidae;RtM via: Spheniscus magellanicus;Forced Leaf Node Lookup:spheniscus magellanicus;Forced Leaf Node Lookup:magellanic penguin;Forced Leaf Node Lookup:penguins;checkForceMH Boosted|TI|MM;RC|572^8^0;908^19^0;40^19^0;61^23^0
10.2307/1521999|*Fisheries|C0016162|101344|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fisheries|TI|MM|1147^9^0
10.2307/1521999|*Hagfishes|C1135181|97919|MH|RtM via: Hagfish;RtM via: Myxinidae;RtM via: Myxine;Forced Leaf Node Lookup:hagfishs;checkForceMH Boosted|TI|MM|860^7^0;869^6^0
10.2307/1521999|*Squid|C0038078|88813|ET|Entry Term Replacement for "Decapodiformes";RtM via: Squid;RtM via: Illex;checkForceMH Boosted|TI|MM|792^5^0;406^5^0;815^5^0
10.2307/1521999|*Loligo|C0599467|82967|MH|RtM via: Loligo;Forced Leaf Node Lookup:loligos;checkForceMH Boosted|TI|MM|799^6^0
10.2307/1521999|Argentina|C0003761|25195|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|252^9^0
10.2307/1521999|*Accidents, Traffic|C0000932|23800|MH|Forced Leaf Node Lookup:crashes|TI|MM|1117^7^0
10.2307/1521999|*Fishes|C0016163|90261|MH|RtM via: Fishes;RtM via: Engraulis anchoita;RtM via: Sprattus fuegensis;RtM via: Sprattus sprattus;RtM via: Anchovy (fish);RtM via: Family Engraulidae|TI|MM|391^4^0;679^18^0;836^18^0;828^6^0;670^7^0
10.2307/1521999|*Seafood|C0206208|67875|MH|RtM via: Shrimp (dietary);RtM via: Sprats;RtM via: Squid, Dietary;RtM via: Anchovy - dietary|TI|MM|416^7^0;828^6^0;792^5^0;406^5^0;670^7^0
10.2307/1521999|*Crustacea|C0010395|9051|MH|RtM via: Shrimp|TI|MM|416^7^0
10.2307/1521999|*Diet|C0012155|8298|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diet|TI|MM|32^4^0
10.2307/1521999|Stomach|C0038351|1000|MH|Forced Non-Leaf Node Lookup:stomachs||MM;RC|101^7^0
10.2307/1522000|Animals|C0003062|177010|CT|Spheniscidae;CT Treecode Lookup: B01.050.150.900.248 (Spheniscidae)||MM;RC
10.2307/1522000|*Spheniscidae|C0325331|96014|MH|RtM via: Spheniscidae;RtM via: Spheniscus magellanicus;Forced Leaf Node Lookup:spheniscus magellanicus;Forced Leaf Node Lookup:magellanic penguin;Forced Leaf Node Lookup:penguins;checkForceMH Boosted|TI|MM|1200^7^0;1317^8^0;1082^18^0;46^18^0;66^23^0
10.2307/1522000|*Diving|C0012823|26530|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM|1310^6^0
10.2307/1522000|*Lighting|C0023700|23539|MH|RtM via: Lighting;Forced Leaf Node Lookup:illumination|TI|MM|1258^12^0;977^12^0
10.2307/1522000|orange oil|C0254751|15476|NM|Forced SCR Leaf Node Lookup:orange oil|TI|MM|768^10^0
10.2307/1522000|*Retinal Cone Photoreceptor Cells|C0206428|176010|MH|RtM via: Retinal Cone|TI|MM;RC|863^4^0;734^5^0;464^5^0;246^5^0;163^5^0
10.2307/1522000|*Retina|C0035298|76179|MH|RtM via: Retina;RtM via: Entire retina;RtM via: Structure of outer plexiform layer of retina;Forced Non-Leaf Node Lookup:retina|TI|MM;RC|1208^6^0;937^6^0;367^6^0;32^6^0;223^13^0;1160^21^0;230^6^0
10.2307/1522000|*Photoreceptor Cells, Vertebrate|C0376351|52743|MH|RtM via: Photoreceptor Cells, Vertebrate|TI|MM|298^4^1;306^3^1
10.2307/1522000|*Electron Microscopy|C0026019|10359|ET|Entry Term Replacement for "Microscopy, Electron";RtM via: Electron Microscopy;Forced Non-Leaf Node Lookup:electron microscopy|TI|MM;RC|118^19^0
10.2307/1522001|Animals|C0003062|156604|CT|Spheniscidae;CT Treecode Lookup: B01.050.150.900.248 (Spheniscidae);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/1522001|*Spheniscidae|C0325331|155604|MH|RtM via: Spheniscidae;RtM via: Pygoscelis adeliae;Forced Leaf Node Lookup:pygoscelis adeliae;Forced Leaf Node Lookup:penguins;checkForceMH Boosted|TI|MM;RC|1072^8^0;74^8^0;84^18^0
10.2307/1522001|*Diving|C0012823|57527|MH|RtM via: Diving (activity);Forced Leaf Node Lookup:divings|TI|MM;RC|934^4^0;759^4^0;466^4^0;28^6^0
10.2307/1522001|*Sea Ice|C1449598|15834|ET|Entry Term Replacement for "Ice Cover";RtM via: Sea Ice Cover|TI|MM;RC|260^7^0
10.2307/1522001|*Time|C0040223|1800|MH|RtM via: Time;RtM via: January|TI|MM;RC|751^4^0;335^7^0
10.2307/1522002|Animals|C0003062|54668|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Elephant Seal;CT Treecode Lookup: B01.050.150.900.649.313.750 (Elephant Seal);Crows;CT Treecode Lookup: B01.050.150.900.248 (Crows);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/1522002|Female|C0086287|54668|CT|Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition)||MM;RC
10.2307/1522002|Pregnancy|C0032961|54668|CT|Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition)||MM
10.2307/1522002|*Charadriiformes|C0325773|53668|MH|RtM via: Larus occidentalis;RtM via: Uria aalge;Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|659^18^0;644^13^0;44^12^0;58^10^0;1498^5^0;1217^5^0;943^6^0;804^6^0;261^5^0;652^5^0
10.2307/1522002|*Elephant Seal|C1265526|30284|ET|Entry Term Replacement for "Seals, Earless";RtM via: Seal, Elephant;checkForceMH Boosted|TI|MM|98^13^0
10.2307/1522002|*Crows|C0326391|27627|MH|RtM via: Ravens;Forced Leaf Node Lookup:corvus;Forced Leaf Node Lookup:ravens;checkForceMH Boosted|TI|MM|684^13^0;699^12^0;691^6^0
10.2307/1522002|*Temperature|C0039476|8174|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1422^11^0
