C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\zeitpflapflapfla\input.txt
43230740|Animals|C0003062|13594|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)|TI|MM
43230741|*Seeds|C0036563|17739|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1960^5^0;1705^5^0
43230741|*Breeding|C0006159|14892|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|365^8^0
43230741|*Blossoms|C0330090|9897|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:blossoms|TI|MM|1087^8^0
43230742|*Prunus avium|C0946748|360870|MH|RtM via: Prunus cerasus;Forced Leaf Node Lookup:prunus cerasus;Forced Leaf Node Lookup:sour cherry;checkForceMH Boosted|TI|MM;RC|1842^11^0;1625^11^0;982^6^0;232^14^0;977^11^0
43230742|*Prunus persica|C0330659|326049|MH|RtM via: Peach;RtM via: Prunus persica;Forced Leaf Node Lookup:peaches;checkForceMH Boosted|TI|MM|1943^5^0;260^7^0
43230742|*Malus|C0003625|141944|MH|RtM via: Apple;Forced Leaf Node Lookup:apples;checkForceMH Boosted|TI|MM|2052^6^0;287^6^0
43230742|*Ligustrum|C0995160|121811|MH|RtM via: Privet;Forced Leaf Node Lookup:ligustrums;checkForceMH Boosted|TI|MM|717^9^0;122^9^0
43230742|*Polystichum|C0996574|118292|MH|RtM via: Polystichum;Forced Leaf Node Lookup:polystichums;checkForceMH Boosted|TI|MM|837^11^0;154^11^0
43230742|*Fruit|C0016767|104155|MH|RtM via: Fruit;RtM via: Cherry - dietary;Forced Leaf Node Lookup:fruits|TI|MM;RC|2124^5^0;982^6^0
43230742|*Prunus domestica|C0330660|88811|MH|RtM via: Plum (Dietary);Forced Leaf Node Lookup:plums;checkForceMH Boosted|TI|MM|1832^5^0;1543^5^0;253^5^0
43230742|*Water|C0043047|40051|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1282^5^0;356^5^0
43230742|*Autoradiography|C0004400|39619|MH|RtM via: Autoradiography;Forced Leaf Node Lookup:autoradiography|TI|MM|527^15^0
43230742|*Parathion|C0030514|36076|MH|RtM via: Parathion;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parathion|TI|MM|1060^9^0;862^9^0;591^9^0
43230742|*Plant Bark|C0949119|34427|MH|Forced Leaf Node Lookup:bark|TI|MM;RC|1334^4^0;1470^4^0;1741^4^0
43230742|*Plant Leaves|C0242724|21993|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|821^4^0;707^6^0;112^6^0
43230742|*Rain|C0034640|14775|MH|RtM via: Rain;Forced Non-Leaf Node Lookup:rain|TI|MM|914^4^0
43230742|*Physical Phenomena|C2350446|13110|MH|RtM via: Energy Absorption;RtM via: Force;RtM via: Material Absorption|TI|MM|750^10^0;367^10^0;1673^5^0;1501^5^0
43230742|*Radioactivity|C0034553|7056|MH|RtM via: Radioactivity|TI|MM|2063^11^0;1858^11^0;1553^11^0;1418^11^0;1229^11^0;991^11^0;782^11^0;21^11^0
43232015|Animals|C0003062|121183|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
43232015|*Aphids|C0003562|120183|MH|RtM via: Aphids;RtM via: Myzus;RtM via: Cryptomyzus ribis;RtM via: Neomyzus circumflexus;RtM via: Brachycaudus helichrysi;RtM via: Myzus ornatus;RtM via: Acyrthosiphon;RtM via: Rhopalomyzus;Forced Leaf Node Lookup:aphids;Forced Leaf Node Lookup:myzus;checkForceMH Boosted|TI|MM|3331^6^0;2022^6^0;1763^6^0;2244^5^0;2888^17^0;2329^17^0;1187^17^0;622^17^0;2857^21^0;2624^21^0;931^21^0;2181^23^0;473^23^0;536^13^0;2912^13^0;1211^13^0;2819^12^0;2264^12^0;893^12^0;557^12^0
43232015|*Solanum tuberosum|C1145678|75771|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potato;checkForceMH Boosted|TI|MM|2964^6^0
43232015|*Onions|C0029035|62199|MH|RtM via: Allium cepa;RtM via: Onions;Forced Leaf Node Lookup:onions;checkForceMH Boosted|TI|MM|2567^5^0
43232015|*Musa|C0993601|46575|MH|RtM via: Banana;Forced Leaf Node Lookup:bananas;checkForceMH Boosted|TI|MM|2429^6^0
43232015|*Brassica napus|C0330502|45009|MH|RtM via: Brassica napus;Forced Leaf Node Lookup:turnips;checkForceMH Boosted|TI|MM|2732^7^0
43232015|*Dahlia|C0446263|34041|MH|RtM via: Dahlia <angiosperm>;Forced Leaf Node Lookup:dahlias;checkForceMH Boosted|TI|MM|2163^6^0
43232015|*Cucumis sativus|C0242774|32055|MH|RtM via: Cucumber (Vegetable);Forced Leaf Node Lookup:cucumbers;checkForceMH Boosted|TI|MM|2357^8^0
43232015|*Papaver|C0030348|31701|MH|RtM via: Papaver;Forced Leaf Node Lookup:poppy;checkForceMH Boosted|TI|MM|3125^5^0
43232015|*Delphinium|C0936070|26736|MH|Forced Leaf Node Lookup:delphiniums;checkForceMH Boosted|TI|MM|3209^10^0
43232015|*Gardens|C4019428|13368|MH|Forced Leaf Node Lookup:gardens|TI|MM|2049^6^0
43232015|*Plant Weeds|C2936212|19236|MH|RtM via: Plant Weeds|TI|MM|2074^5^0
43232015|*Crops, Agricultural|C0242775|18585|MH|RtM via: Agricultural Crops|TI|MM|2064^5^0
43232015|*Food Hypersensitivity|C0016470|9204|MH|RtM via: Cucumber extract;RtM via: onion allergenic extract|TI|MM|2357^8^0;2567^5^0
43232015|*Viruses|C0042776|4908|MH|RtM via: Virus;Forced Non-Leaf Node Lookup:viruses|TI|MM|1984^7^0;1916^7^0;1263^5^0;450^5^0
43232016|Animals|C0003062|188225|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)||MM;RC
43232016|Humans|C0086418|1000|CT|Forced Humans: Transients and Migrants||MM
43232016|*Solanum tuberosum|C1145678|187225|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potatoes;checkForceMH Boosted|TI|MM;RC|1827^8^0;1118^8^0;618^8^0
43232016|*Aphids|C0003562|97690|MH|RtM via: Aphids;Forced Leaf Node Lookup:aphids;checkForceMH Boosted|TI|MM;RC|1784^5^0
43232016|*Secale|C0086964|33874|MH|Forced Leaf Node Lookup:rye;checkForceMH Boosted|TI|MM|111^3^0
43232016|*Transients and Migrants|C0040705|18173|MH|RtM via: Migrants;Forced Leaf Node Lookup:migrants|TI|MM|764^8^0;169^8^0
43232016|Maine|C0024497|16949|MH|RtM via: Maine (geographic location);Forced Leaf Node Lookup:maine|TI|MM|399^5^0
43232016|*Plant Tubers|C1136058|159813|MH|RtM via: Plant Tubers|TI|MM|1765^6^0
43232016|*Plant Leaves|C0242724|14241|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1336^4^0;1258^6^0
43232016|*Seed|C0036563|6762|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1822^4^0;941^4^0;852^4^0
43232016|*Sports|C0038039|1836|MH|RtM via: Recreational flying|TI|MM|150^6^0
43232016|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infections||MM|1480^10^0;1280^9^0
43232016|Germany|C0017480|81|MH|RtM via: Germany|TI|MM|368^7^0
43230684|Animals|C0003062|35960|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids);Nymph;CT Treecode Lookup: B05.500 (Nymph);Nymph;CT Treecode Lookup: G07.345.500.550.500 (Nymph)|TI|MM
43230684|*Aphids|C0003562|34960|MH|RtM via: Aphids;RtM via: Myzus persicae;Forced Leaf Node Lookup:aphids;Forced Leaf Node Lookup:myzus;checkForceMH Boosted|TI|MM|2706^5^0;1744^5^0;1569^6^0;2019^14^0;1766^14^0;597^14^0;377^14^0
43230684|*Solanum tuberosum|C1145678|27290|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potato;checkForceMH Boosted|TI|MM|1476^6^0
43230684|*Fertilizers|C0015919|12722|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilizers;checkForceMH Boosted|TI|MM|1540^10^0;1667^10^0
43230684|*Manure|C0024765|7414|MH|RtM via: Manure;checkForceMH Boosted|TI|MM|2310^8^0;1828^7^0;1644^7^0
43230684|*Nymph|C0028737|11454|MH|RtM via: Nymph|TI|MM|2148^6^0
43230684|*Conception|C0009637|4743|ET|Entry Term Replacement for "Fertilization";RtM via: Conception|TI|MM|2285^10^0
43230684|*Reproduction|C0035150|3732|MH|RtM via: Reproduction|TI|MM|2541^11^0
43230684|*Plant Leaves|C0242724|3690|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|2716^6^0;2401^4^0;1926^4^0;1494^4^0
43230684|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|2496^9^0
43230685|Animals|C0003062|39277|CT|Larva;CT Treecode Lookup: B05.500 (Larva);Larva;CT Treecode Lookup: G07.345.500.550.500 (Larva)||MM;RC
43230685|*Larva|C0023047|7443|MH|RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|325^5^0;239^6^0;408^5^0
43230685|*Population Density|C0032665|7158|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|458^18^0
43230685|*Plant, Food|C0032099|5694|ET|Entry Term Replacement for "Plants, Edible";RtM via: Plants, Edible;checkForceMH Boosted|TI|MM;RC|110^10^0
43230685|*Picea|C0949850|38277|MH|RtM via: Picea|TI|MM;RC|545^6^0;214^6^0;64^6^0
43230685|*Forests|C0086312|18492|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|552^7^0
43230696|Animals|C0003062|131509|CT|Beetle;CT Treecode Lookup: B01.050.500.131 (Beetle)||MM;RC
43230696|*Solanum tuberosum|C1145678|130509|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potatoes;checkForceMH Boosted|TI|MM;RC|479^8^0;150^6^0;234^6^0;264^6^0
43230696|*Beetle|C0009276|64737|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;RtM via: Leptinotarsa decemlineata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM;RC|651^6^0;271^6^0;98^25^0
43230696|*Solanum|C0331221|42294|MH|RtM via: Solanum chacoense;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanums|TI|MM;RC|157^17^0
43230696|*Taste|C0039336|11589|MH|RtM via: Taste Perception;Forced Leaf Node Lookup:tastes|TI|MM|375^5^0;311^5^0
43230696|*Coal|C0009131|9303|MH|RtM via: Coal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coal|TI|MM|768^4^0
43230696|*Plant Leaves|C0242724|9102|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|548^6^0
43230696|Solanaceous Alkaloids|C0037600|2962|MH|||RC
43230696|*Learning|C0023185|1452|MH|RtM via: Learning|TI|MM|390^6^0
43230696|*Food|C0016452|711|MH|RtM via: Juice|TI|MM|694^5^0
43230697|Animals|C0003062|3301|CT|Hemiptera;CT Treecode Lookup: B01.050.500.131 (Hemiptera)||MM;RC
43230697|*DDT|C0011041|868|MH|Forced Leaf Node Lookup:ddt;checkForceMH Boosted|TI|MM;RC|385^3^0;513^3^0
43230697|*Hex A|C0162330|361|ET|Entry Term Replacement for "Hexosaminidase A";RtM via: Hexosaminidase A;checkForceMH Boosted|TI|MM|390^4^0
43230697|*Hemiptera|C0018992|2301|MH|RtM via: Phylloxera|TI|MM;RC|41^10^0
43230697|*Epidemic|C0014499|795|ET|Entry Term Replacement for "Epidemics";RtM via: Epidemic|TI|MM|189^8^0
43230697|*Seasons|C0036497|534|MH|RtM via: Winter|TI|MM;RC|248^6^0
43230697|*Health Services|C0018747|510|MH|RtM via: Test Method|TI|MM|216^6^0
43230697|Germany|C0017480|6|MH|RtM via: Germany|TI|MM|296^7^0
43230698|Animals|C0003062|3913|CT|Hemiptera;CT Treecode Lookup: B01.050.500.131 (Hemiptera)||MM;RC
43230698|*Farms|C0557759|2913|MH|RtM via: Vineyards;Forced Leaf Node Lookup:vineyards|TI|MM;RC|1074^8^0;32^9^0
43230698|*Hemiptera|C0018992|1674|MH|RtM via: Phylloxera|TI|MM;RC|106^10^0
43230698|*Eggs|C0013710|336|MH|RtM via: Egg Food Product|TI|MM|982^4^0;833^4^0
43230698|*Abstracting and Indexing|C0000858|114|MH|RtM via: Index|TI|MM|925^5^0;884^5^0;737^5^0;301^5^0;144^5^0
43230698|Germany|C0017480|6|MH|RtM via: Germany|TI|MM|76^7^0
43230699|Animals|C0003062|72577|CT|Maggot;CT Treecode Lookup: B05.500 (Maggot);Maggot;CT Treecode Lookup: G07.345.500.550.500 (Maggot)||MM;RC
43230699|*Soil|C0037592|71577|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1984^4^0;1628^4^0;1392^4^0;954^4^0;859^4^0;387^4^0;425^4^0;1034^4^0
43230699|phosphoric acid|C0031700|55267|NM|RtM via: Phosphoric acid;Forced SCR Leaf Node Lookup:phosphoric acid|TI|MM|893^15^0
43230699|*Clays|C0055863|51246|ET|Entry Term Replacement for "Clay";RtM via: clay;checkForceMH Boosted|TI|MM|412^6^0
43230699|*Wetlands|C1721088|49065|MH|RtM via: Marshes;Forced Leaf Node Lookup:marsh|TI|MM|1549^5^0;419^5^0
43230699|*Water|C0043047|45642|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|843^5^0
43230699|*Insecticides|C0021576|45216|MH|RtM via: Insecticides;Forced Leaf Node Lookup:insecticides;checkForceMH Boosted|TI|MM;RC|797^12^0;515^11^0;466^11^0
43230699|*DDT|C0011041|29568|MH|Forced Leaf Node Lookup:ddt;checkForceMH Boosted|TI|MM|1580^3^0
43230699|*Cabbage|C0006619|27654|ET|Entry Term Replacement for "Brassica";RtM via: Cabbage - dietary;checkForceMH Boosted|TI|MM;RC|279^7^0;48^7^0
43230699|*Powders|C0032861|22521|MH|RtM via: Powder dose form;checkForceMH Boosted|TI|MM|1819^6^0;1105^7^0;588^7^0
43230699|*Maggot|C0016386|21048|ET|Entry Term Replacement for "Larva";RtM via: Maggots (invertebrate);checkForceMH Boosted|TI|MM;RC|330^6^0;160^6^0
43230699|*Dust|C0013330|20364|MH|RtM via: Dust;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dust|TI|MM|1608^4^0
43230699|*Adhesive|C0001516|17808|ET|Entry Term Replacement for "Adhesives";RtM via: Adhesives;checkForceMH Boosted|TI|MM|819^10^0;667^8^0
43230699|*Phosphoric Acids|C0031702|55266|HM|RtM via: Phosphoric Acids;RtM via: Phosphoric acid|TI|MM|893^15^0
43230699|Preparation H|C0071888|38752|NM|RtM via: Preparation H|TI|MM|1113^1^1;1119^12^1
43230699|*Phenylmercury Compounds|C0031489|38751|HM|RtM via: Preparation H|TI|MM|1113^1^1;1119^12^1
43230699|*Fish Oils|C0016157|27759|HM|RtM via: Preparation H|TI|MM|1113^1^1;1119^12^1
43230699|*Drug Combinations|C0013162|15276|HM|RtM via: Preparation H|TI|MM|1113^1^1;1119^12^1
43230699|*Mercury|C0025424|12513|MH|RtM via: Mercury;Forced Non-Leaf Node Lookup:hg|TI|MM|214^2^0
43230710|Animals|C0003062|134905|CT|Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
43230710|*Peas|C0030738|133905|MH|RtM via: Peas - dietary;RtM via: Pisum sativum;Forced Leaf Node Lookup:peas;checkForceMH Boosted|TI|MM;RC|404^4^0;176^4^0;60^3^0
43230710|*Parasites|C0030498|13280|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|446^8^0
43230710|*Rotation|C0035868|6430|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|279^8^0;94^8^0
43230710|*Seeds|C0036563|25179|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|237^4^0;140^5^0
43230710|*Crops, Agricultural|C0242775|11592|MH|RtM via: Agricultural Crops|TI|MM|291^5^0;106^5^0
43230710|*Biological Phenomena|C0005520|1398|MH|RtM via: Tissue Growth|TI|MM|351^6^0;223^6^0
43230711|Animals|C0003062|33466|CT|Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
43230711|tempol|C0045283|32466|NM|RtM via: tempol;Forced SCR Leaf Node Lookup:tanol|TI|MM|3156^5^0
43230711|*Suspensions|C0038960|21598|MH|RtM via: Suspensions;Forced Leaf Node Lookup:suspensions|TI|MM|3565^10^0;3215^11^0;3078^10^0;2979^10^0;2837^10^0;2353^10^0;548^10^0
43230711|*Wetlands|C1721088|18886|MH|RtM via: Marshes;Forced Leaf Node Lookup:marshes|TI|MM|2382^6^0;2016^7^0
43230711|*Insecticides|C0021576|16382|MH|RtM via: Insecticides;Forced Leaf Node Lookup:insecticides;checkForceMH Boosted|TI|MM|3450^11^0
43230711|*Soil|C0037592|16072|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|3560^4^0;3210^4^0;3073^4^0;2348^4^0;2389^4^0
43230711|*Parasites|C0030498|14906|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|3015^8^0
43230711|nimesulide|C0132515|14829|NM|RtM via: Nexen;Forced SCR Leaf Node Lookup:nexen|TI|MM|3712^5^0;2762^5^0;1845^5^0;1596^5^0;679^5^0
43230711|*Solubility|C0037628|14512|MH|RtM via: Solubility;Forced Leaf Node Lookup:solubility|TI|MM|2518^10^0
43230711|*Water|C0043047|14005|MH|RtM via: Water;checkForceMH Boosted|TI|MM|3692^8^0;3267^5^0;2532^5^0;2320^5^0
43230711|*DDT|C0011041|13340|MH|Forced Leaf Node Lookup:ddt;checkForceMH Boosted|TI|MM|130^3^0;140^3^0;1061^3^0;1286^3^0;2198^3^0;2244^3^0;2900^3^0;3107^3^0
43230711|*Cabbage|C0006619|9484|ET|Entry Term Replacement for "Brassica";RtM via: Cabbage - dietary;checkForceMH Boosted|TI|MM|3608^7^0;2079^7^0
43230711|*Hex A|C0162330|7447|ET|Entry Term Replacement for "Hexosaminidase A";RtM via: Hexosaminidase A;checkForceMH Boosted|TI|MM|1651^4^0
43230711|North Sea|C0028410|6676|MH|RtM via: North Sea;Forced Leaf Node Lookup:north sea|TI|MM|2006^9^0
43230711|*Lifting|C0206244|6670|MH|Forced Leaf Node Lookup:lifting|TI|MM|3657^7^0
43230711|*Cyclic N-Oxides|C0010538|32465|HM|RtM via: tempol|TI|MM|3156^5^0
43230711|*Spin Labels|C0037914|31643|HM|RtM via: tempol|TI|MM|3156^5^0
43230711|Preparation H|C0071888|28984|NM|RtM via: Preparation H|TI|MM|2256^1^1;2274^12^1
43230711|*Phenylmercury Compounds|C0031489|28983|HM|RtM via: Preparation H|TI|MM|2256^1^1;2274^12^1
43230712|*Umbelliferae|C0524878|22347|ET|Entry Term Replacement for "Apiaceae";RtM via: Apiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:umbelliferae|TI|MM|913^12^0;687^12^0
43230712|*Kerosene|C0022611|21573|MH|RtM via: Kerosene;Forced Leaf Node Lookup:kerosene;checkForceMH Boosted|TI|MM|320^8^0
43230712|*Vegetables|C0042440|19503|MH|RtM via: Vegetables;Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|1335^9^0
43230712|*Temperature|C0039476|15117|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|843^11^0
43230712|*Mineral Oil|C0026156|32709|MH|RtM via: Mineral Oil|TI|MM;RC|1116^12^0;1050^12^0;231^12^0
43230712|*Plant Oils|C0032085|22791|MH|RtM via: Plant Oils|TI|MM;RC|1232^4^0;354^4^0;125^4^0
43230712|*Transition Temperature|C1257885|7650|MH|RtM via: Boiling Point Temperature|TI|MM|531^13^0
43230712|*Minerals|C0026162|2979|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|109^7^0;231^7^0;1050^7^0;1116^7^0
43230712|*Plant Leaves|C0242724|2451|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|831^6^0
43230712|*Survey|C0038951|1452|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|26^6^0
43230712|Germany|C0017480|285|MH|RtM via: Germany|TI|MM|1188^7^0
43230723|*Penicillin|C0220892|130932|ET|Entry Term Replacement for "Penicillins";RtM via: Penicillin;RtM via: Penicillins;checkForceMH Boosted|TI|MM|434^10^0
43230723|*Cladosporium|C0008886|41436|MH|RtM via: Cladosporium;Forced Leaf Node Lookup:cladosporiums;checkForceMH Boosted|TI|MM;RC|122^12^0
43230723|*Fusarium|C0016871|30963|MH|RtM via: Fusarium;Forced Leaf Node Lookup:fusariums;checkForceMH Boosted|TI|MM;RC|112^8^0
43230723|*Antibiotic|C0003232|26406|ET|Entry Term Replacement for "Anti-Bacterial Agents";RtM via: Antibiotics;checkForceMH Boosted|TI|MM|156^10^0
43230723|*Hunger|C0020175|8040|MH|RtM via: Hunger;Forced Leaf Node Lookup:hunger|TI|MM|373^6^0
43230723|*Fungi|C0016832|11577|MH|RtM via: Fungi;RtM via: Filamentous fungus;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|93^5^0;445^6^0
43230723|*Cell Nucleus|C0007610|2766|MH|RtM via: Cell Nucleus;RtM via: Nuclear (nucleus)|TI|MM;RC|328^6^0;216^7^0;21^7^0
43230723|*Color|C0009393|606|MH|RtM via: Color|TI|MM|43^9^0
43230723|*Diagnostic Tests, Routine|C0011930|342|MH|RtM via: Fungi Measurement|TI|MM|93^5^0
43230725|Animals|C0003062|26694|CT|Beetle;CT Treecode Lookup: B01.050.500.131 (Beetle);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
43230725|*Beetle|C0009276|25694|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM;RC|382^6^0;161^6^0
43230725|*Seedlings|C0242437|15765|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|320^8^0;184^9^0
43230725|*Cabbage|C0006619|13457|ET|Entry Term Replacement for "Brassica";RtM via: Cabbage - dietary;checkForceMH Boosted|TI|MM;RC|329^7^0;176^7^0
43230725|*Vegetables|C0042440|12652|MH|RtM via: Vegetables;Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|116^9^0
43230725|*Parasites|C0030498|11251|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM;RC|409^8^0
43230725|*Hex A|C0162330|4361|ET|Entry Term Replacement for "Hexosaminidase A";RtM via: Hexosaminidase A;checkForceMH Boosted|TI|MM|493^4^0
43230725|*Rape|C0034668|3056|MH|RtM via: Forcible intercourse;Forced Leaf Node Lookup:rape|TI|MM|258^4^0
43230725|*Breeding|C0006159|1683|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|197^8^0
43230725|*Esters|C0014898|747|MH|RtM via: Esters|TI|MM|522^5^0
43230726|Animals|C0003062|57150|CT|Beetle;CT Treecode Lookup: B01.050.500.131 (Beetle)||MM;RC
