C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\tranamermicrsoci\input.txt
10.2307/3224628|Animals|C0003062|68320|CT|Animal Shells;CT Treecode Lookup: A13.080 (Animal Shells);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea)||MM;RC
10.2307/3224631|Southwestern United States|C0037728|6291|MH|RtM via: Southwestern United States|TI|MM|172^26^0
10.2307/3224631|California|C0006754|6228|MH|RtM via: California|TI|MM|476^10^0
10.2307/3224631|China|C0008115|3417|MH|RtM via: China|TI|MM|326^5^0
10.2307/3224631|Europe|C0015176|3228|MH|RtM via: Europe|TI|MM|302^6^0
10.2307/3224631|Africa|C0001737|3048|MH|RtM via: Africa|TI|MM|310^6^0
10.2307/3224631|Russia|C0035970|321|MH|RtM via: Russia|TI|MM|318^6^0
10.2307/3224632|Female|C0086287|32260|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|176^7^0
10.2307/3224632|Male|C0086582|32260|CT|Sperm;CT Treecode Lookup: A05.360.490.890 (Sperm);Sperm;CT Treecode Lookup: A11.497.760 (Sperm);CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|32^4^0;134^5^0
10.2307/3224632|*Seasons|C0036497|22703|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|658^6^0
10.2307/3224632|*Reproduction|C0035150|31260|MH|RtM via: Reproduction|TI|MM;RC|486^12^0;266^12^0;37^12^0
10.2307/3224632|*Molting|C0282576|18006|MH|RtM via: Molting|TI|MM|913^4^0;950^5^0
10.2307/3224632|*Sperm|C0037868|16131|ET|Entry Term Replacement for "Spermatozoa";RtM via: sperm cell;Forced Non-Leaf Node Lookup:sperm|TI|MM;RC|729^5^0;584^5^0
10.2307/3224632|*Breeding|C0006159|14595|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|649^8^0;439^8^0;143^8^0
10.2307/3224632|*Longitudinal Studies|C0023981|255|MH|RtM via: Continuous|TI|MM|416^10^0
10.2307/3224633|*Rivers|C0337050|54576|MH|RtM via: Streams;RtM via: Rivers;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|118^6^0;333^5^0
10.2307/3224633|*Polymethyl Methacrylate|C0005533|8739|MH|RtM via: Plexiglas;RtM via: Plexiglass;Forced Leaf Node Lookup:plexiglass;checkForceMH Boosted|TI|MM|81^10^0
10.2307/3224633|*Heterotrophy|C0598537|27186|ET|Entry Term Replacement for "Heterotrophic Processes";RtM via: Heterotrophy|TI|MM;RC|180^13^0
10.2307/3224633|*Autotrophy|C1157851|13683|ET|Entry Term Replacement for "Autotrophic Processes";RtM via: Autotrophy|TI|MM|164^11^0
10.2307/3224633|*Carbon Cycle|C2936196|2958|MH|RtM via: carbon fixation|TI|MM|164^11^0
10.2307/3224634|Animals|C0003062|27886|CT|Bryozoa;CT Treecode Lookup: B01.050.500.217 (Bryozoa)||MM;RC
10.2307/3224634|North Carolina|C0028407|9418|MH|RtM via: North Carolina;Forced Leaf Node Lookup:north carolina|TI|MM|175^14^0
10.2307/3224634|Tennessee|C0039514|9418|MH|RtM via: Tennessee;Forced Leaf Node Lookup:tennessee|TI|MM|91^9^0
10.2307/3224634|*Plankton|C0032071|7267|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM|492^8^0
10.2307/3224634|*Radius|C0034627|2338|MH|RtM via: Bone structure of radius;Forced Leaf Node Lookup:radius|TI|MM|154^6^0
10.2307/3224634|*Bryozoa|C0006328|26886|MH|RtM via: Bryozoa;RtM via: Plumatella emarginata;RtM via: Plumatella repens;RtM via: Fredericella sultana;RtM via: Hyalinella punctata|TI|MM;RC|561^9^0;344^21^0;249^17^0;287^20^0;314^19^0
10.2307/3224634|*River|C0337050|5049|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM|123^5^0
10.2307/3224634|*Biological Phenomena|C0005520|1404|MH|RtM via: Tissue Growth|TI|MM|614^6^0;376^6^0
10.2307/3224635|Animals|C0003062|249970|CT|Tapeworm;CT Treecode Lookup: B01.050.500.500 (Tapeworm);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Crassostrea;CT Treecode Lookup: B01.050.500.644 (Crassostrea);Oysters;CT Treecode Lookup: B01.050.500.644 (Oysters);Gills;CT Treecode Lookup: A13.421 (Gills);Mollusk;CT Treecode Lookup: B01.050.500.644 (Mollusk)||MM;RC
10.2307/3224635|*Parasites|C0030498|80657|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM;RC|808^9^0;923^9^0
10.2307/3224635|*Crassostrea|C0998142|54733|MH|RtM via: Crassostrea virginica;Forced Leaf Node Lookup:crassostrea virginicas|TI|MM;RC|64^21^0
10.2307/3224635|*Gills|C0017558|29128|MH|RtM via: Gill structure;Forced Leaf Node Lookup:gill|TI|MM;RC|660^4^0;302^4^0
10.2307/3224635|*Capsules|C0006935|23284|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|1236^8^0
10.2307/3224635|Hawaii|C0018619|22423|MH|RtM via: Hawaii;Forced Leaf Node Lookup:hawaii|TI|MM|126^6^0
10.2307/3224635|*Tapeworm|C1706526|248970|ET|Entry Term Replacement for "Cestoda";RtM via: Class Cestoda;RtM via: Tylocephalum;Forced Non-Leaf Node Lookup:tapeworms|TI|MM;RC|232^8^0;1396^12^0;165^12^0
10.2307/3224635|*Cestode Infections|C0007894|115461|MH|RtM via: Cestode Infections|TI|MM|232^8^0
10.2307/3224635|*Stomach|C0038351|11733|MH|RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|259^7^0
10.2307/3224635|*Digestive Tract|C0017189|7683|ET|Entry Term Replacement for "Gastrointestinal Tract";RtM via: Gastrointestinal tract structure;Forced Non-Leaf Node Lookup:digestive tracts|TI|MM|1049^15^0
10.2307/3224636|Animals|C0003062|8392|CT|Pentastomida;CT Treecode Lookup: B01.050.500.131 (Pentastomida);Lizards;CT Treecode Lookup: B01.050.150.900.833 (Lizards);Agkistrodon;CT Treecode Lookup: B01.050.150.900.833 (Agkistrodon)||MM;RC
10.2307/3224636|*Agkistrodon|C0206312|1054|MH|RtM via: Agkistrodon acutus;Forced Leaf Node Lookup:agkistrodon;checkForceMH Boosted|TI|MM;RC|330^18^0
10.2307/3224636|*Pentastomida|C0323835|7392|MH|RtM via: Armillifer agkistrodontis|TI|MM;RC|279^25^0
10.2307/3224636|*Lizards|C0023916|1302|MH|RtM via: Varanus salvator|TI|MM;RC|72^16^0
10.2307/3224637|*Lakes|C0337049|5430|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM;RC|169^5^0
10.2307/3224637|Michigan|C0025939|741|MH|RtM via: Michigan (geographic location);Forced Leaf Node Lookup:michigan|TI|MM;RC|160^8^0
10.2307/3224637|*Dinoflagellida|C0012470|1533|MH|RtM via: Dinophyceae|TI|MM|74^11^0
10.2307/3224637|*Records|C0034869|69|MH|RtM via: Records|TI|MM|294^7^0
10.2307/3224638|Animals|C0003062|45636|CT|Artemia;CT Treecode Lookup: B01.050.500.131 (Artemia);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/3224638|*Pepsin A|C0030909|44636|MH|RtM via: Pepsin A;Forced Leaf Node Lookup:pepsin;checkForceMH Boosted|TI|MM|277^6^0;344^6^0
10.2307/3224638|*Artemia|C0003831|28497|MH|RtM via: Artemia;RtM via: Artemia salina;Forced Leaf Node Lookup:brine shrimps;Forced Leaf Node Lookup:artemias;checkForceMH Boosted|TI|MM;RC|859^7^0;640^7^0;124^12^0;138^14^0
10.2307/3224638|*Trypsin|C0041236|28238|MH|RtM via: TRYPSIN;Forced Leaf Node Lookup:trypsin;checkForceMH Boosted|TI|MM|289^7^0;356^7^0
10.2307/3224638|*Lipase|C0023764|16198|MH|RtM via: Lipase;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lipase|TI|MM|269^6^0;336^6^0
10.2307/3224638|*Chitinase|C0008145|9451|ET|Entry Term Replacement for "Chitinases";RtM via: Chitinases;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chitinases|TI|MM|325^9^0
10.2307/3224638|*Eggs|C0013710|5301|MH|RtM via: Egg Food Product|TI|MM;RC|867^4^0;648^4^0;365^3^0;219^4^0;90^3^0;112^4^0
10.2307/3224638|*Bird|C0005595|2196|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM|803^4^0;588^5^0
10.2307/3224638|*Gastrointestinal Agents|C0017173|1632|MH|RtM via: Digestive Enzymes|TI|MM|69^17^0
10.2307/3224638|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|479^2^0
10.2307/3224639|Animals|C0003062|59680|CT|Beetles;CT Treecode Lookup: B01.050.500.131 (Beetles);Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Ursidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ursidae)||MM;RC
10.2307/3224639|*Beetles|C0009276|58680|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;RtM via: Staphylinidae;RtM via: Pontomalota;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM;RC|759^7^0;50^7^0;133^20^0;88^11^0
10.2307/3224639|*Ursidae|C0004897|12180|MH|RtM via: Ursidae Family;Forced Leaf Node Lookup:bear;checkForceMH Boosted|TI|MM|625^4^0;256^4^0
10.2307/3224639|*Specialization|C0037776|4836|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|676^11^0
10.2307/3224639|*Insects|C0021585|51972|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|881^7^0;248^7^0
10.2307/3224639|*Chemoreceptor Cells|C0008010|2652|MH|RtM via: Chemoreceptor Cells|TI|MM|716^13^0
10.2307/3224639|*Sounds|C0037709|1362|ET|Entry Term Replacement for "Sound";RtM via: Sound - physical agent|TI|MM|1025^6^0
10.2307/3224639|*Food|C0016452|1209|MH|RtM via: Food|TI|MM|784^4^0
10.2307/3224639|Oceans and Seas|C0028815|1000|MH|Forced Non-Leaf Node Lookup:oceans||MM|190^5^0
10.2307/3224640|Animals|C0003062|109827|CT|Forced Lookup:chickens;Forced Animals Lookup:goslings;Turkeys;CT Treecode Lookup: B01.050.150.900.248 (Turkeys);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Quail;CT Treecode Lookup: B01.050.150.900.248 (Quail)|TI|MM;RC|627^8^0;134^8^0;248^8^0;273^8^0
10.2307/3224640|*Turkeys|C0041401|108827|MH|RtM via: Meleagris gallopavo;RtM via: Turkey (organism);Forced Leaf Node Lookup:turkeys;checkForceMH Boosted|TI|MM;RC|460^12^0;429^6^0;385^7^0;465^7^0
10.2307/3224640|*Chickens|C0008051|94330|MH|RtM via: Chickens;Forced Lookup:chickens;checkForceMH Boosted|TI|MM;RC|627^8^0
10.2307/3224640|*Geese|C0017225|45728|MH|Forced Leaf Node Lookup:geese;Forced Animals Lookup:goslings;checkForceMH Boosted|TI|MM;RC|71^5^0;134^8^0;248^8^0;273^8^0
10.2307/3224640|*Parasites|C0030498|42278|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|530^8^0;365^10^0;103^8^0
10.2307/3224640|Wisconsin|C0043193|15520|MH|RtM via: Wisconsin;Forced Leaf Node Lookup:wisconsin|TI|MM|88^9^0
10.2307/3224640|*Plasmodium|C0032148|56100|MH|RtM via: Plasmodium <genus>;RtM via: Plasmodium lophurae;Forced Non-Leaf Node Lookup:plasmodiums|TI|MM;RC|350^10^0;30^10^0;581^19^0
10.2307/3224640|*Ducks|C0013268|23703|MH|RtM via: Branta canadensis|TI|MM;RC|64^12^0
10.2307/3224640|*Quail|C0034374|11037|MH|RtM via: Domestic pheasant|TI|MM|376^16^0
10.2307/3224640|Canada|C0006823|1000|MH|Forced Non-Leaf Node Lookup:canada||MM;RC|64^6^0
10.2307/3224640|Infections|C3714514|1000|MH|Forced Non-Leaf Node Lookup:infection||MM|200^9^0
10.2307/3224641|Animals|C0003062|370745|CT|Metacercariae;CT Treecode Lookup: B05.500 (Metacercariae);Metacercariae;CT Treecode Lookup: G07.345.500.550.500 (Metacercariae);Cercaria;CT Treecode Lookup: B05.500 (Cercaria);Cercaria;CT Treecode Lookup: G07.345.500.550.500 (Cercaria);Mytilus edulis;CT Treecode Lookup: B01.050.500.644 (Mytilus edulis);Himasthla;CT Treecode Lookup: B01.050.500.500 (Himasthla);Mercenaria;CT Treecode Lookup: B01.050.500.644 (Mercenaria);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Molluscs;CT Treecode Lookup: B01.050.500.644 (Molluscs);Crassostrea;CT Treecode Lookup: B01.050.500.644 (Crassostrea);Mya;CT Treecode Lookup: B01.050.500.644 (Mya);Gills;CT Treecode Lookup: A13.421 (Gills);Bivalvia;CT Treecode Lookup: B01.050.500.644 (Bivalvia)||MM;RC
10.2307/3224641|Male|C0086582|370745|CT|Testis;CT Treecode Lookup: A05.360.444 (Testis)||MM;RC
10.2307/3224641|*Metacercariae|C2936402|369745|MH|RtM via: Metacercariae;Forced Leaf Node Lookup:metacercariae;checkForceMH Boosted|TI|MM;RC|1192^13^0;954^13^0;744^13^0;601^13^0;519^13^0;387^13^0
10.2307/3224641|*Mytilus edulis|C0446373|104192|MH|RtM via: Mytilus edulis;Forced Leaf Node Lookup:mytilus edulis|TI|MM;RC|110^14^0
10.2307/3224641|*Mercenaria|C0998165|90962|MH|RtM via: Mercenaria mercenaria;Forced Leaf Node Lookup:mercenarias|TI|MM;RC|175^21^0;186^10^0
10.2307/3224641|*Parasites|C0030498|76069|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|677^8^0
10.2307/3224641|*Crassostrea|C0998142|57344|MH|RtM via: Crassostrea virginica;Forced Leaf Node Lookup:crassostrea virginicas|TI|MM;RC|77^21^0
10.2307/3224641|*Mya|C0998170|52934|MH|RtM via: Clams, Softshell;Forced Leaf Node Lookup:mya arenarias|TI|MM;RC|161^12^0
10.2307/3224641|*Gills|C0017558|39518|MH|RtM via: Gill structure;Forced Leaf Node Lookup:gill|TI|MM|1224^4^0
10.2307/3224641|*Testis|C0039597|33815|MH|RtM via: Testis;Forced Leaf Node Lookup:testes|TI|MM|771^6^0
10.2307/3224641|*Cercaria|C0321907|135216|MH|RtM via: Cercaria|TI|MM|284^9^0
10.2307/3224641|*Himasthla|C0019545|95457|ET|Entry Term Replacement for "Trematoda";RtM via: Himasthla;RtM via: Cercaria <Heterophyidae>|TI|MM;RC|261^9^0;284^9^0
10.2307/3224641|*Connective Tissue|C0009780|357|MH|RtM via: Connective tissue fiber;Forced Non-Leaf Node Lookup:connective tissues|TI|MM|908^24^0
10.2307/3224641|*Cyst|C0010709|270|ET|Entry Term Replacement for "Cysts";RtM via: Cyst;Forced Non-Leaf Node Lookup:cyst|TI|MM|701^4^0
10.2307/3224643|*Fossils|C0016614|16929|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|411^6^0
10.2307/3224643|New York|C0027976|1587|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|97^8^0
10.2307/3224643|*Freshwater|C0016710|11304|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM;RC|374^10^0;138^10^0;418^10^0;607^10^0
10.2307/3224643|*Plants|C0032098|2535|MH|RtM via: Fresh water algae|TI|MM;RC|418^16^0;138^16^0
10.2307/3224643|*Specimen Handling|C0037793|270|MH|RtM via: Sampling|TI|MM|569^7^0
10.2307/3224644|Bees|C0004923|56701|CT|RtM via: Apidae;RtM via: Colletidae;RtM via: Halictidae;Forced Leaf Node Lookup:apidae|TI|MM;RC|210^6^0;170^10^0;194^10^0
10.2307/3224644|Animals|C0003062|56701|CT|RtM via: Apidae;RtM via: Colletidae;RtM via: Halictidae;Butterflies;CT Treecode Lookup: B01.050.500.131 (Butterflies);Diptera;CT Treecode Lookup: B01.050.500.131 (Diptera);Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)|TI|MM;RC|210^6^0;170^10^0;194^10^0
10.2307/3224644|*Butterflies|C0006496|27288|MH|RtM via: Family Nymphalidae;RtM via: Lycaenidae;RtM via: Pieridae;Forced Leaf Node Lookup:nymphalidae;Forced Leaf Node Lookup:lycaenidae;checkForceMH Boosted|TI|MM;RC|98^11^0;121^10^0;111^8^0
10.2307/3224644|*Flowers|C0330090|27330|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|229^7^0
10.2307/3224644|*Diptera|C0012578|14352|MH|RtM via: Bombyliidae;RtM via: Family Syrphidae|TI|MM;RC|146^11^0;159^9^0
10.2307/3224644|Moths|C0026593|1000|MH|Forced Non-Leaf Node Lookup:geometridae||MM|133^11^0
10.2307/3224645|*Tetrahymena|C0039679|1756|MH|RtM via: Tetrahymena vorax;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tetrahymenas|TI|MM;RC|28^17^0
10.2307/3224646|Animals|C0003062|35352|CT|Ostracods;CT Treecode Lookup: B01.050.500.131 (Ostracods)||MM;RC
10.2307/3224646|Nevada|C0027951|34352|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM;RC|400^6^0;104^6^0
10.2307/3224646|*Lakes|C0337049|22919|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|416^4^0
10.2307/3224646|Wyoming|C0043287|18821|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM|363^7^0;128^7^0
10.2307/3224646|Washington|C0043038|18302|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|351^10^0;112^10^0
10.2307/3224646|California|C0006754|14484|MH|RtM via: California|TI|MM|385^10^0;92^10^0
10.2307/3224646|*Ostracods|C0598247|13131|ET|Entry Term Replacement for "Crustacea";RtM via: Ostracoda;RtM via: Stenocypris;RtM via: Cypridopsis|TI|MM;RC|50^9^0;260^11^0;179^11^0
10.2307/3224646|*Geraniaceae|C0996910|468|MH|RtM via: California (plant)|TI|MM|385^10^0;92^10^0
10.2307/3224313|Animals|C0003062|159915|CT|Cladocera;CT Treecode Lookup: B01.050.500.131 (Cladocera);Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton);Rotifera;CT Treecode Lookup: B01.050.500.500 (Rotifera);Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/3224313|*Cladocera|C0446344|158915|MH|RtM via: Cladocera (invertebrate);checkForceMH Boosted;Forced Non-Leaf Node Lookup:cladoceras|TI|MM;RC|789^9^0;593^9^0
10.2307/3224313|*Zooplankton|C0043530|157846|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM;RC|55^11^0
10.2307/3224313|*Copepoda|C0323853|93120|MH|RtM via: Copepoda;Forced Leaf Node Lookup:copepodas;Forced Leaf Node Lookup:copepods;checkForceMH Boosted|TI|MM|779^8^0;722^7^0;568^8^0;219^7^0
10.2307/3224313|*Plankton|C0032071|58712|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM;RC|1392^8^0;992^8^0;354^8^0
10.2307/3224313|*Lakes|C0337049|56666|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM;RC|162^5^0
10.2307/3224313|*Swimming|C0039003|24467|MH|RtM via: Swimming;Forced Leaf Node Lookup:swimming|TI|MM|1107^8^0;1148^8^0
10.2307/3224313|*Water|C0043047|24149|MH|RtM via: Water;checkForceMH Boosted|TI|MM|902^5^0;669^5^0;519^5^0;392^5^0;194^5^0;135^5^0
10.2307/3224313|Colorado|C0009399|19829|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|153^8^0
10.2307/3224313|*Rotifera|C0035873|93402|MH|RtM via: Rotifera|TI|MM;RC|1303^8^0;755^7^0;276^8^0
10.2307/3224313|*Plant|C0032098|9063|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|1080^5^0
10.2307/3224313|*Habits|C0018464|282|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|964^6^0
10.2307/3224314|Animals|C0003062|164548|CT|Rana pipiens;CT Treecode Lookup: B01.050.150.900.090 (Rana pipiens);CT Text Lookup: mammalian|TI|MM;RC|568^9^0
10.2307/3224314|*Rana pipiens|C0034653|41225|MH|RtM via: Rana pipiens;Forced Leaf Node Lookup:rana pipiens;checkForceMH Boosted|TI|MM|147^12^0
10.2307/3224314|*Carcinoma, Renal Cell|C0007134|30538|MH|RtM via: Renal Cell Carcinoma;Forced Leaf Node Lookup:renal adenocarcinomas|TI|MM|243^20^0
10.2307/3224314|*Electrons|C0013852|18565|MH|Forced Leaf Node Lookup:electrons|TI|MM|31^8^0
10.2307/3224314|*Nephron|C0027713|163548|ET|Entry Term Replacement for "Nephrons";RtM via: Nephrons;Forced Non-Leaf Node Lookup:nephrons|TI|MM;RC|1264^7^0;1158^7^0;578^7^0;334^7^0
10.2307/3224314|*Kidney|C0022646|90645|MH|RtM via: Kidney;RtM via: Both kidneys|TI|MM;RC|137^6^0;102^7^0
10.2307/3224314|*Kidney Glomerulus|C0022663|85275|MH|RtM via: Kidney Glomerulus|TI|MM;RC|704^10^0
10.2307/3224314|*Kidney Tubules, Proximal|C0022677|49179|MH|RtM via: Kidney Tubules, Proximal|TI|MM;RC|808^15^0
10.2307/3224314|Kidney Neoplasms|C0022665|1000|MH|Neoplasm Coordination Rule: Carcinoma, Renal Cell;Other Coordination Rule: Carcinoma, Renal Cell||MM
