C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668594|*Woods|C0043217|6207|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|37^5^0
10.2307/3668594|*Metamorphosis, Biological|C0025558|5181|MH|RtM via: Biological Metamorphosis|TI|MM|1147^13^0
10.2307/3668594|*Environment|C0014406|4116|MH|RtM via: Woods|TI|MM|37^5^0
10.2307/3668594|*Reproductive Organs|C0017420|3297|ET|Entry Term Replacement for "Genitalia";RtM via: Genitalia;Forced Non-Leaf Node Lookup:reproductive organs|TI|MM|791^19^0
10.2307/3668594|*Longitudinal Studies|C0023981|600|MH|RtM via: Continuous|TI|MM|202^12^0
10.2307/3668595|*Wood|C0043217|16068|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|769^4^0;507^4^0;28^4^0
10.2307/3668595|*Walls, Cell|C0007623|4329|ET|Entry Term Replacement for "Cell Wall";RtM via: Cell Wall;Forced Non-Leaf Node Lookup:cell walls|TI|MM;RC|255^10^0
10.2307/3668595|*Rubiaceae|C0524885|3615|MH|RtM via: Duperrea;RtM via: Ixoroideae;RtM via: Nichallea;RtM via: Pavetta;RtM via: Pavetteae;RtM via: Tarenna;RtM via: Ixora|TI|MM|777^8^0;130^10^0;1071^9^0;1085^7^0;911^9^0;61^9^0;1038^7^0;492^5^0
10.2307/3668595|*Dietary Fiber|C0012173|2649|MH|RtM via: Dietary Fiber|TI|MM|180^5^0
10.2307/3668595|*Laxatives|C0282090|1659|MH|RtM via: Fiber|TI|MM|180^5^0
10.2307/3668596|Animals|C0003062|57337|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)|TI|MM
10.2307/3668596|*Frullania|C1043706|21596|MH|RtM via: Frullania;Forced Leaf Node Lookup:frullanias;checkForceMH Boosted|TI|MM|659^9^0
10.2307/3668596|*Capsules|C0006935|3703|MH|Forced Leaf Node Lookup:capsules|TI|MM|691^8^0
10.2307/3668596|*Hepatophyta|C0996514|56337|MH|RtM via: Marchantiophyta;RtM via: Austrolejeunea;RtM via: Family Jubulaceae;RtM via: Lejeuneaceae|TI|MM;RC|104^9^0;703^14^0;670^10^0;92^10^0;505^12^0;75^12^0
10.2307/3668596|*Spores|C0038027|15954|MH|RtM via: Reproduction spores;RtM via: Plant spore;Forced Non-Leaf Node Lookup:spores|TI|MM;RC|297^6^0
10.2307/3668596|*Walls, Cell|C0007623|444|ET|Entry Term Replacement for "Cell Wall";RtM via: Cell Wall;Forced Non-Leaf Node Lookup:cell walls|TI|MM|198^10^0
10.2307/3668596|*Coleoptera|C0009276|390|MH|RtM via: Elater|TI|MM|288^7^0
10.2307/3668597|Animals|C0003062|65483|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)|TI|MM
10.2307/3668597|*Inflorescence|C2697680|64483|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|1442^13^0;1248^14^0;962^14^0;347^13^0
10.2307/3668597|*Ascorbate Peroxidases|C3178941|63901|MH|RtM via: Ascorbate Peroxidases;RtM via: L-Ascorbate peroxidase;Forced Leaf Node Lookup:ascorbate peroxidases;checkForceMH Boosted|TI|MM|921^20^0
10.2307/3668597|*Droughts|C0013140|60818|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|751^7^0
10.2307/3668597|*Temperature|C0039476|55750|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|441^11^0;550^12^0
10.2307/3668597|*Flowering Plants|C0330209|44804|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM|362^16^0
10.2307/3668597|*Viverridae|C1135593|39040|MH|RtM via: Genets;Forced Leaf Node Lookup:genets;checkForceMH Boosted|TI|MM|216^5^0
10.2307/3668597|*Catalase|C0007367|24160|MH|Forced Leaf Node Lookup:catalase;checkForceMH Boosted|TI|MM|1006^8^0
10.2307/3668597|*Cell Nucleus|C0007610|12942|MH|RtM via: Cell Nucleus|TI|MM|1333^6^0
10.2307/3668597|*DNA Replication|C0598312|12537|MH|RtM via: DNA Replication;RtM via: DNA biosynthetic process;Forced Non-Leaf Node Lookup:dna replications|TI|MM|1529^13^0;1457^15^0;1289^15^0
10.2307/3668597|*Poaceae|C0018210|11202|MH|RtM via: Fargesia|TI|MM;RC|89^8^0
10.2307/3668597|*Superoxide Dismutase|C0038838|10236|MH|RtM via: Superoxide Dismutase;Forced Non-Leaf Node Lookup:superoxide dismutase|TI|MM|896^20^0
10.2307/3668597|*DNA|C0012854|5718|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|1324^3^0;1529^3^0
10.2307/3668597|*Oxidative Stress|C0242606|3963|MH|RtM via: Oxidative Stress;Forced Non-Leaf Node Lookup:oxidative stress|TI|MM|841^16^0;720^16^0
10.2307/3668597|Cytokinins|C0010815|1000|MH|Forced Non-Leaf Node Lookup:cytokinins||MM|1579^9^0
10.2307/3668597|Europe|C0015176|9|MH|RtM via: Western Europe;RtM via: Europe|TI|MM|164^14^0;237^6^0
10.2307/3668598|*Aristolochiaceae|C0949902|101780|MH|RtM via: Aristolochiaceae;RtM via: Saruma;RtM via: Thottea;RtM via: Holostylis;RtM via: Pararistolochia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:aristolochiaceae|TI|MM|121^16^0;184^6^0;1380^7^0;1073^10^0;1431^15^0
10.2307/3668598|*Asarum|C0330223|77851|MH|RtM via: Asarum;Forced Leaf Node Lookup:asarums;checkForceMH Boosted|TI|MM|195^6^0
10.2307/3668598|*Aristolochia|C0330220|72793|MH|RtM via: Aristolochia;Forced Leaf Node Lookup:aristolochias;checkForceMH Boosted|TI|MM|1389^12^0;638^12^0
10.2307/3668598|*Inflorescence|C2697680|59497|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|278^14^0;218^14^0;40^13^0
10.2307/3668598|*Phylogeny|C0031797|11407|MH|Forced Lookup:phylogenetic|TI|MM;RC|92^12^0;1751^12^0
10.2307/3668598|GZMB protein, human|C1567160|20584|NM|RtM via: GZMB protein, human|TI|MM|778^4^0
10.2307/3668598|*Granzymes|C1333877|20583|HM|RtM via: GZMB protein, human|TI|MM|778^4^0
10.2307/3668598|*Flowers|C0330090|18009|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1920^7^0;595^8^0;479^6^0
10.2307/3668598|*Biological Phenomena|C0005520|1647|MH|RtM via: Tissue Growth|TI|MM|247^6^0
10.2307/3668598|*Survey|C0038951|468|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|30^6^0
10.2307/3668599|Female|C0086287|18701|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary)|TI|MM
10.2307/3668599|*Nectars|C2717960|17701|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM|1280^9^0
10.2307/3668599|*Phylogeny|C0031797|11833|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|1388^12^0
10.2307/3668599|*Meristem|C0242728|9895|MH|RtM via: Meristem;Forced Leaf Node Lookup:meristems|TI|MM|668^8^0;867^8^0
10.2307/3668599|*Portulaca|C0330345|8273|MH|RtM via: Portulaca;Forced Leaf Node Lookup:portulacas;checkForceMH Boosted|TI|MM|1442^9^0;1052^9^0
10.2307/3668599|*Ovary|C0029939|2764|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovary|TI|MM|489^5^0
10.2307/3668599|GZMB protein, human|C1567160|16594|NM|RtM via: GZMB protein, human|TI|MM|82^4^0
10.2307/3668599|*Granzymes|C1333877|16593|HM|RtM via: GZMB protein, human|TI|MM|82^4^0
10.2307/3668599|*Caryophyllales|C0996694|8763|MH|RtM via: Talinum;RtM via: Xenia <angiosperm>|TI|MM|1430^7^0;1293^7^0;1040^7^0;281^7^0;1416^12^0;1305^12^0;88^12^0;69^12^0
10.2307/3668599|*Running|C0035953|369|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|1106^7^0
10.2307/3668600|*Ovule|C2718098|89973|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM;RC|518^6^0;47^5^0
10.2307/3668600|*Convallariaceae|C1008921|33642|ET|Entry Term Replacement for "Asparagaceae";RtM via: Asparagaceae;RtM via: Comospermum;RtM via: Comospermum yedoense;RtM via: Eriospermum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:convallariaceae|TI|MM|352^15^0;336^11^0;158^11^0;81^20^0;174^11^0;106^11^0
10.2307/3668600|*Respect|C0679133|5454|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|303^8^0
10.2307/3668600|*Flower|C0330090|14484|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|28^6^0
10.2307/3668600|*Seed|C0036563|9183|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|243^4^0
10.2307/3668600|*Chromosomes|C0008633|219|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|480^17^0
10.2307/3668601|Animals|C0003062|73926|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
10.2307/3668601|Female|C0086287|73926|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary)||MM
10.2307/3668601|*Hydrophyllaceae|C0971875|72926|MH|RtM via: Hydrophyllaceae;RtM via: Phacelia;Forced Leaf Node Lookup:hydrophyllaceae;checkForceMH Boosted|TI|MM|614^15^0;75^15^0;65^8^0
10.2307/3668601|*Nectars|C2717960|63577|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM;RC|545^7^0
10.2307/3668601|*Boraginaceae|C0331262|34159|MH|RtM via: Boraginaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:boraginaceae|TI|MM|634^12^0
10.2307/3668601|*Ovary|C0029939|8113|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovaries|TI|MM|358^7^0
10.2307/3668601|*Fruit|C0016767|6871|MH|Forced Leaf Node Lookup:fruits|TI|MM|118^5^0
10.2307/3668601|*Flower|C0330090|20820|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|107^6^0
10.2307/3668601|*Reproduction|C0035150|1296|MH|RtM via: fruit development|TI|MM|118^17^0
10.2307/3668601|*Gastropoda|C0324023|876|MH|RtM via: Corolla (genus)|TI|MM|562^7^0;186^7^0
10.2307/3668602|Male|C0086582|45463|CT|CT Text Lookup: male|TI|MM;RC|367^4^0
10.2307/3668602|Female|C0086287|45463|CT|CT Text Lookup: female|TI|MM;RC|357^6^0
10.2307/3668602|*Pollination|C1522786|44463|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|490^11^0;302^11^0
10.2307/3668602|*Magnoliaceae|C0949947|35310|MH|RtM via: Magnoliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:magnoliaceae|TI|MM|1356^12^0;996^12^0;870^12^0;428^12^0;125^12^0
10.2307/3668602|*Annonaceae|C0949899|31917|MH|RtM via: Annonaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:annonaceae|TI|MM|1158^10^0;978^10^0;852^10^0;783^10^0;110^10^0
10.2307/3668602|*Fruit|C0016767|7839|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1472^5^0;506^8^0
10.2307/3668602|*Pollen|C0032385|20601|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1329^6^0;383^6^0
10.2307/3668602|*Flowers|C0330090|12465|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|441^7^0;225^7^0
10.2307/3668602|*Nutritional Status|C0392209|1893|MH|RtM via: Nutritional status|TI|MM|1459^9^0
10.2307/3668602|*Infertility|C0021359|1842|MH|RtM via: Infertility|TI|MM|700^7^0
10.2307/3668602|*Longitudinal Studies|C0023981|285|MH|RtM via: Continuous|TI|MM|243^10^0
10.2307/3668603|Female|C0086287|81644|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|566^5^0
10.2307/3668603|*Convolvulaceae|C0949810|80644|MH|RtM via: Turbina;RtM via: Convolvulaceae;RtM via: Stictocardia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:convolvulaceae|TI|MM|1089^7^0;479^7^0;659^14^0;111^14^0;1073^12^0;462^12^0
10.2307/3668603|*Ipomoea|C0949118|52840|MH|RtM via: Ipomoea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ipomoeas|TI|MM|810^7^0;264^7^0
10.2307/3668603|*Ovary|C0029939|15788|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovaries;Forced Leaf Node Lookup:ovary|TI|MM|566^5^0;240^7^0
10.2307/3668603|*Pollination|C1522786|13462|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|313^11^0
10.2307/3668603|*Weed, Annual|C2936216|10984|ET|Entry Term Replacement for "Plant Weeds";RtM via: Annual Weeds;checkForceMH Boosted|TI|MM|423^12^0
10.2307/3668603|*Syndrome|C0039082|10879|MH|RtM via: Syndrome;Forced Leaf Node Lookup:syndromes|TI|MM|325^9^0
10.2307/3668603|*Fruit|C0016767|8410|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|967^5^0;393^5^0;195^5^0
10.2307/3668603|Intervertebral disc disease|C0158252|38971|NM|RtM via: Disk, Herniated|TI|MM|579^10^1;604^4^1
10.2307/3668603|*Intervertebral Disc Displacement|C0021818|38970|HM|RtM via: Disk, Herniated|TI|MM|579^10^1;604^4^1
10.2307/3668603|*Intervertebral Disc Degeneration|C0158266|37887|HM|RtM via: Disk, Herniated|TI|MM|579^10^1;604^4^1
10.2307/3668603|*Environment|C0014406|2265|MH|RtM via: Woods|TI|MM|534^5^0
10.2307/3668603|*Habit|C0018464|1188|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|436^5^0;540^5^0
10.2307/3668603|*Acceleration|C0000894|300|MH|RtM via: Acceleration;Forced Non-Leaf Node Lookup:accelerations|TI|MM|360^12^0
10.2307/3668604|*Plant Nectar|C2717960|220996|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|2253^6^0;2072^7^0;1002^6^0;450^6^0;108^7^0;87^6^0;788^6^0;891^6^0;1115^6^0;1171^6^0;1255^6^0;2224^6^0
10.2307/3668604|*Stachys|C1083570|56014|MH|RtM via: Stachys cretica;Forced Leaf Node Lookup:stachys;checkForceMH Boosted|TI|MM|223^15^0
10.2307/3668604|*Satureja|C1015032|52177|MH|RtM via: Satureja thymbra;Forced Leaf Node Lookup:saturejas;checkForceMH Boosted|TI|MM|205^16^0
10.2307/3668604|*Sucrose|C0038636|50057|MH|RtM via: Sucrose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sucrose|TI|MM;RC|1233^7^0
10.2307/3668604|*Glucose|C0017725|48395|MH|RtM via: Glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM;RC|1149^7^0
10.2307/3668604|*Labiatae|C0524904|42557|ET|Entry Term Replacement for "Lamiaceae";RtM via: Lamiaceae;RtM via: Thymbra capitata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:labiatae|TI|MM|147^8^0;244^16^0;1204^7^0;516^7^0
10.2307/3668604|*Soil|C0037592|35726|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|817^4^0
10.2307/3668604|*Sugars|C0242209|34898|MH|RtM via: Sugars;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|468^6^0
10.2307/3668604|*Pollination|C1522786|174156|MH|RtM via: Pollination|TI|MM;RC|1810^10^0
10.2307/3668604|*Flowers|C0330090|56958|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|884^6^0;988^7^0
10.2307/3668604|*Reproduction|C0035150|28458|MH|RtM via: Reproduction|TI|MM;RC|1575^12^0
10.2307/3668604|*Plant Development|C0597252|26808|MH|RtM via: Plant Development|TI|MM|1855^14^0
10.2307/3668604|*Nutrients|C0678695|7275|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1725^8^0;748^8^0;612^9^0;68^8^0;934^8^0
10.2307/3668604|*Resource Allocation|C0086914|786|MH|RtM via: Resource Allocation;Forced Non-Leaf Node Lookup:resource allocations|TI|MM|1360^19^0
10.2307/3668604|Amino Acids|C0002520|1000|MH|Forced Non-Leaf Node Lookup:amino acids||MM;RC|1083^10^0
10.2307/3668605|*Microscopy, Electron, Scanning|C0026020|14995|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|166^28^0
10.2307/3668605|*Phosmet|C0031592|9866|MH|RtM via: Prolate;Forced Leaf Node Lookup:prolate;checkForceMH Boosted|TI|MM|252^7^0
10.2307/3668605|*Sex Characteristics|C0036866|4612|MH|RtM via: sexual dimorphism (cellular);Forced Leaf Node Lookup:dimorphism|TI|MM|705^10^0;566^10^0;39^10^0
10.2307/3668605|*Pollen|C0032385|58560|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM;RC|894^6^0;698^6^0;559^6^0;430^6^0;299^13^0;200^13^0;32^6^0
10.2307/3668605|*Flowers|C0330090|20556|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|738^7^0;339^7^0;392^7^0;799^7^0
10.2307/3668605|*Polygonaceae|C0524882|1047|MH|RtM via: Oxygonum|TI|MM|1094^8^0;92^8^0
10.2307/3668605|*Polymorphism, Genetic|C0032529|303|MH|RtM via: Genetic Polymorphism|TI|MM|901^12^0
10.2307/3668606|*Tylophora|C1016964|1252|MH|RtM via: Tylophora anomala;Forced Leaf Node Lookup:tylophoras;checkForceMH Boosted|TI|MM|602^17^0;28^17^0
10.2307/3668606|South Africa|C0037712|8526|MH|RtM via: South Africa|TI|MM|213^5^1;224^6^1
10.2307/3668606|Africa, West|C0001747|3075|ET|Entry Term Replacement for "Africa, Western";RtM via: Africa, Western;Forced Non-Leaf Node Lookup:west africa|TI|MM|290^11^0
10.2307/3668606|East Africa|C0001741|3075|ET|Entry Term Replacement for "Africa, Eastern";RtM via: Africa, Eastern;Forced Non-Leaf Node Lookup:east africa|TI|MM|219^11^0
10.2307/3668606|*Flower|C0330090|66|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|79^6^0
10.2307/3668606|*Chromosomes|C0008633|15|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|98^18^0
10.2307/3668607|*Lotus|C0330839|60776|MH|RtM via: Lotus corniculatus;RtM via: Lotus japonicus;Forced Leaf Node Lookup:lotus corniculatus;checkForceMH Boosted|TI|MM;RC|122^18^0
10.2307/3668607|*Trichomes|C3658255|9241|MH|RtM via: Trichomes;Forced Leaf Node Lookup:indumentums|TI|MM|492^10^0;388^10^0
10.2307/3668607|*Factor Analysis, Statistical|C0015483|3967|MH|RtM via: Analysis, Factor;Forced Leaf Node Lookup:factor analysis|TI|MM|630^15^0
10.2307/3668607|*Climate|C0008946|4020|MH|RtM via: Climate|TI|MM|527^7^0
10.2307/3668607|*Flower|C0330090|3633|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|411^6^0
