10.2307/20460169|Animals|D000818|28850|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/20460169|Humans|D006801|1000|CT|Forced Humans:D Siblings||MM
10.2307/20094850|*Mycobacterium avium subsp. paratuberculosis|D016927|119094|MH|RtM via: Mycobacterium avium subsp. paratuberculosis;Forced Leaf Node Lookup:mycobacterium paratuberculosis;checkForceMH Boosted|TI|MM;RC|1279^30^0
10.2307/20094850|*Paratuberculosis|D010283|114453|MH|RtM via: Paratuberculosis;Forced Leaf Node Lookup:johne's disease|TI|MM;RC|1389^15^0;664^15^0
10.2307/20094850|*Tuberculin|D014373|28068|MH|Forced Leaf Node Lookup:tuberculin;checkForceMH Boosted|TI|MM|496^10^0
10.2307/20094850|*Hypoalbuminemia|D034141|16485|MH|RtM via: Hypoalbuminemia;Forced Leaf Node Lookup:hypoalbuminemia|TI|MM|349^15^0
10.2307/20094850|*Campylobacter|D002167|16200|MH|RtM via: Campylobacter species;checkForceMH Boosted;Forced Non-Leaf Node Lookup:campylobacter|TI|MM|562^16^0
10.2307/20094850|*Neutrophils|D009504|15948|MH|RtM via: neutrophil;Forced Leaf Node Lookup:neutrophils|TI|MM|379^10^0
10.2307/20094850|*Weight Loss|D015431|15036|MH|RtM via: Weight decreased;Forced Leaf Node Lookup:weight loss|TI|MM|185^11^0
10.2307/20094850|*Appetite|D001066|14406|MH|RtM via: Desire for food;Forced Leaf Node Lookup:appetites|TI|MM|223^8^0
10.2307/20094850|*Lymphadenopathy|D000072281|33228|MH|RtM via: Lymphadenopathy;RtM via: Mesenteric lymphadenopathy;RtM via: Swollen Lymph Node;Forced Non-Leaf Node Lookup:lymphadenopathy|TI|MM|841^15^0;404^26^0;415^15^0
10.2307/20094850|*Intestines|D007422|17637|MH|RtM via: Biopsy of colon;RtM via: Intestines|TI|MM;RC|456^14^0;873^10^0
10.2307/20094850|*Lymph Nodes|D008198|14715|MH|RtM via: Abdominal lymph node group;RtM via: Lymph node of mesentery;RtM via: Mesenteric artery lymph node group;Forced Non-Leaf Node Lookup:lymph nodes|TI|MM;RC|1073^27^0;889^22^0;900^11^0;1089^11^0
10.2307/20094850|*Intestine, Small|D007421|9225|MH|RtM via: Intestines, Small;Forced Non-Leaf Node Lookup:small intestines|TI|MM;RC|796^15^0
10.2307/20094850|*Intestine, Large|D007420|8592|MH|RtM via: Large Intestine;Forced Non-Leaf Node Lookup:large intestine|TI|MM|1056^15^0;824^15^0
10.2307/20094850|*Liver|D008099|6456|MH|RtM via: Liver;RtM via: Hepatic lobule;Forced Non-Leaf Node Lookup:livers|TI|MM|941^5^0;1106^7^1;1125^7^1
10.2307/20094850|*Biopsy|D001706|5142|MH|RtM via: Biopsy of colon;Forced Non-Leaf Node Lookup:biopsy|TI|MM;RC|456^14^0;464^6^0
10.2307/20094850|*Cecum|D002432|4596|MH|RtM via: Cecum;Forced Non-Leaf Node Lookup:cecums|TI|MM|813^5^0
10.2307/20094850|*Lymphocyte|D008214|2280|ET|Entry Term Replacement for "Lymphocytes";RtM via: Lymphocyte;Forced Non-Leaf Node Lookup:lymphocyte|TI|MM|368^10^0
10.2307/20094850|*Macrophages|D008264|1734|MH|RtM via: macrophage;Forced Non-Leaf Node Lookup:macrophages|TI|MM;RC|1162^11^0
10.2307/20094850|*Salmonella|D012475|1005|MH|RtM via: Salmonella species;Forced Non-Leaf Node Lookup:salmonella|TI|MM|543^13^0
10.2307/20094850|*Anemia|D000740|765|MH|RtM via: Anemia;Forced Non-Leaf Node Lookup:anemias|TI|MM|324^6^0
10.2307/20094850|Feces|D005243|270|MH|Forced Non-Leaf Node Lookup:feces||MM;RC|277^5^0
10.2307/20094850|Skin Tests|D012882|1000|MH|Forced Non-Leaf Node Lookup:skin tests||MM;RC|507^10^0;1541^10^0
10.2307/20094867|*Hyoid Bone|D006928|12053|MH|RtM via: Hyoid bone structure;Forced Leaf Node Lookup:hyoid bone|TI|MM|518^10^0
10.2307/20094867|*Silicone Elastomers|D012826|9391|MH|RtM via: Silicone Elastomers;Forced Leaf Node Lookup:silicone rubber;checkForceMH Boosted|TI|MM;RC|108^15^0
10.2307/20094867|*Pharynx|D010614|8462|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:pharynxs|TI|MM|1193^7^0
10.2307/20094867|*Veins|D014680|18936|MH|RtM via: Veins|TI|MM;RC|681^5^0
10.2307/20094867|*Oral Cavity|D009055|4014|ET|Entry Term Replacement for "Mouth";RtM via: Oral cavity;Forced Non-Leaf Node Lookup:oral cavity|TI|MM|1102^11^0
10.2307/20094867|*Infundibulum|D010902|1362|ET|Entry Term Replacement for "Pituitary Gland";RtM via: Pituitary Stalk;Forced Non-Leaf Node Lookup:infundibulums|TI|MM|1144^12^0;1208^12^0
10.2307/20094867|*Rima Glottidis|D005931|807|ET|Entry Term Replacement for "Glottis";RtM via: Rima glottidis structure;Forced Non-Leaf Node Lookup:rima glottidis|TI|MM|1245^14^0
10.2307/20094867|Carotid Arteries|D002339|1000|MH|Forced Non-Leaf Node Lookup:carotid artery||MM;RC|136^14^0;303^14^0
10.2307/20094867|*Melanocyte|D008544|60|ET|Entry Term Replacement for "Melanocytes";RtM via: melanocyte;Forced Non-Leaf Node Lookup:melanocytes|TI|MM|1016^10^0
10.2307/20094854|Humans|D006801|13879|CT|Leydig Cell Tumor;CT Treecode Lookup: C04.588.945.440 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.294.260 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.758.409 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C19.391.829 (Leydig Cell Tumor)||MM;RC
10.2307/20094854|Animals|D000818|13879|CT|Gorilla gorilla;CT Treecode Lookup: B01.050.150.900.649.313.988.400.112.400.375 (Gorilla gorilla)||MM;RC
10.2307/20094854|Male|D008297|13879|CT|Forced Lookup:male;Leydig Cell Tumor;CT Treecode Lookup: C04.588.945.440 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.294.260 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.758.409 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C19.391.829 (Leydig Cell Tumor);Testis;CT Treecode Lookup: A05.360.444 (Testis);Scrotum;CT Treecode Lookup: A05.360.444 (Scrotum);CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|31^4^0
10.2307/20094854|*Gorilla gorilla|D006071|12879|MH|RtM via: Gorilla gorilla gorilla;Forced Leaf Node Lookup:gorilla gorillas;Forced Leaf Node Lookup:gorillas;checkForceMH Boosted|TI|MM;RC|71^23^0;54^15^0;62^7^0;87^7^0
10.2307/20094854|*Testis|D013737|4065|MH|RtM via: Testis;RtM via: Structure of right testis;Forced Leaf Node Lookup:testicles|TI|MM;RC|227^8^0;112^14^0;118^8^0
10.2307/20094854|*Leydig Cell Tumor|D007984|5364|MH|RtM via: Leydig Cell Tumor;RtM via: Leydig cell tumor, benign|TI|MM|291^12^1;305^10^1
10.2307/20094854|*Scrotum|D012611|2079|MH|RtM via: Structure of right testis|TI|MM|112^14^0
10.2307/20094854|*Physical Examination|D010808|339|MH|RtM via: Physical Examination;Forced Non-Leaf Node Lookup:physical examinations|TI|MM|142^20^0
10.2307/20094845|Animals|D000818|5725|CT|CT Text Lookup: animal|TI|MM;RC|367^6^0
10.2307/20094845|*Glutaral|D005976|2109|MH|RtM via: glutaral;Forced Leaf Node Lookup:glutaraldehyde;checkForceMH Boosted|TI|MM;RC|44^14^0
10.2307/20094845|*Immunoglobulins|D007136|4725|MH|RtM via: Gamma globulin serum;Forced Non-Leaf Node Lookup:immunoglobulins|TI|MM;RC|146^20^0;240^14^0
10.2307/20094845|*Blood Coagulation Tests|D001780|882|MH|RtM via: Blood coagulation tests;Forced Non-Leaf Node Lookup:coagulation tests|TI|MM;RC|59^16^0
10.2307/20094845|*Immunologic Tests|D007159|384|MH|RtM via: Total immunoglobulin measurement|TI|MM|152^21^0
10.2307/20094845|gamma-Globulins|D005719|604|MH|Forced Non-Leaf Node Lookup:gamma globulins||MM;RC|152^14^0
10.2307/20094845|*Ruminants|D012418|351|MH|RtM via: Ruminants;Forced Non-Leaf Node Lookup:ruminants|TI|MM|186^9^0
10.2307/20094873|Cats|D002415|23473|CT|RtM via: Felis catus;Forced Animals Lookup:feline;CT Text Lookup: feline|TI|MM;RC|301^7^0;356^6^0
10.2307/20094873|Animals|D000818|23473|CT|RtM via: Felis catus;Forced Animals Lookup:feline;Acinonyx;CT Treecode Lookup: B01.050.150.900.649.313.750 (Acinonyx);CT Text Lookup: feline|TI|MM;RC|301^7^0;356^6^0
10.2307/20094873|*Acinonyx|D002612|22473|MH|RtM via: Acinonyx jubatus;RtM via: Cheetahs;Forced Leaf Node Lookup:acinonyx;Forced Leaf Node Lookup:cheetahs;checkForceMH Boosted|TI|MM;RC|153^16^0;144^7^0
10.2307/20094873|*Spleen|D013154|13334|MH|RtM via: Spleen;Forced Leaf Node Lookup:spleen|TI|MM;RC|70^6^0
10.2307/20094873|*Hemangiosarcoma|D006394|4757|MH|RtM via: Hemangiosarcoma;Forced Leaf Node Lookup:hemangiosarcomas|TI|MM;RC|172^15^0;31^15^0
10.2307/20094873|*Diaphragm|D003964|4232|MH|RtM via: Respiratory Diaphragm;Forced Leaf Node Lookup:diaphragms|TI|MM|85^9^0
10.2307/20094873|*Kidneys|D007668|9084|ET|Entry Term Replacement for "Kidney";RtM via: Both kidneys;RtM via: Kidney;Forced Non-Leaf Node Lookup:kidneys|TI|MM;RC|100^7^0
10.2307/20094873|*Liver|D008099|6675|MH|RtM via: Liver;Forced Non-Leaf Node Lookup:livers|TI|MM;RC|78^5^0
10.2307/20094873|*Endothelial Cell|D042783|921|ET|Entry Term Replacement for "Endothelial Cells";RtM via: Endothelial Cells;Forced Non-Leaf Node Lookup:endothelial cell|TI|MM|219^16^0
10.2307/20094869|Cattle|D002417|14733|CT|Forced Animals Lookup:calves;CT Text Lookup: calves|TI|MM;RC|326^6^0
10.2307/20094869|Animals|D000818|14733|CT|Forced Animals Lookup:calves;Antelopes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Antelopes);Ruminants;CT Treecode Lookup: B01.050.150.900.649.313.500 (Ruminants);CT Text Lookup: animal;CT Text Lookup: calves|TI|MM;RC|326^6^0;561^6^0
10.2307/20094869|Female|D005260|14733|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|78^6^0
10.2307/20094869|*Copper|D003300|13733|MH|RtM via: copper;Forced Leaf Node Lookup:copper;checkForceMH Boosted|TI|MM;RC|165^6^0
10.2307/20094869|*Antelopes|D000866|10403|MH|RtM via: Subfamily Antilopinae (organism);Forced Leaf Node Lookup:antelopes;checkForceMH Boosted|TI|MM;RC|107^8^0
10.2307/20094869|*Weight Loss|D015431|3472|MH|RtM via: Weight decreased;Forced Leaf Node Lookup:weight loss|TI|MM|279^11^0
10.2307/20094869|*Serum|D044967|2836|MH|RtM via: Serum;Forced Leaf Node Lookup:blood serum|TI|MM|977^11^0;796^5^0;717^5^0;378^11^0
10.2307/20094869|*Diet|D004032|13371|MH|RtM via: Diet|TI|MM;RC|502^7^0
10.2307/20094869|*Dietary Supplements|D019587|11157|MH|RtM via: Dietary Supplements;Forced Non-Leaf Node Lookup:dietary supplementations|TI|MM;RC|616^12^0;885^23^0
10.2307/20094869|*Eating|D004435|5892|MH|RtM via: Adequate Daily Fluid Intake;RtM via: Adequate Daily Salt Intake|TI|MM|589^8^0
10.2307/20094869|*Anemia|D000740|984|MH|RtM via: Anemia;Forced Non-Leaf Node Lookup:anemias|TI|MM|296^6^0
10.2307/20094869|Ataxia|D001259|1000|MH|Forced Non-Leaf Node Lookup:ataxias||MM;RC|370^6^0
10.2307/20094356|Animals|D000818|2212|CT|Lions;CT Treecode Lookup: B01.050.150.900.649.313.750 (Lions)||MM;RC
10.2307/20094356|*Chin|D002680|1212|MH|RtM via: Chin;Forced Leaf Node Lookup:chin|TI|MM;RC|129^4^0
10.2307/20094356|*Polyethylene|D020959|1203|MH|RtM via: Polyethylene;RtM via: high-density polyethylene;checkForceMH Boosted|TI|MM|109^12^0
10.2307/20094356|*Lions|D008045|753|MH|RtM via: Panthera leo;Forced Leaf Node Lookup:lion;checkForceMH Boosted|TI|MM;RC|87^4^0
10.2307/20094356|*Interdisciplinary Studies|D058025|39|MH|RtM via: Interdisciplinary Studies|TI|MM|33^17^0
10.2307/20094888|Female|D005260|8680|CT|CT Text Lookup: estrus|TI|MM;RC|44^6^0
10.2307/20094888|Animals|D000818|8680|CT|Forced Lookup:deer;Estrus;CT Treecode Lookup: G08.686.195.500 (Estrus);Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer)|TI|MM;RC|58^4^0
10.2307/20094888|*Deer|D003670|4407|MH|RtM via: Cervus elaphus;RtM via: Genus Cervus (organism);Forced Lookup:deer|TI|MM;RC|64^14^0;54^8^0;58^4^0
10.2307/20094888|*Prostaglandin|D011453|1287|ET|Entry Term Replacement for "Prostaglandins";RtM via: Prostaglandins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:prostaglandins|TI|MM|128^13^0
10.2307/20094888|*Estrus|D004971|7680|MH|RtM via: Estrus;Forced Non-Leaf Node Lookup:estrus|TI|MM;RC|44^6^0
10.2307/20094888|Progesterone|D011374|230|MH|||RC
10.2307/20094888|*Diagnostic Tests, Routine|D003955|102|MH|RtM via: Prostaglandin measurement|TI|MM|128^13^0
10.2307/20094888|*Injections|D007267|75|MH|RtM via: Injection Route of Drug Administration|TI|MM|114^10^0
10.2307/20094843|Animals|D000818|98199|CT|Forced Lookup:odocoileus;Forced Lookup:deer;Goats;CT Treecode Lookup: B01.050.150.900.649.313.500 (Goats);Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|52^10^0;46^4^0;764^4^0;609^7^0
10.2307/20094843|*Xylazine|D014991|97199|MH|RtM via: xylazine;Forced Leaf Node Lookup:xylazine;checkForceMH Boosted|TI|MM;RC|314^8^0
10.2307/20094843|*Tolazoline|D014043|43850|MH|RtM via: tolazoline;Forced Leaf Node Lookup:tolazoline;checkForceMH Boosted|TI|MM;RC|582^10^0;491^10^0
10.2307/20094843|*Ketamine|D007649|34331|MH|RtM via: ketamine hydrochloride;Forced Leaf Node Lookup:ketamine;checkForceMH Boosted|TI|MM;RC|378^12^0
10.2307/20094843|*Respiratory Rate|D056152|17500|MH|RtM via: Respiratory rate;Forced Leaf Node Lookup:respiratory rates|TI|MM|908^17^0
10.2307/20094843|*Injections, Intramuscular|D007273|15400|MH|RtM via: Intramuscular Route of Drug Administration;RtM via: Intramuscular injection;Forced Leaf Node Lookup:intramuscular injections|TI|MM;RC|287^23^0
10.2307/20094843|*Heart Rate|D006339|14620|MH|RtM via: heart rate;Forced Leaf Node Lookup:heart rates|TI|MM;RC|827^11^0
10.2307/20094843|*Injections, Intravenous|D007275|11419|MH|RtM via: Intravenous Injections;Forced Leaf Node Lookup:intravenous injections|TI|MM|466^21^0
10.2307/20094843|*Goats|D006041|11206|MH|RtM via: Capra hircus;RtM via: Goat;checkForceMH Boosted;Forced Non-Leaf Node Lookup:capras|TI|MM|777^5^0;114^12^0;108^4^0
10.2307/20094843|*Deer|D003670|7038|MH|RtM via: Odocoileus virginianus;Forced Lookup:odocoileus;Forced Lookup:deer|TI|MM;RC|52^22^0;33^17^0;46^4^0;764^4^0
10.2307/20094843|*Anesthetic|D000777|24168|ET|Entry Term Replacement for "Anesthetics";RtM via: Anesthetic [APC];RtM via: Anesthetics;Forced Non-Leaf Node Lookup:anesthetics|TI|MM;RC|160^10^0
10.2307/20094843|*Anesthesia|D000758|13257|MH|RtM via: Anesthesia procedures;Forced Non-Leaf Node Lookup:anesthesia|TI|MM;RC|566^10^0;439^10^0;261^10^0
10.2307/20094843|*Anesthesiology|D000776|5346|MH|RtM via: Anesthesiology|TI|MM|566^10^0;439^10^0;261^10^0
10.2307/20094843|Pharmaceutical Preparations|D004364|1000|MH|Forced Non-Leaf Node Lookup:drug||MM|1054^4^0
10.2307/20094865|Animals|D000818|133309|CT|Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|379^6^0;1029^7^0;724^6^0
10.2307/20094865|*Elephants|D004606|45936|MH|RtM via: Asiatic Elephants;Forced Leaf Node Lookup:elephas maximus;Forced Leaf Node Lookup:elephants;checkForceMH Boosted|TI|MM|100^14^0;116^15^0;106^8^0
10.2307/20094865|*Oxygen|D010100|45249|MH|RtM via: Pulse oximeter;RtM via: oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM;RC|154^14^0;510^6^0;200^6^0
10.2307/20094865|*Etorphine|D005048|32301|MH|RtM via: Etorphine;Forced Leaf Node Lookup:etorphine;checkForceMH Boosted|TI|MM|64^9^0
10.2307/20094865|*Oximetry, Pulse|D010092|132309|ET|Entry Term Replacement for "Oximetry";RtM via: Oximetry, Pulse;RtM via: Pulse oximeter;RtM via: Arterial oxygen saturation measurement;RtM via: arterial Blood Oxygen Saturation;Forced Non-Leaf Node Lookup:pulse oximetry|TI|MM;RC|913^14^0;154^14^0;180^19^1;207^10^1;200^17^1
10.2307/20094865|*Blood Gas Analysis|D001784|71973|MH|RtM via: Carbon monoxide analyzer|TI|MM;RC|230^11^0
10.2307/20094865|*Pulmonary Gas Exchange|D011659|54630|MH|RtM via: Hemoglobin saturation with oxygen;RtM via: Arterial oxygen saturation (observable entity)|TI|MM;RC|189^28^0;180^8^1;200^17^1
10.2307/20094865|*Respiration|D012119|24018|MH|RtM via: Respiration|TI|MM;RC|45^11^0
10.2307/20094865|*Anesthesia|D000758|7128|MH|RtM via: Anesthesia procedures;Forced Non-Leaf Node Lookup:anesthesia|TI|MM;RC|1008^10^0;74^10^0
10.2307/20094865|*Hemoglobin|D006454|6852|ET|Entry Term Replacement for "Hemoglobins";RtM via: Hemoglobin;Forced Non-Leaf Node Lookup:hemoglobins|TI|MM;RC|189^10^0
10.2307/20094865|*Anesthetics|D000777|3429|MH|RtM via: Anesthetics;Forced Non-Leaf Node Lookup:anesthetics|TI|MM|585^11^0;318^10^0
10.2307/20460245|Animals|D000818|7178|CT|Salamanders;CT Treecode Lookup: B01.050.150.900.090 (Salamanders);Necturus;CT Treecode Lookup: B01.050.150.900.090 (Necturus)|TI|MM
10.2307/20460245|*Gentamycin|D005839|6178|ET|Entry Term Replacement for "Gentamicins";RtM via: gentamicin:mass:point in time:dose med or substance:quantitative;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gentamicins|TI|MM;RC|977^15^0;704^10^0;512^10^0;45^10^0;299^10^0;1097^10^0
10.2307/20460245|*Radioimmunoassay|D011863|4513|MH|RtM via: Radioimmunoassay;Forced Leaf Node Lookup:radioimmunoassays|TI|MM;RC|777^16^0;631^16^0;161^16^0
10.2307/20460245|*Kinetics|D007700|1705|MH|RtM via: Kinetics;Forced Leaf Node Lookup:kinetics|TI|MM;RC|33^8^0
10.2307/20460245|*Half-Life|D006207|1540|MH|RtM via: Half-Life;Forced Leaf Node Lookup:half-lifes|TI|MM;RC|523^9^0;411^9^0
10.2307/20460245|*Enzyme Multiplied Immunoassay Technique|D017248|1123|MH|RtM via: Enzyme Multiplied Immunoassay Technique;Forced Leaf Node Lookup:emit assays|TI|MM|253^10^0
10.2307/20460245|*Salamanders|D014562|922|ET|Entry Term Replacement for "Urodela";RtM via: Salamanders;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salamanders|TI|MM|572^11^0;73^11^0
10.2307/20460245|*Necturus|D009337|913|MH|RtM via: Necturus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:necturus|TI|MM|86^8^0;95^8^0
10.2307/20460245|*Physics|D010825|687|MH|RtM via: Kinetics (discipline)|TI|MM|33^8^0
10.2307/20460245|*Biological Assay|D001681|612|MH|RtM via: Biological Assay|TI|MM;RC|943^5^0;188^6^0;151^6^0
10.2307/20460245|*Research|D012106|435|MH|RtM via: Study|TI|MM|658^7^0;110^7^0
10.2307/20460245|California|D002140|3|MH|RtM via: California|TI|MM|286^10^0
10.2307/20460245|Massachusetts|D008404|3|MH|RtM via: Massachusetts (geographic location)|TI|MM|207^13^0
10.2307/20094333|*Hematocrit|D006400|10876|MH|RtM via: Hematocrit procedure;Forced Leaf Node Lookup:packed red cell volumes|TI|MM;RC|349^22^0
10.2307/20094333|*Nitrogen|D009584|8830|MH|RtM via: Blood Urea Nitrogen;RtM via: Carbonyldiamide;RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|694^13^0;423^13^0;699^8^0;428^8^0
10.2307/20094333|*Erythrocyte Indices|D004909|6469|MH|RtM via: Mean corpuscular hemoglobin concentration determination;Forced Leaf Node Lookup:mean corpuscular hemoglobins|TI|MM|373^41^0
10.2307/20094333|*Dietary Requirement|D009751|16110|ET|Entry Term Replacement for "Nutritional Requirements";RtM via: Dietary Requirements|TI|MM;RC|935^7^1;951^11^1
10.2307/20094333|*Blood Urea Nitrogen|D001806|13812|MH|RtM via: Urea nitrogen (procedure);RtM via: plasma urea|TI|MM;RC|694^13^0;423^13^0;687^11^0;416^11^0
10.2307/20094333|*Dietary Protein|D004044|12789|ET|Entry Term Replacement for "Dietary Proteins";RtM via: Dietary Proteins;Forced Non-Leaf Node Lookup:dietary protein|TI|MM;RC|935^15^0;742^15^0;597^15^0;789^15^0
10.2307/20094333|*Diets|D004032|9336|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|935^7^0;874^5^0;597^7^0;86^5^0
10.2307/20094333|Urea|D014508|712|MH|Forced Non-Leaf Node Lookup:urea||MM;RC|423^4^0;694^4^0
10.2307/20094333|Hemoglobins|D006454|999|MH|Forced Non-Leaf Node Lookup:hemoglobins||MM;RC|323^10^0
10.2307/20094333|Blood Proteins|D001798|1000|MH|Forced Non-Leaf Node Lookup:plasma protein||MM|468^14^0;502^14^0
10.2307/20094842|Animals|D000818|45161|CT|Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);Proboscidea Mammal;CT Treecode Lookup: B01.050.150.900.649.833 (Proboscidea Mammal)||MM;RC
10.2307/20094842|*Elephants|D004606|44161|MH|RtM via: Loxodonta africana;RtM via: Elephants;Forced Leaf Node Lookup:african elephants;Forced Leaf Node Lookup:elephants;Forced Leaf Node Lookup:loxodonta;checkForceMH Boosted|TI|MM;RC|37^17^0;56^18^0;1164^8^0;1098^9^0;873^9^0;714^9^0;519^8^0;405^9^0;244^8^0;177^9^0;921^9^0;963^9^0
10.2307/20094842|nalmefene|C038981|42512|NM|RtM via: nalmefene;RtM via: nalmefene hydrochloride;Forced SCR Leaf Node Lookup:nalmefene hydrochloride|TI|MM|1005^9^0;892^23^0
10.2307/20094842|carfentanil|C017114|37430|NM|RtM via: Carfentanil citrate;RtM via: carfentanil;Forced SCR Leaf Node Lookup:carfentanil citrate|TI|MM|124^19^0;502^11^0;277^11^0;329^11^0
10.2307/20094842|*Diprenorphine|D004174|32770|MH|RtM via: Diprenorphine;Forced Leaf Node Lookup:diprenorphine;checkForceMH Boosted|TI|MM;RC|940^13^0;987^13^0
10.2307/20094842|*Ketamine|D007649|17377|MH|RtM via: ketamine hydrochloride;Forced Leaf Node Lookup:ketamine hydrochloride;checkForceMH Boosted|TI|MM;RC|559^22^0
