41971826|Animals|D000818|2410|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41972462|Texas|D013781|381479|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|2296^5^0;1537^5^0;1084^5^0;368^5^0
41972462|*Trifolium|D029921|1542|MH|RtM via: Trifolium|TI|MM|178^6^0
41972462|*Nuts|D009754|1392|MH|RtM via: Walnut Nut|TI|MM|1436^6^0;1407^6^0;264^6^0;231^6^0
41972462|*Habitats|D017753|1281|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1671^8^0;491^8^0
41972462|*Physical Phenomena|D055585|615|MH|RtM via: Affinity|TI|MM|981^10^0
41972462|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2032^3^0
41972000|*Phylogeny|D010802|1334|MH|RtM via: Molecular Phylogenetics;RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:molecular phylogenetics|TI|MM|213^22^0;223^21^0
41972000|*Amaranthaceae|D027703|1917|MH|RtM via: Amaranthaceae;RtM via: Gomphrenoideae;Forced Non-Leaf Node Lookup:amaranthaceae|TI|MM|1052^13^0;643^13^0;492^13^0;81^13^0;713^14^0;147^14^0;163^13^0;729^13^0
41972000|*Survey|D011795|312|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|344^8^0
41972000|*Environment|D004777|264|MH|RtM via: Para (geographic area)|TI|MM|929^4^0;781^4^0
41972000|*Organizations|D009938|249|MH|RtM via: Utilities (organization)|TI|MM|425^7^0
41972000|*Plant Leaves|D018515|204|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|270^4^0;292^6^0
41972285|*Military Facilities|D058749|1365|MH|RtM via: Military Forts;Forced Leaf Node Lookup:military bases|TI|MM|749^4^1;763^8^1;239^4^1;253^8^1
41972285|*Agrostis|D031703|591|MH|RtM via: Agrostis (plant);Forced Leaf Node Lookup:agrostis;checkForceMH Boosted|TI|MM|545^8^0;21^8^0
41972285|*Habit|D006184|363|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|359^5^0
41972285|*Seasons|D012621|162|MH|RtM via: spring (season)|TI|MM|161^6^0
41972285|Gluma|C044372|130|NM|RtM via: Gluma - Dentine bonding agent|TI|MM|883^6^0
41972285|*Glutaral|D005976|129|HM|RtM via: Gluma - Dentine bonding agent|TI|MM|883^6^0
41972285|*Polymethacrylic Acids|D011109|48|HM|RtM via: Gluma - Dentine bonding agent|TI|MM|883^6^0
41972285|California|D002140|3|MH|RtM via: Monterey County, CA;RtM via: California|TI|MM|177^15^0;702^10^0;194^10^0
41971597|*Solidago|D036624|3888|MH|RtM via: Solidago ptarmicoides;Forced Leaf Node Lookup:goldenrods;Forced Leaf Node Lookup:solidago;checkForceMH Boosted|TI|MM|2342^12^1;2358^8^1;2010^21^0;373^21^0;353^18^0;3218^8^0;2199^8^0;1896^8^0;1534^8^0;1254^9^0;740^8^0;585^8^0;233^8^0
41971597|*Base Pairing|D020029|3139|MH|RtM via: Base Pairing;Forced Leaf Node Lookup:base pairs|TI|MM|971^9^0
41971597|*Phylogeny|D010802|2970|MH|RtM via: Phylogenetic Analysis;RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships;Forced Leaf Node Lookup:phylogenetic analysis|TI|MM|595^21^0;1574^26^0
41971597|*Gardens|D000072506|2815|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|121^6^0
41971597|origen|C009784|1704|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|2553^6^0
41971597|*Base Sequence|D001483|838|MH|Forced Leaf Node Lookup:dna sequences|TI|MM|1187^12^0
41971597|*Azocines|D001392|1703|HM|RtM via: origen|TI|MM|2553^6^0
41971597|*Asteraceae|D019659|1518|MH|RtM via: Euthamia graminifolia|TI|MM|3072^21^0;1389^21^0
41971597|*Gardening|D051639|1464|MH|RtM via: Gardening|TI|MM|121^6^0
41971597|*Genetic Techniques|D005821|1236|MH|RtM via: Deoxyribonucleic Acid Measurement|TI|MM|2891^3^0;1187^3^0
41971597|*DNA|D004247|279|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|2891^3^0;1187^3^0
41971597|Cloning, Molecular|D003001|1000|MH|Forced Non-Leaf Node Lookup:cloning||MM|996^7^0
41971749|United States|D014481|8865|CT|Forced Leaf Node Lookup:american|TI|MM|970^8^0
41971749|crataegus extract|C007145|7865|NM|RtM via: hawthorn leaf with flower extract|TI|MM|2148^9^0;1157^9^0;979^9^0;40^9^0
41971749|*Crataegus|D027825|7864|MH|RtM via: Crataegus;RtM via: hawthorn leaf with flower extract;Forced Leaf Node Lookup:crataegus|TI|MM|2148^9^0;1157^9^0;979^9^0;40^9^0
41971749|*Rosaceae|D027824|4183|MH|RtM via: Rosaceae (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|1184^8^0;67^8^0
41971749|*Fruit|D005638|991|MH|Forced Leaf Node Lookup:fruits|TI|MM|1076^5^0
41971749|*Citrus sinensis|D032084|2181|MH|RtM via: Citrus sinensis;RtM via: Orange (fruit)|TI|MM|2273^7^0;1069^12^0
41971749|*Fire|D005390|1800|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|878^4^0
41971749|*Habitats|D017753|1152|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|2136^8^0;989^8^0
41971749|*Plant Extracts|D010936|456|HM|RtM via: hawthorn leaf with flower extract|TI|MM|2148^9^0;1157^9^0;979^9^0;40^9^0
41971749|*Plant Leaves|D018515|1044|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1089^6^0
41971749|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2037^3^0
41971749|Southeastern United States|D015144|0|MH|RtM via: Southeastern United States|TI|MM|219^26^0
41972428|*Acacia|D000045|1624|MH|RtM via: Acacia;Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|1164^6^0;1065^6^0;598^6^0;531^6^0;238^6^0;186^6^0
41972428|Brazil|D001938|1441|MH|RtM via: Bahia (organism);RtM via: Brazil;RtM via: Piaui;Forced Leaf Node Lookup:brazil;Forced Leaf Node Lookup:bahia|TI|MM|863^5^0;1557^6^0;963^6^0;823^6^0;82^6^0;1550^5^0;893^6^0
41972428|*Rosa|D027826|736|MH|RtM via: Rosa;Forced Leaf Node Lookup:rose;checkForceMH Boosted|TI|MM|1711^4^0;787^4^0
41972428|*Fabaceae|D007887|1134|MH|RtM via: Senegalia tenuifolia;RtM via: Senegalia paganuccii;RtM via: Senegalia <angiosperm>|TI|MM|1676^20^0;751^20^0;1587^20^0;656^20^0;1190^9^0;1093^9^0;950^9^0;554^9^0;477^9^0;64^9^0
41972428|*Environment|D004777|468|MH|RtM via: Bahia (geographic area)|TI|MM|863^5^0
41972428|*Probability|D011336|441|MH|RtM via: Probability|TI|MM|725^8^0
41972428|*Cluster Analysis|D016000|405|MH|RtM via: Recognition of Outliers by Sampling Ends|TI|MM|1711^4^0;787^4^0
41972428|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1423^3^0;1639^3^0
41971423|Humans|D006801|4124|CT|Asian;CT Treecode Lookup: M01.686 (Asian)||MM;RC
41971423|*Rubiaceae|D019666|3124|MH|RtM via: Leptopetalum strigulosum;RtM via: Neanotis;RtM via: Rubiaceae;RtM via: Oldenlandiopsis;RtM via: Kohautia;RtM via: Pentodon angiosperm;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|1547^22^0;647^22^0;1657^8^0;747^8^0;980^9^0;121^9^0;1299^15^0;430^15^0;1238^8^0;375^8^0;1169^8^0;1106^8^0;303^8^0;259^8^0
41971423|*Oldenlandia|D032067|2747|MH|RtM via: Oldenlandia;Forced Leaf Node Lookup:oldenlandias;checkForceMH Boosted|TI|MM|1439^11^0;553^11^0;647^11^0;1547^11^0
41971423|variacin|C099477|789|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|873^8^0
41971423|*Depression|D003863|776|MH|Forced Leaf Node Lookup:depressions|TI|MM|599^11^0;836^10^0
41971423|*Microscopy, Electron, Scanning|D008855|472|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM|164^28^0
41971423|*Capsules|D002214|451|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|457^8^0;62^8^0
41971423|*Bacteriocins|D001430|788|HM|RtM via: variacin|TI|MM|873^8^0
41971423|*Social Segregation|D000072699|705|MH|RtM via: Racial Segregation|TI|MM|759^9^0;538^9^0
41971423|*Hypertrophy|D006984|417|MH|RtM via: Enlarged|TI|MM|331^8^0
41971423|*Asian|D044466|291|ET|Entry Term Replacement for "Asian Continental Ancestry Group";RtM via: Asians|TI|MM|734^5^0;532^5^0
41971423|*Seeds|D012639|123|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|798^5^0;684^5^0;508^5^0;470^5^0;351^5^0;312^5^0;220^5^0;52^5^0
41971800|*Asclepias|D031108|393|MH|RtM via: Asclepias hirtella;Forced Leaf Node Lookup:asclepias;checkForceMH Boosted|TI|MM|136^18^0;21^18^0
41971800|*Chrysobalanaceae|D045469|300|MH|Forced Leaf Node Lookup:hirtellas;checkForceMH Boosted|TI|MM|31^8^0;146^8^0
41971800|Texas|D013781|153|MH|RtM via: Henderson County, TX;RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|108^18^0;189^5^0;81^5^0
41971800|*Tegafur|D005641|87|MH|RtM via: Lamar|TI|MM|214^5^0;90^5^0
41971800|*Environment|D004777|78|MH|RtM via: Para (geographic area)|TI|MM|184^4^0
41972484|Humans|D006801|4342|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans);Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
41972484|*Expeditions|D005101|620|MH|RtM via: Expeditions;Forced Leaf Node Lookup:expeditions|TI|MM|28^11^0
41972484|Ecuador|D004484|380|MH|Forced Leaf Node Lookup:ecuadorian|TI|MM;RC|74^10^0
41972484|*Lamiales|D000068378|3342|MH|RtM via: Columnea lucifer;RtM via: Gesneriaceae|TI|MM|624^16^0;211^16^0;530^12^0;125^12^0;520^8^0
41972484|*Asteraceae|D019659|885|MH|RtM via: Prenanthella exigua|TI|MM|323^12^0
41972484|*Hispanic Americans|D006630|504|MH|RtM via: Ecuadorian|TI|MM|74^10^0
41972484|*Asian Continental Ancestry Group|D044466|360|MH|RtM via: Asians|TI|MM|451^8^0
41972339|Animals|D000818|1537|CT|Caniformia;CT Treecode Lookup: B01.050.150.900.649.313.750 (Caniformia);Seals, Earless;CT Treecode Lookup: B01.050.150.900.649.313.750 (Seals, Earless)||MM;RC
41972339|*Caniformia|D010872|537|MH|RtM via: Seals (Animal)|TI|MM|938^4^0
41972339|*Seals, Earless|D046048|360|MH|RtM via: Phocidae|TI|MM|938^4^0
41972339|*Surveys|D011795|279|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|484^6^0;55^7^0
41972339|*Environment|D004777|270|MH|RtM via: Para (geographic area)|TI|MM|753^4^0
41972339|Louisiana|D008145|3|MH|RtM via: Calcasieu Parish, LA;RtM via: Louisiana (geographic location)|TI|MM|501^2^1;551^16^1;66^16^0;844^9^0;569^9^0;346^9^0;308^9^0;84^9^0
41972310|*Asteraceae|D019659|2099|MH|RtM via: Asteraceae;RtM via: Askellia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|596^10^0;250^10^0;586^8^0;240^8^0
41972310|*Silene|D029751|1411|MH|RtM via: Silene;Forced Leaf Node Lookup:silenes;checkForceMH Boosted|TI|MM|289^6^0
41972310|*Crepis|D027468|1114|MH|RtM via: Crepis;Forced Leaf Node Lookup:crepis;checkForceMH Boosted|TI|MM|579^6^0;233^6^0
41972310|*Trillium|D031446|1081|MH|RtM via: Trillium;Forced Leaf Node Lookup:trillium;checkForceMH Boosted|TI|MM|609^8^0;263^8^0
41972310|*Caryophyllaceae|D029748|1010|MH|RtM via: Caryophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caryophyllaceae|TI|MM|642^15^0;297^15^0
41972310|*Melanthiaceae|D000070556|755|MH|RtM via: Melanthiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:melanthiaceae|TI|MM|619^13^0;273^13^0
41972310|Oregon|D009922|326|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|546^6^0;187^6^0
41972310|*Magnoliopsida|D019684|1242|MH|RtM via: Limnanthaceae;RtM via: Limnanthes|TI|MM|674^13^0;331^13^0;662^10^0;319^10^0
41972310|*Environment|D004777|171|MH|RtM via: Para (geographic area)|TI|MM|517^4^0
41972310|*Drugs, Generic|D016568|114|MH|RtM via: Generic Drugs|TI|MM|160^7^0
41972310|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|575^3^0
41972195|United States|D014481|3706|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|1472^8^0;243^8^0;1372^8^0;2110^8^0
41972195|*Checklist|D057189|1394|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|768^9^0;153^9^0
41972195|*Ruta|D032105|1294|MH|RtM via: Ruta;Forced Leaf Node Lookup:ruta;checkForceMH Boosted|TI|MM|3631^4^0
41972195|Texas|D013781|755|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|1983^5^0;97^5^0
41972195|*Data Management|D000079803|2706|MH|RtM via: Databases|TI|MM|383^9^0
41972195|South America|D013020|1227|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|1207^13^0
41972195|*Preservation, Biological|D011309|924|MH|RtM via: Biologic Preservation|TI|MM|1860^9^0
41972195|*Publications|D011642|714|MH|RtM via: Publications|TI|MM|337^10^0
41972195|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3035^3^0;3145^3^0
41972195|Africa|D000349|207|MH|RtM via: Africa|TI|MM|1885^6^0
41971791|*Lakes|D060106|1153|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|254^4^0
41971791|*Checklist|D057189|1084|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|217^9^0
41971791|*Goals|D006040|664|MH|Forced Leaf Node Lookup:goal|TI|MM|186^4^0;279^4^0
41971791|*Educational Status|D004522|2019|MH|RtM via: Educational Status|TI|MM|544^9^0;128^9^0
41971791|*Motivation|D009042|1161|MH|RtM via: Act Mood - Goal|TI|MM|279^4^0;186^4^0
41971791|*River|D045483|363|ET|Entry Term Replacement for "Rivers";RtM via: Rivers|TI|MM|538^5^0;122^5^0
41971791|Louisiana|D008145|6|MH|RtM via: Caddo Parish, LA;RtM via: Louisiana (geographic location)|TI|MM|573^12^0;157^12^0;587^9^0;171^9^0
41972421|*Orange|D032084|1103|ET|Entry Term Replacement for "Citrus sinensis";RtM via: Orange (fruit);checkForceMH Boosted|TI|MM|1099^6^0;453^6^0
41972421|*Appendix|D001065|596|MH|RtM via: Appendix;Forced Leaf Node Lookup:appendix|TI|MM|1182^8^0;799^8^0;517^8^0
41972421|Costa Rica|D003364|542|MH|RtM via: Costa Rica;Forced Leaf Node Lookup:costa rica|TI|MM|2762^10^0;1509^10^0;119^10^0
41972421|*Lip|D008046|542|MH|Forced Leaf Node Lookup:lip|TI|MM|421^3^0;477^3^0;719^3^0;935^3^0;1063^3^0;1133^3^0
41972421|*Orchidaceae|D029595|4047|MH|RtM via: Lepanthes ovalis;RtM via: Lepanthes dikoensis|TI|MM|1443^16^0;78^16^0;1521^19^0;161^19^0;2199^9^0;1919^9^0;817^9^0;534^9^0
41972421|*Flowers|D035264|1221|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|302^7^0
41972421|*Plant Leaves|D018515|738|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|268^6^0
41972421|*Fabaceae|D007887|663|MH|RtM via: Erinacea|TI|MM|2693^8^0;1958^8^0;1257^8^0;602^8^0
41972360|Humans|D006801|1637|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
41972360|Haiti|D006205|637|MH|RtM via: Haiti;Forced Leaf Node Lookup:haiti|TI|MM|133^5^0
