10.2307/2963520|Animals|D000818|38668|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel);Mytilus;CT Treecode Lookup: B01.050.500.644 (Mytilus);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/2937151|*Water|D014867|13681|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|98^5^0
10.2307/2937151|Arizona|D001130|9178|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|363^7^0
10.2307/2937151|*Motivation|D009042|9178|MH|Forced Leaf Node Lookup:expectations|TI|MM|3443^12^0
10.2307/2937151|*Plant Bark|D024301|9178|MH|Forced Leaf Node Lookup:bark|TI|MM|3834^4^0
10.2307/2937151|*Seeds|D012639|2709|MH|RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM|2206^4^0;1340^5^0
10.2307/2937151|*Forest|D065928|26055|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|435^6^0;259^6^0
10.2307/2937151|*Plant Distribution|D063148|22239|ET|Entry Term Replacement for "Plant Dispersal";RtM via: Plant Dispersal;Forced Non-Leaf Node Lookup:plant distributions|TI|MM;RC|5005^18^0
10.2307/2937151|*Rains|D011891|7488|ET|Entry Term Replacement for "Rain";RtM via: Rain;Forced Non-Leaf Node Lookup:rains|TI|MM|1389^5^0
10.2307/2937151|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|4647^12^0
4539083|Humans|D006801|294934712|CT|Forced Humans: humans;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|20^6^0
4539083|Animals|D000818|294934712|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
4539083|*Ecosystem|D017753|25099789|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|6898^9^0;6728^10^0;6528^9^0;6043^9^0;5727^9^0;5107^9^0;5059^9^0;5005^10^0;4449^9^0;4328^10^0;3300^9^0;2933^9^0;3008^10^0;2842^9^0;2536^9^0;2448^10^0;2259^9^0;1933^9^0;1733^10^0;1273^9^0;1098^9^0;1169^10^0;850^9^0;520^9^0;369^9^0;643^9^0;2864^9^0;3139^9^0
4539083|*Extinction, Biological|D053476|12553817|MH|RtM via: Extinction, Species;Forced Leaf Node Lookup:species extinctions|TI|MM|1361^19^0;159^19^0
4539083|*Invasive Species|D058865|12552134|ET|Entry Term Replacement for "Introduced Species";RtM via: Invasive Species;checkForceMH Boosted|TI|MM|2463^17^0;137^17^0
4539083|*Predatory Behavior|D011235|12550901|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|2184^9^0
4539083|*Symbiosis|D013559|12550196|MH|RtM via: Mutualism;Forced Leaf Node Lookup:mutualism|TI|MM|2160^9^0
4539083|*Consensus|D032921|12549950|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|1027^9^0
4539083|*Feedback|D005246|12549902|MH|RtM via: Feedback - system communication;Forced Leaf Node Lookup:feedbacks|TI|MM|5767^9^0
4539083|*Humanities|D006809|14316702|MH|RtM via: Humanities|TI|MM|433^8^0
4539083|Gastrointestinal Hemorrhage|D006471|49163|MH|||RC
4539083|*Physical Phenomena|D055585|7950|MH|RtM via: Energy, Physics;RtM via: Force;RtM via: Flow|TI|MM|2395^6^0;5992^6^0;1346^6^0;2415^5^0
4539083|*Theoretical Study|D008962|4686|ET|Entry Term Replacement for "Models, Theoretical";RtM via: Theoretical Study;Forced Non-Leaf Node Lookup:theoretical study|TI|MM|6276^17^0
4539083|*Activities, Human|D006802|4194|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activities|TI|MM|2507^16^0;872^16^0
4539083|*Biota|D058448|3147|MH|RtM via: Biological Community;RtM via: Ecological Community;Forced Non-Leaf Node Lookup:biological communities;Forced Non-Leaf Node Lookup:ecological communities;Forced Non-Leaf Node Lookup:biota|TI|MM|2439^5^0;1760^5^0;59^22^0;1299^22^0
4539083|*Policy|D057766|1788|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|6587^6^0;1419^6^0;7123^6^0
4539083|*Freshwater|D005618|1464|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM|6215^10^0
4539083|*Nutrient|D000078622|876|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|3647^8^0
4539083|*Esthetics|D004954|798|MH|RtM via: Esthetics (discipline);Forced Non-Leaf Node Lookup:aesthetics|TI|MM|303^9^0
4539083|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|6995^10^0
10.2307/1942531|*Ecosystem|D017753|61042|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|1108^10^0;930^10^0;561^10^0;250^9^0
10.2307/1942531|*Soil|D012987|46127|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|1427^4^0;665^4^0;540^5^0;167^5^0
10.2307/1942531|*Forestry|D016468|39611|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|419^8^0
10.2307/1942531|*Carbon|D002244|36119|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM;RC|2104^6^0;1863^6^0;1643^6^0;1432^6^0;1246^6^0;1084^6^0;1033^6^0;906^6^0;709^6^0;487^6^0;233^6^0;820^6^0;1940^6^0
10.2307/1942531|*Biomass|D018533|30824|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1418^7^0
10.2307/1942531|*Fossil Fuels|D005579|23609|MH|RtM via: Fossil Fuels;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fossil fuels|TI|MM;RC|1696^11^0;1045^12^0
10.2307/1942531|*Forests|D065928|33954|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1520^7^0;1411^6^0;641^7^0;366^6^0;297^7^0;744^7^0
10.2307/1942531|*Atmosphere|D001272|29022|MH|RtM via: Atmosphere, planetary;Forced Non-Leaf Node Lookup:atmospheres|TI|MM;RC|834^10^0;125^10^0
10.2307/1942531|*Oceans|D009792|16050|ET|Entry Term Replacement for "Oceans and Seas";RtM via: Oceans|TI|MM;RC|2157^7^0;2030^7^0;1733^7^0
10.2307/1942531|*Agriculture|D000383|15177|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM;RC|1444^12^0;780^12^0;402^12^0;376^11^0
10.2307/1942531|*Biota|D058448|2760|MH|RtM via: Biological Community;Forced Non-Leaf Node Lookup:biota|TI|MM|530^5^0;157^5^0
20787443|Animals|D000818|36555|CT|Radiation Injuries, Experimental;CT Treecode Lookup: C26.733.720 (Radiation Injuries, Experimental);Radiation Injuries, Experimental;CT Treecode Lookup: E05.598 (Radiation Injuries, Experimental);Radiation Injuries, Experimental;CT Treecode Lookup: E05.598.500.750 (Radiation Injuries, Experimental);Radiation Injuries, Experimental;CT Treecode Lookup: N06.850.810.300.360.285 (Radiation Injuries, Experimental);Butterflies;CT Treecode Lookup: B01.050.500.131 (Butterflies)||MM;RC
20787443|*Phylogeny|D010802|35555|MH|RtM via: Phylogenetic Trees;RtM via: Phylogeny;RtM via: Phylogenetic Signal;RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relatedness;Forced Leaf Node Lookup:phylogenetic signals;Forced Leaf Node Lookup:phylogenetic tree|TI|MM|363^17^0;1216^24^0;1665^19^0;1516^19^0;1281^20^0;1090^19^0;1903^12^0;689^12^0
20787443|*Butterflies|D002080|14135|MH|RtM via: Butterflies;Forced Leaf Node Lookup:butterfly;checkForceMH Boosted|TI|MM|1403^9^0
20787443|*Entropy|D019277|6442|MH|RtM via: Entropy;Forced Leaf Node Lookup:entropy|TI|MM|190^7^0
20787443|Belgium|D001530|5713|MH|RtM via: Belgium;Forced Leaf Node Lookup:belgium|TI|MM|1486^7^0
20787443|*Grassland|D065948|5500|MH|Forced Leaf Node Lookup:grasslands|TI|MM|1443^10^0
20787443|Radiation Injuries, Experimental|D011833|23338|MH|||RC
20787443|*Biological Evolution|D005075|6393|MH|RtM via: Biological Evolution|TI|MM|2016^12^0;770^12^0
20787443|*Biodiversity|D044822|3129|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|21^12^0
20787443|France|D005602|213|MH|RtM via: France|TI|MM|1466^6^0
10.2307/2937232|Animals|D000818|18883|CT|Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|28^4^0
10.2307/2937232|*Population Density|D011156|7227|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM;RC|1221^16^0
10.2307/2937232|*Seasons|D012621|4908|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|1251^6^0;231^6^0
10.2307/2937232|*Emigration and Immigration|D004641|2247|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM|1460^11^0;1353^11^0;432^11^0
10.2307/2937232|*Fishes|D005399|17883|MH|RtM via: Fishes|TI|MM;RC|1389^4^0;1300^4^0;1216^4^0;1136^4^0;921^4^0;838^4^0;575^4^0;369^4^0;28^4^0;185^4^0
10.2307/2937232|Coral Reefs|D057894|11942|MH|||RC
20787453|Humans|D006801|169213482|CT|Forced Humans: individuals;Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|591^5^0;1416^5^0
20787453|Animals|D000818|169213482|CT|Insectivora;CT Treecode Lookup: B01.050.150.900.649.313.961 (Insectivora)||MM;RC
20787453|*Urban Renewal|D014506|6515464|MH|RtM via: Urban Development;Forced Leaf Node Lookup:urban developments|TI|MM|639^17^0
20787453|*Limestone|D002119|6514777|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:limestone|TI|MM|516^9^0
20787453|*Bauxite|D000537|6514753|ET|Entry Term Replacement for "Aluminum Oxide";RtM via: Bauxite;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bauxite|TI|MM|958^7^0;662^7^0
20787453|Jamaica|D007563|6514579|MH|RtM via: Jamaica;Forced Leaf Node Lookup:jamaica|TI|MM|728^7^0
20787453|Hepatitis, Viral, Human|D006525|23571|MH|||RC
20787453|*Insectivora|D007312|1809|MH|RtM via: Insectivora|TI|MM|1224^12^0
20787453|*Forest|D065928|1641|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1871^6^0;1637^6^0;1302^6^0;1025^6^0;526^6^0;710^6^0;1387^6^0;1464^6^0
20787453|*Diet|D004032|1500|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM|1157^4^0
20787453|*Bird|D001717|1281|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM|2107^4^0;878^5^0;496^4^0
20787453|*Agriculture|D000383|777|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|835^12^0;621^11^0
20787453|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|277^10^0
10.2307/2963469|*Food Chain|D020387|31679|MH|RtM via: Food Chain;Forced Leaf Node Lookup:food chains|TI|MM;RC|113^10^0
10.2307/2963469|*Biomass|D018533|13532|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|2280^7^0;1905^7^0
10.2307/2963469|*Rivers|D045483|10499|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM;RC|2835^6^0
10.2307/2963469|*Emigration and Immigration|D004641|10182|MH|RtM via: Immigration;RtM via: Emigration;Forced Leaf Node Lookup:immigration and emigration;Forced Leaf Node Lookup:immigrations;Forced Leaf Node Lookup:emigrations|TI|MM|2580^11^0;522^11^0;461^11^0;2209^10^0;2103^10^0;620^10^0;477^10^0;2655^11^0;2705^11^0;749^10^0
10.2307/2963469|*Biological Phenomena|D001686|4263|MH|RtM via: Tissue Growth|TI|MM|1151^6^0
10.2307/2963469|*Physiological Phenomena|D010829|3474|MH|RtM via: biologic consumption|TI|MM|600^11^0
10.2307/2963469|*Computer Simulation|D003198|2481|MH|RtM via: Computer simulation|TI|MM;RC|1067^10^0
10.2307/2963469|*Reproduction|D012098|1110|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|222^12^0
10.2307/2963469|*Reward|D012201|324|MH|RtM via: Rewards;Forced Non-Leaf Node Lookup:rewards|TI|MM|1494^6^0
10.2307/2963469|*Long-Term Memory|D057567|189|ET|Entry Term Replacement for "Memory, Long-Term";RtM via: Memory, Long-Term;Forced Non-Leaf Node Lookup:long-term memory|TI|MM|1468^16^0
27646116|*Rainforest|D065947|15884|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|1606^11^0
27646116|1-Methyl-4-phenylpyridinium|D015655|116725|MH|||RC
27646116|Autophagy|D001343|37434|MH|||RC
27646116|Americas|D000569|3|MH|RtM via: Americas;Forced Non-Leaf Node Lookup:americas|TI|MM|1362^8^0
10.2307/2937322|*Trees|D014197|71076|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|2418^5^0;204^4^0
10.2307/2937322|*Biomass|D018533|35032|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|2765^7^0;1631^7^0;1325^7^0;1178^7^0;984^7^0;884^7^0;217^7^0;1847^7^0
10.2307/2937322|*Ecosystem|D017753|33667|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|546^10^0;348^10^0
10.2307/2937322|*Wetlands|D053833|22624|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM;RC|144^8^0
10.2307/2937322|*Wood|D014934|19693|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|2927^4^0;1658^4^0
10.2307/2937322|*Cupressus|D029781|19097|MH|RtM via: Cypress;Forced Leaf Node Lookup:cypress;checkForceMH Boosted|TI|MM|3012^7^0;2349^7^0;2307^7^0;2019^7^0;1921^7^0;1347^7^0;1202^7^0;782^7^0;420^7^0;136^7^0;340^7^0;464^7^0;485^7^0;2047^7^0;2373^7^0
10.2307/2937322|*Sewage|D012722|18833|MH|RtM via: Sewage;Forced Leaf Node Lookup:sewage;checkForceMH Boosted|TI|MM|2733^6^0;1238^6^0;448^6^0
10.2307/2937322|*Water|D014867|14062|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|2581^5^0;2395^5^0;2335^5^0;1905^5^0;710^5^0;57^5^0;391^5^0;2177^5^0;2669^5^0
10.2307/2937322|*Chlorophyll|D002734|13861|MH|RtM via: chlorophyll;checkForceMH Boosted;Forced Non-Leaf Node Lookup:chlorophyll|TI|MM|2795^11^0
10.2307/2937322|*Phosphorus|D010758|11680|MH|RtM via: phosphorus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phosphorus|TI|MM|2828^10^0;1807^10^0;1607^10^0;1103^10^0;850^10^0;965^10^0;684^10^0;582^10^0;271^10^0;632^10^0
10.2307/2937322|*Dehydration|D003681|10792|MH|RtM via: Water Stress;Forced Leaf Node Lookup:water stress|TI|MM|2453^12^0
10.2307/2937322|Florida|D005431|8896|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|332^7^0
