43519415|Humans|D006801|10474417|CT|Forced Humans: man|TI|MM;RC
43519452|Water|D014867|1000|MH|Forced Non-Leaf Node Lookup:water||MM;RC|634^5^0;883^5^0;1094^5^0;1280^5^0
43518934|Humans|D006801|2278057|CT|Forced Humans: individuals|TI|MM
43518934|*Biochemical Phenomena|D001669|546|MH|RtM via: export across plasma membrane|TI|MM|100^6^0
43518934|Ecosystem|D017753|429|MH|||RC
43518934|*Biological Transport|D001692|210|MH|RtM via: export across plasma membrane|TI|MM|100^6^0
43519245|*Ribulose-Bisphosphate Carboxylase|D012273|43894|MH|RtM via: Ribulose-Bisphosphate Carboxylase;Forced Leaf Node Lookup:rubisco;checkForceMH Boosted|TI|MM;RC|1693^7^0;1572^7^0;1928^7^0
43519245|*Grasses|D006109|12995|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|2241^5^0;1202^5^0;954^7^0;118^7^0
43519245|*Festuca|D031751|11752|MH|RtM via: Festuca rupicola;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|477^16^0
43519245|*Water|D014867|6344|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1426^3^0;68^5^0
43519245|*Up-Regulation|D015854|5300|MH|RtM via: Up-Regulation (Physiology);Forced Leaf Node Lookup:upregulation|TI|MM|1659^12^0
43519245|*Salvia|D027544|5270|MH|RtM via: Salvia nemorosa;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salvias|TI|MM|569^15^0
43519245|*Photosynthesis|D010788|35445|MH|RtM via: Photosynthesis;Forced Non-Leaf Node Lookup:photosynthesis|TI|MM;RC|1844^14^0;1396^14^0;793^14^0;613^14^0;459^14^0
43519245|*Acclimation|D000064|9891|ET|Entry Term Replacement for "Acclimatization";RtM via: Acclimatization;Forced Non-Leaf Node Lookup:acclimation|TI|MM;RC|1829^11^0;1557^11^0;1332^11^0;983^11^0;774^11^0;730^11^0;598^11^0;321^11^0
43519245|*Magnoliopsida|D019684|2517|MH|RtM via: Magnoliopsida|TI|MM|2625^6^0
43519245|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|1721^12^0;1870^12^0;2014^12^0
43519439|*Altitude|D000531|3970|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|748^8^0
43519439|*Rivers|D045483|1111|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|775^6^0
43519439|*Meteorology|D055904|1680|MH|RtM via: Meteorology|TI|MM|98^14^0
43519439|*Multivariate Analysis|D015999|1374|MH|RtM via: multiple regression|TI|MM;RC|599^19^0
43519439|China|D002681|750|MH|RtM via: China;Forced Non-Leaf Node Lookup:china|TI|MM;RC|275^5^0
43519246|*Water|D014867|9531|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|625^5^0;414^5^0;239^5^0;110^5^0;159^5^0;306^5^0
43519246|*Medicago sativa|D000455|7746|MH|RtM via: Alfalfa;Forced Leaf Node Lookup:medicago sativa;Forced Leaf Node Lookup:alfalfa;checkForceMH Boosted|TI|MM;RC|705^7^0;81^7^0;90^15^0
43519246|*Seasons|D012621|7500|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|805^6^0;231^7^0
43519246|Plant Transpiration|D018526|4995|MH|||RC
43519246|*Osmosis|D009995|4656|MH|RtM via: Osmosis;RtM via: Osmotic|TI|MM|658^7^0;387^7^0
43519246|*Nutrient|D000078622|930|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|169^8^0
43519243|Humans|D006801|13324084|CT|Forced Humans: human|TI|MM
43519243|*Sulfur Dioxide|D013458|1090198|MH|RtM via: sulfur dioxide;Forced Leaf Node Lookup:sulphur dioxide;checkForceMH Boosted|TI|MM|1856^15^0
43519243|*Seedlings|D036226|1089532|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1962^8^0
43519243|*Temperature|D013696|1087392|MH|Forced Leaf Node Lookup:temperatures|TI|MM;RC|1038^12^0;1539^11^0
43519243|*Ecosystem|D017753|572051|MH|RtM via: Habitat;RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|2825^7^0;375^9^0
43519243|*Soil Microbiology|D012988|560114|MH|RtM via: Soil Microbiology;Forced Leaf Node Lookup:soil microbiology|TI|MM;RC|356^17^0
43519243|*Soil|D012987|560075|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1244^4^0
43519243|*Herbivory|D060434|549797|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivory|TI|MM|342^9^0
43519243|*Mycorrhizas|D038821|548804|ET|Entry Term Replacement for "Mycorrhizae";RtM via: Mycorrhizae;checkForceMH Boosted|TI|MM|1630^11^0
43519243|*Droughts|D055864|547073|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|1763^7^0
43519243|*Ozone|D010126|545234|MH|RtM via: ozone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ozone|TI|MM|1879^5^0
43519243|*Inbreeding|D007178|544331|MH|RtM via: Genetic Inbreeding;Forced Leaf Node Lookup:inbreeding|TI|MM|2351^23^0
43519243|*Laboratories|D007753|544148|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1212^10^0
43519243|*Biological Evolution|D005075|21114|MH|RtM via: Biological Evolution|TI|MM|2109^12^0
43519243|*Plant|D010944|14682|ET|Entry Term Replacement for "Plants";RtM via: Plants;Forced Non-Leaf Node Lookup:herbaceous|TI|MM;RC|2625^5^0;1910^5^0;550^10^0;1096^10^0
43519243|*Climate Change|D057231|12621|MH|RtM via: Climate Change|TI|MM;RC|49^14^0
43519243|*Physiology, Plant|D018521|12264|ET|Entry Term Replacement for "Plant Physiological Phenomena";RtM via: Plant Physiological Phenomena;Forced Non-Leaf Node Lookup:plant physiology|TI|MM|2087^16^0
43519243|*Human Activity|D006802|11475|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activity|TI|MM;RC|441^14^0
43519243|*Nutrients|D000078622|1308|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1578^8^0;1567^9^0;2876^9^0;974^8^0;1363^8^0
43519243|Reproduction|D012098|1000|MH|Forced Non-Leaf Node Lookup:reproduction||MM|2362^12^0
43519243|Minerals|D008903|1000|MH|Forced Non-Leaf Node Lookup:minerals||MM|966^7^0;1355^7^0;2868^7^0
43519488|Animals|D000818|4399|CT|Viverridae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Viverridae)||MM;RC
43519488|*Viverridae|D045949|1339|MH|RtM via: Genets;Forced Leaf Node Lookup:genets;checkForceMH Boosted|TI|MM|829^5^0;187^5^0
43519488|*Plants|D010944|3399|MH|RtM via: Plants|TI|MM;RC|599^5^0;223^6^0;80^6^0
43519488|*Life History Strategies|D000071421|1572|ET|Entry Term Replacement for "Life History Traits";RtM via: Life History Strategies|TI|MM|250^10^1;264^12^1
43519488|*Phenotype|D010641|1494|MH|RtM via: Trait|TI|MM;RC|386^6^0
43519488|*Organization|D009938|942|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|200^12^0
43519488|*Theoretical Models|D008962|459|ET|Entry Term Replacement for "Models, Theoretical";RtM via: Theoretical model;Forced Non-Leaf Node Lookup:theoretical models|TI|MM|466^18^0
43519488|*Occupation|D009790|378|ET|Entry Term Replacement for "Occupations";RtM via: Occupations;Forced Non-Leaf Node Lookup:occupations|TI|MM|301^10^0
43519488|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|62^7^0
43519137|*Droughts|D055864|5540|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|587^7^0
43519137|*Herbicides|D006540|1790|MH|RtM via: Herbicides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:herbicides|TI|MM;RC|1306^9^0;637^9^0;66^10^0
43519137|*Seasons|D012621|1318|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|761^8^0;866^8^0
43519137|*Grassland|D065948|1120|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|97^9^0
43519137|*Climate|D002980|7485|MH|RtM via: Climate|TI|MM;RC|1400^7^0
43519137|*Conservation of Natural Resources|D003247|3072|MH|RtM via: Natural regeneration|TI|MM|980^12^0
43519137|*Plant Leaves|D018515|1074|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|61^4^0
43519137|*Clustering|D016000|756|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|174^10^0
43519137|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|980^12^0
43519098|Algorithms|D000465|144|MH|||RC
43519098|*Islands|D062312|27|MH|RtM via: Islands|TI|MM|862^6^0
43519461|*Seedlings|D036226|2038|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|208^9^0
43519461|*Monte Carlo Method|D009010|2301|MH|RtM via: Monte Carlo Method|TI|MM;RC|23^11^0
43519461|*Computer Simulation|D003198|936|MH|RtM via: Computer simulation|TI|MM;RC|267^10^0;35^10^0
43519461|*Herb-Drug Interactions|D041743|21|MH|RtM via: Herb-Drug Interactions|TI|MM|411^17^0
43519461|Demography|D003710|1000|MH|Forced Non-Leaf Node Lookup:demography||MM|397^10^0
43518939|*Ponds|D061005|787|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM|60^4^0
43518939|*Physiological Phenomena|D010829|600|MH|RtM via: Reflecting|TI|MM|1066^8^0
43518939|Ecosystem|D017753|407|MH|||RC
43519462|Humans|D006801|6688996|CT|Forced Humans: individuals;Forced Humans: human|TI|MM;RC
43519462|*Impatiens|D029069|539919|MH|RtM via: Impatiens parviflora;Forced Leaf Node Lookup:impatiens;checkForceMH Boosted|TI|MM|40^20^0
43519462|*Ficus|D030681|538722|MH|Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM|1012^3^0
43519462|*Soil|D012987|277203|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1114^4^0
43519462|*Water|D014867|272268|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|777^5^0
43519462|*Grasses|D006109|271383|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM|693^7^0
43519462|*Temperature|D013696|270684|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1084^11^0
43519462|Hungary|D006814|269460|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM;RC|86^7^0
43519462|*Forest|D065928|17409|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|297^6^0
43519462|*Human Activity|D006802|2760|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activity|TI|MM|192^14^0
43519462|*Water Supply|D014881|2133|MH|RtM via: Water Supply;Forced Non-Leaf Node Lookup:water supply|TI|MM|1097^12^0;565^12^0
43519369|Humans|D006801|29052778|CT|Forced Humans: man|TI|MM;RC
43519369|Male|D008297|29052778|CT|CT Text Lookup: man|TI|MM;RC|214^3^0
43519369|*Hyalin|D006818|1162509|MH|RtM via: Hyalin;Forced Leaf Node Lookup:hyaline|TI|MM|1056^7^0
43519369|*Epidermal Cells|D000078404|1242|MH|RtM via: Epidermal cells|TI|MM|1688^9^0;1640^9^0;1375^9^0;1219^9^0;1016^9^0;766^9^0;686^9^0
43519369|*Epidermis|D004817|528|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|1688^9^0;1640^9^0;1375^9^0;1219^9^0;1016^9^0;766^9^0;686^9^0;857^9^0
43519369|*Dengue Virus|D003716|54|MH|RtM via: Dengue virus, type 1|TI|MM|1451^1^1;1500^3^1
43519301|*Forest|D065928|14886|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|44^6^0
43519301|*Microclimates|D008834|2991|ET|Entry Term Replacement for "Microclimate";RtM via: Microclimate|TI|MM|179^13^0
43519301|*Climates|D002980|2667|ET|Entry Term Replacement for "Climate";RtM via: Climate|TI|MM|25^12^0
43519142|Humans|D006801|27889012|CT|Forced Humans: men|TI|MM;RC
43519142|Male|D008297|27889012|CT|CT Text Lookup: men|TI|MM;RC|156^3^0
43519142|Animals|D000818|27889012|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
43519142|*Pamphlets|D010174|1117628|MH|RtM via: Pamphlets;Forced Leaf Node Lookup:booklets|TI|MM|118^7^0
43519142|Hungary|D006814|1117370|MH|RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians|TI|MM|313^9^0
43519142|*Biological Evolution|D005075|43107|MH|RtM via: Biological Evolution|TI|MM;RC|182^12^0
43519142|*Book|D001877|804|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM;RC|289^4^0
43519142|*Horticulture|D000080802|366|MH|RtM via: Horticulture|TI|MM|351^13^0
43519142|*Gastropoda|D049851|246|MH|RtM via: Alia <Columbellidae>|TI|MM|40^4^0
43519428|*Sample Size|D018401|3415|MH|RtM via: Sample Size;Forced Leaf Node Lookup:sample sizes|TI|MM;RC|627^11^0
43519428|*Data Analysis|D000078332|391|MH|RtM via: Data Analysis;Forced Leaf Node Lookup:data analysis|TI|MM|169^13^0
43519428|*Specimen Handling|D013048|45|MH|RtM via: Sampling|TI|MM|190^8^0
43519082|*Soils|D012987|9177|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|1480^5^0;1490^5^0
43519082|*Fagus|D029964|5028|MH|RtM via: Beech;Forced Leaf Node Lookup:beechs;checkForceMH Boosted|TI|MM|653^5^0
43519082|*Environment|D004777|6150|MH|RtM via: Woods|TI|MM;RC|659^5^0
43519082|*Multivariate Analysis|D015999|3936|MH|RtM via: canonical correlation analysis;Forced Non-Leaf Node Lookup:canonical correlations|TI|MM;RC|1052^30^0
43519082|*Agriculture|D000383|3192|MH|RtM via: Combine|TI|MM|383^7^0
43519082|*Data Management|D000079803|2841|MH|RtM via: Databases|TI|MM|582^9^0
43519082|*Information System|D007256|618|ET|Entry Term Replacement for "Information Systems";RtM via: Information Systems;Forced Non-Leaf Node Lookup:information system|TI|MM|538^18^0
43519082|*Drainage|D004322|294|MH|RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|1506^8^0
43519434|*Soils|D012987|5131|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|1432^5^0;1354^5^0;1180^5^0
43519434|*Carex Plant|D031255|3488|MH|RtM via: Carex humilis;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|1389^13^0
43519434|*Genista|D039761|2588|MH|RtM via: Genista pilosa;Forced Leaf Node Lookup:genistas;checkForceMH Boosted|TI|MM|1294^14^0
43519434|*Festuca|D031751|2213|MH|RtM via: Festuca;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|1313^7^0
43519434|*Grassland|D065948|709|MH|Forced Leaf Node Lookup:grasslands|TI|MM|501^9^0
43519434|*Bryophyta|D044002|2076|MH|RtM via: Mosses|TI|MM|1149^4^0
43519434|*Seasons|D012621|1461|MH|RtM via: Winter|TI|MM;RC|1130^6^0
43519434|*Biological Phenomena|D001686|819|MH|RtM via: Tissue Growth|TI|MM|1404^7^0;1339^4^0
43519468|Animals|D000818|22155|CT|CT Text Lookup: animal|TI|MM;RC|1303^6^0
43519468|Humans|D006801|22155|CT|CT Text Lookup: workers|TI|MM|864^7^0
43519468|Female|D005260|22155|CT|Vagina;CT Treecode Lookup: A05.360.319 (Vagina)|TI|MM
43519468|*Soil|D012987|21155|MH|RtM via: Soil;RtM via: Humus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:humus|TI|MM;RC|1602^4^0;1037^4^0;1607^5^0;1632^4^0;1740^4^0
43519468|*Clay|D000077215|7843|MH|RtM via: clay;Forced Leaf Node Lookup:clay;checkForceMH Boosted|TI|MM|1655^4^0
43519468|*Sand|D000080463|7454|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|1492^5^0;1405^5^0;951^5^0
43519468|*Festuca|D031751|6679|MH|RtM via: Festuca vaginata;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|1088^16^0
43519468|*Grassland|D065948|5619|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|1411^10^0;1498^10^0;957^9^0
43519468|*Parks, Recreational|D000068316|4409|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|1525^13^0
43519468|*Specialization|D013038|2507|MH|RtM via: Specialism;Forced Leaf Node Lookup:specialism|TI|MM|1250^10^0
43519468|Hungary|D006814|2426|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|1540^7^0;803^7^0
43519468|*Ecology|D004463|7458|MH|RtM via: animal ecology|TI|MM|1303^14^0
43519468|*Nutrient|D000078622|1440|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1687^8^0
43519468|*Mineral|D008903|1143|ET|Entry Term Replacement for "Minerals";RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|1660^7^0
43519468|*Vagina|D014621|30|MH|RtM via: Vagina;Forced Non-Leaf Node Lookup:vaginas|TI|MM|989^6^0
43519140|*Age Distribution|D017677|632|MH|RtM via: Age Distribution;Forced Leaf Node Lookup:age distributions|TI|MM|848^16^0
43519140|*Population Growth|D011158|350|MH|Forced Leaf Node Lookup:population growth|TI|MM|38^17^0
43519140|*Mathematics|D008433|1074|MH|RtM via: Mathematics|TI|MM;RC|575^12^0
43519140|*Distributed Systems|D003195|621|ET|Entry Term Replacement for "Computer Communication Networks";RtM via: Distributed Systems|TI|MM|610^11^1;640^7^1
43519140|Age Factors|D000367|1000|MH|Forced Non-Leaf Node Lookup:age-specific||MM|25^12^0
43519517|Animals|D000818|1321|CT|Anthozoa;CT Treecode Lookup: B01.050.500.308 (Anthozoa)||MM;RC
43519517|*Drosera|D029787|321|MH|RtM via: Drosera;Forced Leaf Node Lookup:droseras;checkForceMH Boosted|TI|MM|292^7^0
43519517|*Anthozoa|D037421|264|MH|RtM via: Stolonifera|TI|MM|453^11^0
43519517|Phylogeny|D010802|167|MH|||RC
43519517|*Dissent and Disputes|D034462|48|MH|RtM via: Disputes|TI|MM|27^6^0
43519517|*Diagnostic Tests, Routine|D003955|27|MH|RtM via: Examination|TI|MM|243^7^0
43519517|Australia|D001315|6|MH|RtM via: Australia|TI|MM|338^9^0
43519150|*Herbicides|D006540|1755|MH|RtM via: Herbicides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:herbicides|TI|MM;RC|436^9^0;228^10^0
43519150|*Grassland|D065948|478|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|259^9^0
43519150|*Clustering|D016000|1284|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|452^10^0;91^10^0
43519150|*Health Services|D006296|1032|MH|RtM via: Test Method|TI|MM|538^6^0;463^6^0
43519150|*Plant Leaves|D018515|675|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|223^4^0
43519150|*Research Design|D012107|423|MH|RtM via: Test Method|TI|MM|538^6^0;463^6^0
43519237|*Fertilizers|D005308|43494|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilizers;checkForceMH Boosted|TI|MM;RC|120^10^0
43519237|*Soil|D012987|37605|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1239^4^0;803^4^0;680^4^0;557^4^0;406^4^0;106^4^0;1354^4^0
43519237|*Nitrogen|D009584|37080|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|649^8^0
43519237|*Carbon|D002244|30657|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM;RC|1307^6^0;534^6^0;619^6^0
43519237|*Lolium|D008129|21000|MH|RtM via: Lolium perenne;Forced Leaf Node Lookup:ryegrass;checkForceMH Boosted|TI|MM;RC|52^18^0;62^8^0
43519237|*Grass|D006109|18459|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM;RC|894^5^0;325^5^0
43519237|*Temperature|D013696|13200|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|1048^11^0;185^11^0;1443^11^0
43519237|*Water|D014867|12717|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|1359^5^0;233^5^0
43519237|*Nutrition Assessment|D015596|7047|MH|RtM via: Nutrition Indexes;Forced Leaf Node Lookup:nutrition index|TI|MM|918^15^0
43519237|*Seasons|D012621|9963|MH|RtM via: Autumn;RtM via: spring (season);RtM via: Summer|TI|MM;RC|1168^6^0;1152^6^0;1106^6^0;226^6^0
43519237|*Plant Roots|D018517|6369|MH|RtM via: Plant Roots|TI|MM;RC|466^5^0
43519237|*Biological Phenomena|D001686|1758|MH|RtM via: Tissue Growth;RtM via: Pathologic mineralization|TI|MM|452^6^0;78^5^0;749^14^0
43519237|Resource Allocation|D040841|1000|MH|Forced Non-Leaf Node Lookup:allocation of||MM|438^13^0
43519410|*Aluminum|D000535|1334|MH|RtM via: aluminum;Forced Leaf Node Lookup:aluminium;checkForceMH Boosted|TI|MM|115^9^0
43519410|Melanoma|D008545|3610|MH|||RC
43519410|Skin Neoplasms|D012878|2815|MH|||RC
43519410|*Parmeliaceae|D000068837|2364|MH|RtM via: Hypogymnia;RtM via: Parmelia|TI|MM|878^10^0;904^8^0
43519304|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.500.644.400.750 (Snail)||MM
43519304|Hungary|D006814|864|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|106^7^0
43519304|*Plant|D010944|4929|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|68^5^0
43519304|Biodiversity|D044822|751|MH|||RC
43519304|Europe|D005060|507|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM|398^6^0
43519304|*Snail|D012908|705|ET|Entry Term Replacement for "Snails";RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM|44^5^0
43519239|*Lolium|D008129|28315|MH|RtM via: Lolium perenne;Forced Leaf Node Lookup:lolium;checkForceMH Boosted|TI|MM;RC|98^14^0
43519239|*Agrostis|D031703|21484|MH|RtM via: Agrostis capillaris;Forced Leaf Node Lookup:agrostis;checkForceMH Boosted|TI|MM;RC|154^19^0
43519239|*Holcus|D031752|14665|MH|RtM via: Holcus lanatus;Forced Leaf Node Lookup:holcus;checkForceMH Boosted|TI|MM|135^14^0
43519239|*Biomass|D018533|14321|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|731^7^0;649^7^0
43519239|*Grassland|D065948|3770|MH|Forced Leaf Node Lookup:grasslands|TI|MM|86^10^0
43519239|*Poaceae|D006109|19947|MH|RtM via: Cynosurus cristatus|TI|MM;RC|114^19^0
