10.2307/2484573|Female|D005260|5409|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2484666|*Wetlands|D053833|17007|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM;RC|107^8^0
10.2307/2484666|*Biomass|D018533|15219|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|554^7^0;35^7^0
10.2307/2484666|*Carex Plant|D031255|13197|MH|RtM via: Carex lacustris;RtM via: Carex Genus;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|140^15^0;329^5^0
10.2307/2484666|New York|D009518|2958|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|98^8^0
10.2307/2484666|*Crops, Agricultural|D018556|2877|MH|RtM via: Agricultural Crops|TI|MM|444^5^0
10.2307/2484666|*Seasons|D012621|2220|MH|RtM via: Winter|TI|MM;RC|547^6^0;28^6^0
10.2307/2484666|*Nutrient|D000078622|1290|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|451^8^0;271^8^0;47^8^0
10.2307/2481760|*Diploidy|D004171|35067|MH|RtM via: Diploidy;RtM via: Diploid Cell;Forced Leaf Node Lookup:diploid cells;Forced Leaf Node Lookup:diploids|TI|MM;RC|514^7^0;540^12^0;253^7^1;271^5^1;393^13^0
10.2307/2481760|*Haploidy|D006238|34063|MH|RtM via: Haploid Cell;RtM via: Haploidy;Forced Leaf Node Lookup:haploids|TI|MM;RC|281^7^1;300^5^1;367^7^0
10.2307/2481760|*Micrasterias|D058120|10226|MH|RtM via: Micrasterias;Forced Leaf Node Lookup:micrasterias;checkForceMH Boosted|TI|MM|107^12^0
10.2307/2481760|*Cell Nucleus|D002467|12399|MH|RtM via: Cell Nucleus;RtM via: Nuclear (nucleus);RtM via: Nucleoplasm|TI|MM;RC|726^7^0;824^7^0;438^7^0;1158^13^0
10.2307/2481760|*Cytoplasm|D003593|6258|MH|RtM via: Cytoplasm|TI|MM|460^11^0
10.2307/2481760|*Cytosol|D003600|3099|MH|RtM via: Cytoplasmic|TI|MM|460^11^0
10.2307/2481760|*Preservation, Biological|D011309|600|MH|RtM via: Biologic Preservation|TI|MM|1181^9^0
10.2307/2483839|Animals|D000818|22888|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda)||MM;RC
10.2307/2483839|*Diatoms|D017377|21888|MH|RtM via: Diatoms;Forced Leaf Node Lookup:diatoms;checkForceMH Boosted|TI|MM;RC|1014^7^0;862^6^0;829^7^0;429^7^0;277^7^0;1073^7^0
10.2307/2483839|*Chlorophyll A|D000077194|20223|MH|RtM via: Chlorophyll A;Forced Lookup:chlorophyll a;Forced Leaf Node Lookup:chlorophyll a;checkForceMH Boosted|TI|MM;RC|644^13^0
10.2307/2483839|*Dinoflagellates|D004141|12839|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM;RC|226^15^0
10.2307/2483839|*Sand|D000080463|8611|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|320^4^0
10.2307/2483839|*Copepoda|D033342|8029|MH|RtM via: Copepoda;Forced Leaf Node Lookup:copepods;checkForceMH Boosted|TI|MM|511^8^0
10.2307/2483839|*Carbon Radioisotopes|D002250|6208|MH|RtM via: Carbon-14;Forced Lookup:carbon 14;checkForceMH Boosted|TI|MM|208^9^0
10.2307/2483839|*Estuaries|D063366|4958|MH|RtM via: Estuaries;Forced Leaf Node Lookup:estuaries|TI|MM|337^9^0
10.2307/2483839|*Pollutants|D004785|3620|ET|Entry Term Replacement for "Environmental Pollutants";RtM via: Environmental Pollutants;checkForceMH Boosted|TI|MM|551^8^0;328^8^0
10.2307/2483839|*Blue Green Algae|D000458|9990|ET|Entry Term Replacement for "Cyanobacteria";RtM via: Cyanobacteria;Forced Non-Leaf Node Lookup:blue-green algae|TI|MM;RC|987^16^0;742^16^0;255^16^0
10.2307/2483839|*Ciliophora|D016798|4461|MH|RtM via: Ciliata|TI|MM|492^17^0
10.2307/2483839|*Seasons|D012621|1860|MH|RtM via: Summer|TI|MM;RC|124^6^0
10.2307/2483839|*Nematoda|D009348|2544|MH|RtM via: Nematodes;RtM via: Phylum Nematoda;Forced Non-Leaf Node Lookup:nematodes|TI|MM|593^9^0;524^9^0
10.2307/2484228|*Tsuga|D028225|60232|MH|RtM via: Tsuga canadensis;Forced Leaf Node Lookup:tsugas;checkForceMH Boosted|TI|MM;RC|60^16^0
10.2307/2484228|*Hemlock|D018652|14723|MH|RtM via: Hemlock;Forced Leaf Node Lookup:hemlocks|TI|MM|782^7^0;601^7^0;473^7^0;331^7^0;269^7^0;51^7^0;905^7^0;1112^7^0
10.2307/2484228|*Seedlings|D036226|10228|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|377^9^0;277^9^0
10.2307/2484228|*Conifer|D064028|6404|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|1089^7^0
10.2307/2484228|*Microclimate|D008834|6392|MH|RtM via: Microclimate;Forced Leaf Node Lookup:microclimates|TI|MM|876^12^0
10.2307/2484228|*Longevity|D008136|4073|MH|RtM via: Longevity;Forced Leaf Node Lookup:longevity|TI|MM|1159^9^0
10.2307/2484228|New York|D009518|3863|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|169^8^0
10.2307/2484228|*Virtues|D028722|3692|MH|Forced Leaf Node Lookup:virtues|TI|MM|963^6^0
10.2307/2484228|*Forest|D065928|9744|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|221^6^0
10.2307/2484228|*Water Supplies|D014881|1266|ET|Entry Term Replacement for "Water Supply";RtM via: Water Supply;Forced Non-Leaf Node Lookup:water supplies|TI|MM|945^14^0
10.2307/2995981|Humans|D006801|43646887|CT|Forced Humans: families|TI|MM;RC
10.2307/2995981|granite|C007886|3532486|NM|RtM via: granite;Forced SCR Leaf Node Lookup:granite|TI|MM|1048^7^0;830^7^0;535^7^0;404^7^0;50^7^0
10.2307/2995981|*Poaceae|D006109|1777347|MH|RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM;RC|216^7^0
10.2307/2995981|*Fabaceae|D007887|1772253|MH|RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM;RC|264^8^0
10.2307/2995981|*Asteraceae|D019659|1771947|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM;RC|230^10^0
10.2307/2995981|*Droughts|D055864|1771575|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|732^7^0
10.2307/2995981|*Cyperaceae|D029785|1771476|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|247^10^0
10.2307/2995981|*Polypodiaceae|D029621|1766535|MH|RtM via: Polypodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:polypodiaceae|TI|MM|283^13^0
10.2307/2995981|Texas|D013781|1766091|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|1094^5^0;569^5^0;100^5^0
