biolenviprocria.117b.2.91|Total soil respiration (R
20499909|Bembidion obtusum (Ser.) has been found to be one of the most numerous carabid beetles occurring in winter wheat in Ireland. The species showed both nocturnal and diurnal activity and was found in fields from autumn until early summer, but showed peak activity over winter when it dominated the carabid fauna. The field distribution of B. obtusum was aggregated with a mean density of 23/m, and beetles were only found in the soil surface layer. The width of the proximal protarsal segment was used to determine the sex of live beetles, males being larger than females. Egg-laying by B. obtusum was recorded in the laboratory during March and April. The opaque eggs were cylindrical in shape and measured 0.57mm  0.34mm. The lifespan of beetles is considered to be one year. An examination of crop contents of B. obtusum showed that significantly more contained aphid remains than remains of Collembola or mites, but the diet varied with season.
20500181|Many marine and freshwater pollution indices are available for all levels of the system, but all have their problems when used in estuaries. These difficulties are compounded at system level, especially where the goal is the creation of an easily communicated management tool, generally in the form of a simple index that integrates the pollution status over the whole of the estuary. The Biological Quality Index and Pollution Load Index have been suggested as simple and robust tools. They have been used in a variety of estuaries in Europe and the US, yielding values over the full scale from near 0 to a maximum of 10.0. The Biological Quality Index and Pollution Load Index results compare well with other indices currently in use, and the data on which the indices are based also provide diagnostic information that can be used to probe spatial, temporal or contaminant patterns in the system further.
20694841|The intensification and specialisation of agricultural practices have led to a widespread decline of farmland bird diversity across much of Europe. Increasing habitat heterogeneity at multiple spatial scales has been suggested as one possible strategy to reverse these declines. This study examined the relationship between habitat heterogeneity, as measured by a number of indices, and bird diversity at farm scale using study sites in the east and south-east of Ireland. Generalised Linear Models indicated that there was a positive relationship between the documented heterogeneity of farmland habitats and the numbers of bird species observed during standardised farm surveys. However, this relationship was not evident when bird diversity was quantified using both the Shannon and the Simpson's diversity indices. It is concluded that agri-environmental policy that aims to influence the heterogeneity of habitats at the farm level can provide a useful means to maintain farmland biodiversity. Future research should aim to develop an improved system of habitat classification and a deeper understanding of the ecological value of different habitat types in Irish farmland.
23033936|The study investigated the effect of sublethal concentrations (39.10mg 1 -1 , 19.55mg 1 -1 , 9.87mg 1 -1 and 0.00mg 1 -1 ) of Portland cement powder in solution on the biochemical parameters (cholesterol, triglyceride, total protein, glucose, lactate dehydrogenase and creatine kinase) in the serum, liver and kidney of the juvenile African catfish Clarias gariepinus after a fifteen-day exposure period. The result revealed varying levels of significant difference in serum, liver and kidney cholesterol, triglyceride, total protein, glucose, lactate dehydrogenase and creatine kinase activities, showing that the liver was most affected, the serum was less affected and the kidneys were least affected by the sublethal concentrations of the Portland cement powder in solution after the fifteen-day exposure period. Consequently, the liver and kidney, the medium of transportation of nutrients and other metabolites were affected. The liver and kidney, which are primarily responsible for maintaining external and internal milieu of fishes via detoxification, metabolism and excretion, are susceptible to deleterious effects of Portland cement powder. Therefore, sublethal concentration (39.10mg 1 -1 ) of Portland cement powder in solution after a fifteen-day exposure has been most toxic and debilitating to the test fish.
20694879|To date, 24 cetacean species have been recorded in Irish waters. These are protected by a range of legislation, including the Whale Fisheries Act, the Wildlife Act and the EU Habitats Directive, which oblige Ireland to maintain cetacean populations and their habitat at a favourable conservation status. Policies aiming to maintain conservation objectives must be underpinned by scientific research. In this paper, we review historical and recent research on cetaceans in Irish waters (within the EEZ) to evaluate present knowledge and identify gaps in research. This information includes historical (pre-1976) records, targeted and incidental land, vessel and aerial based observations, acoustic surveys and monitoring and information from strandings. The habitat requirements of most cetacean species are not fully understood but some important habitats have been identified. A number of threats to the welfare of cetaceans in Irish waters have also been identified, including fisheries interactions, pollution, climate change and disturbance. Future research required to fill gaps in knowledge highlighted by this manuscript is considered and discussed.
20500211|Damage to young trees in a new plantation caused by the browsing activities of Irish hares, Lepus timidus hibernicus, commenced within one month of the completion of planting. The browsing was most intense in spring and early summer. Removal of the apical shoot was the most common form of damage, leading to the formation of multiple leaders but rarely to the death of the tree. Broadleaved species, particularly oak, and to a lesser extent, beech were most susceptible to browsing. Damage to conifers was negligible, with the exception of larch. Although the impact was high in localised areas within the plantation, overall damage was much lower. L. timidus is considered a browser in more northerly parts of its range. However, despite the evidence of browsing of saplings in this study, dietary analysis showed grasses to be the primary food throughout the year.
20500173|During an investigation into the biology of three shark species commonly taken in Irish fisheries, biological information was also collected from an additional six less-common species: Galeorhinus galeus, Lamna nasus, Mustelus asterias, Galeus melastomus, Hexanchus griseus and Dalatias licha. Data on age, reproduction, feeding and parasites were collected from a total of 137 sharks. Age data from G. galeus and M. asterias suggest possible differences in growth-rate relative to other areas. The state-of-maturity of all specimens agreed with earlier studies, although data regarding the reproductive cycle of M. asterias and G. melastomus were inconsistent with data commonly reported for these species. Stomach contents were unremarkable, with the exception of 1.3kg of cetacean material recovered from a specimen of H. griseus. Results from the parasite component of the investigation extend the known range of two monogenean species, while a further three parasites were recorded from new hosts.
20694902|Good water quality is increasingly scarce throughout Europe, and in southern parts water quantities are limited and often insufficient for demand. In addition to being essential for life and for numerous human activities and industries, water provides a range of ecological life-support systems that are often difficult to value. The economics of water involves understanding its scarcity and its value, as well as human needs, and ensuring that the costs and benefits of choices are clear and that the impacts of alternative pricing schedules are determined. As the Water Framework Directive requires the integration of economic analysis for its implementation, this paper outlines key areas where such application is called for. Analysing cost-effectiveness, determining benefits, setting exemptions and calculating cost recovery are considered, followed by country case studies. The paper concludes with some consideration of the opportunities and challenges for Ireland.
20500110|The first permanent human impact on the Faroe Islands was identified in the palaeoecological record at three sites on three different islands by the appearance of cultivated crops, charcoal and large wild grasses. Accurate dating of the settlement horizon was made difficult by a radiocarbon plateau, but a suite of dates that lay within the range AD 500-700 was found and the horizon predated the landnam tephra from the AD 870s. The effects of people and their grazing animals on the landscape were rapid and were first apparent in nutrient enrichment of a lake as inferred from diatoms. The earliest known introduction of domestic animals (sheep/goats) was around the eighth century AD, and it probably contributed to the widespread change in vegetation and the loss of restricted native woody cover. Settlement resulted in a widespread degradation of the landscape and accelerated the replacement of woodland shrub communities or herb-rich parklands by acid heathland and blanket peat. Pollen and plant macrofossil analyses have revealed that during the early Holocene, blanket peat and shrubby heathlands with Juniperus, Salix, Calluna vulgaris, Empetrum and Erica cinerea developed before the first permanent settlement on the landscape. Comparable mid-Holocene vegetational changes on Shetland have been attributed to early human activity, but new data from the Faroes suggest that climate change may be an alternative hypothesis.
20694870|This study addresses the classification of grassland and heath communities found within the Burren uplands of Co. Clare and identifies threats to their integrity. Quadrats were taken on a range of sites, focusing on semi-natural, upland grassland and heath of conservation interest. Before analysis, the data set was divided into a heath group and a grassland group based on cover of dwarf shrubs. The data were analysed using TWINSPAN and canonical correspondence analysis. Within the grassland group, two main associations were found: the Sesleria caeruleaBreutelia chrysocoma association of low-nutrient, calcareous, species-rich grasslands, and the Dactylis glomerataHolcus lanatus association of more-mesotrophic grasslands. Within each group three sub-associations were identified. The heaths also fell into two main groups: one dominated by Dryas octopetala, and the other by Calluna vulgaris. The Dryas heath association formed three sub-associations, while the Calluna heaths formed three distinct associations, including associations of rare alpine heaths with Empetrum nigrum and Arctostaphylos uva-ursi. From direct ordination, significant environmental and management factors, such as altitude, soil depth and grazing pressure, were identified. Trends within the data set suggest a gradual increase in agriculturally favoured species with increased summer grazing. Abandoned and less-grazed areas are threatened by scrub and bracken encroachment.
20728600|Large areas of British coastal and riverine floodplains support grazing marsh, a landscape representing an intermediate stage in the reclamation of natural wetlands toward intensive agriculture. Once disregarded for nature conservation, in the late twentieth century it was realised that grazing marshes were significant for wetland birds and invertebrates, as well as the key refuge for aquatic vegetation in lowland Britain. The Centre for Ecology and Hydrology (CEH) surveyed this vegetation, focussing on drainage channels and their banks. In multivariate analysis, vegetation composition was related to channel dimensions, soil type, land use, channel management and the drainage function of the channel. CEH attempted to relate the channel vegetation assemblages to those aquatic and swamp types described within the British National Vegetation Classification and the wider literature. Although we sometimes achieved this aim channels often appeared to contain intimate concatenations of types that could not be simply separated into recognised aquatic and swamp associations. Thus, channel vegetation may be represented either as combinations of described communities or as unique multilayered associations, comparable with woodlands. The degree to which aquatic and swamp elements occur in predictable combinations is discussed. Despite being artificial habitats, drainage channels have intrinsic biodiversity value, meriting recognition within European systems for the protection of biodiversity.
20499895|The food of otters Lutra lutra (L.) on a limestone river system in the west of Ireland was determined by analysis of faeces collected monthly from nine sites over a year. The prey was predominantly crayfish Austropotamobius pallipes (Lereboullet), fish (salmonids, pike Esox lucius L., perch Perca fluviatilis L., roach Rutilus rutilus (L.), sticklebacks Gasterosteus aculeatus L., Pungitius pungitius (L.), stoneloach Noemacheilus barbatulus (L.), eel Anquilla anguilla (L.)) and frogs Rana temporaria L. Crayfish were a minor food in winter, whilst consumption of fish tended to peak at this time. Frogs were eaten least in summer and most in winter and spring. The sizes of fish and crayfish consumed were examined but there were no seasonal or spatial patterns evident. Results from the present study were compared with those from a similar study undertaken ten years previously. The main difference is that roach, which had colonised the system in the interim, is now the most important fish in the diet. The consumption of pike has also risen.
biolenviprocria.116b.3.1|The current national surface water monitoring programme in Ireland includes 224 lakes. Monitoring data from the period 201214 are used to evaluate the performance of ecological assessment metrics in responding to eutrophication pressure, as indicated by average total phosphorus concentration (TP). For 70 surveillance lakes, the r
20728575|Species of Alcyonidium occur commonly on rocky shores and in the shallow sublittoral. Five of them, A. diaphanum, A. gelatinosum, A. hirsutum, A. mytili and A. polyoum, are described, including new taxonomic information. A. gelatinosum has been the subject of extensive nomenclatural confusion, its name until recently having been incorrectly applied to two other species (A. diaphanum and A. polyoum). Three species, A. gelatinosum, A. mytili and A. polyoum, have been consistently misidentified. However, A. mytili is oviparous, whereas A. gelatinosum and A. polyoum are larviparous. A. gelatinosum and A. polyoum can be distinguished by, for example, gut shape, tentacle number and number of embryos per brood chamber, but breeding season is the main distinguishing characteristic, as A. gelatinosum is a winter breeder (like A. hirsutum) and A. polyoum reproduces in summer (or in autumn in some places outside Ireland). New data on settlement seasons are presented and the variation found between localities is discussed. A key to species is included. Irish distributions are given, corrected from the literature where possible, and based on a recent survey by the authors. A. gelatinosum and A. hirsutum are by far the most widespread and abundant species.
20499891|Between-site differences and within-site seasonal patterns were studied in benthic macroinvertebrate communities from two physically and chemically contrasting streams in the River Blackwater catchment (the River Awbeg and the Glenfinnish River). Between-site differences occurred in species composition (related to water hardness, pH and stream order), total macroinvertebrate densities (related to hardness and riparian vegetation), diversity and functional group organisation (partially related to water chemistry, but also to riparian vegetation and stream order and distance from headwaters). Total density, taxon richness, numbers of shredders, filterers and deposit collectors and relative abundance of filterers were greatest in the higher-order, hard-water Awbeg. Diversity and relative abundance of grazers and predators were greatest in the lower-order, softer-water Glenfinnish. Seasonal changes in total invertebrate numbers, diversity, rank/abundance distributions and functional group organisation were also observed. Overall densities were greatest in late summer/early autumn and lowest in early summer in the Glenfinnish River. Seasonality patterns in invertebrate abundance in the Awbeg were dominated by Simuliidae, peaking in late summer. Rank abundance distributions varied from log series to geometric patterns over the year. Taxon richness and abundance of shredders and filterers increased in late summer in both rivers in accord with seasonal patterns predicted under the River Continuum Concept. Other seasonal patterns, e.g. in grazers, did not; this was related to the local habitat conditions (e.g. shading).
biolenviprocria.115B.1.29|Several phenotypic tests were used in this study to determine the biodiversity of rhizobial strains nodulating
23188046|The huge herbaceous Gunnera tinctoria (Giant rhubarb), long naturalised in coastal Connemara, has recently spread rapidly and moved inland causing considerable concern. Its native habitat in South America comprises disturbed areas on volcanic soils. In Connemara it has colonised quarries and roadsides, spreading out from these, though rarely onto bog. Gravel spread from infested quarries has been an important dispersal factor. It is mostly associated with plant communities of damp and disturbed habitats, with other invasive aliens. In a growth experiment, it grew poorly in waterlogged peat or gravel and best in a drained mixture of both substrates. Gunnera manicata (Brazilian giant rhubarb) is here confirmed for Connemara and both species are mapped. G. manicata appears to occur through accidental transfer of rhizome parts, while G. tinctoria can also spread by its abundant seed. The exceptionally severe winter of 2009/2010 checked the growth of G. tinctoria away from the coast, but not G. manicata. It is likely that the previous long run of milder winters facilitated the recent rapid spread of G. tinctoria. Climate change hypotheses predict increased milder oceanic conditions for Western Europe, which could result in both species becoming more widely invasive.
20694899|This paper reviews the rationale and scope of the monitoring programmes that are being developed to meet the objectives of the Water Framework Directive (WFD). It also includes reference to monitoring carried out by the National Parks and Wildlife Service for habitats and species listed under Annex I and II of the Habitats Directive for which maintenance or improvement of the status of waterbodies is an important factor in their protection. Ongoing elucidation of the distribution and ecological requirements of water-dependent habitats and species, and the protection of or restoration to favourable conservation status, feeds into high-status classification under the WFD and associated monitoring programmes and measures. The details of a number of key monitoring programmes are still being developed, and the details of monitoring stations and networks also require some updating. A key aspect of WFD implementation is flexibility, which is required in order to respond rapidly to individual events and to changes in risks and pressures, including climate-change impacts.
23188068|This catalogue follows two similar studies, the more recent dating from 1988. In the period since then, sporadic collecting has continued throughout Ireland and the number of Myxomycete species recorded for the country has now reached 228. Individual vice-counties have totals ranging from 31 (Armagh) to 142 (Wicklow). Clearly, much scope exists for future recording of this group in Ireland.
20728610|We still lack quantitative and comprehensive methods to assess spatio-temporal changes in biodiversity of landscapes. Even more, we need methods to determine the amounts of change especially in the light of the current acceleration in the loss of biodiversity. We have developed a widely applicable method to reveal spatio-temporal changes in vegetation patterns and relate them to ecosystem processes. We use a systematic grid of hexagonal plots in a spatially nested design (three spatial scales and levels) to examine these patterns. The hexagonal grid, as well as the hexagonal plot, provides several advantages compared to other methods. Most important in the context of evaluating patterns is the equidistant nature of the grid. This facilitates data analysis and circumvents statistical and logical problems (compared to squared or circular plots). Correlation is very strong ($r=0.88^{\ast \ast}$) between structural data assessed with the line-intercept method and that gathered from field sketches. This indicates that the lines used to mark out the plots provide an easy and feasible method to assess quantitative data on structure and disturbance. We show that frequency data does not perform better than presenceabsence data regarding correlation with other variables. We conclude that the hexagonal grid provides an efficient method to assess patterns of biodiversity.
biolenviprocria.114B.1.53|In situ measurements of nitrate (NO
biolenviprocria.116b.3.1|Effective management of aquatic ecosystems requires knowledge of baseline conditions and past variations in stressors and their effects in order to mitigate the impacts of future variability and change. This study utilizes combined monitoring, sedimentary and hindcast computer model data to reconstruct and examine the eutrophication history of a lake in southwest Ireland over a
23188044|Although there are some notable exceptions, introduced plant species tend not to receive the public and media attention that their animal counterparts do; however, the impacts they have on the environments they invade can be equally, and sometimes more, dramatic. This article presents a short overview of the main ecological and economic impacts that alien plants can have on invaded regions, with particular reference to Ireland. In terms of biological impacts, invasive alien plants may affect the ecology of native species, the composition of biological communities and, in turn, ecosystem processes. In addition, because human-mediated introduction of new species can remove geographic barriers, gene flow between formerly separated species can occur. This can potentially lead to the loss of native genotypes through hybridisation and introgression. However, the impacts of invasive alien plants on native biodiversity and ecosystems are difficult to assess, and are often species- and context-specific, making it almost impossible to make general statements. Economically, invasive alien plants can have impacts on the delivery of ecological goods and services, and can be costly in terms of management and control. Conservative estimates of the cost of invasive alien plants at the European scale run to several billion euro per year, but no assessment has been made specifically for Ireland. Although some invasive alien plants may be directly hazardous to human health, it is their indirect effect on native biodiversity and local economies that are likely to cause most harm to humans. Finally, this paper provides a summary of current and potential Irish invaders and discusses the problems associated with predicting which species will be the next invasive aliens.
42912436|The occurrence of microbial enteropathogens in the environment can represent a serious risk to human health. The fate of enteropathogens introduced into the soil environment is dependent on a wide range of complex interacting environmental factors. While the effect of abiotic factors on enteropathogen survival has been widely examined, the interaction of enteropathogens with the soil microbial community is poorly understood. This study investigated the effect of soil biology and soil type on the survival of a non-toxigenic strain of Escherichia coli O157 under different temperature regimes. Soil microcosms of two soil types, with and without an intact microbial community, were inoculated with the enteropathogen surrogate, and survival was determined over a 64-day period, encompassing a shift from cold to ambient temperatures. In both soil types bacterial numbers decreased in soil with an intact microflora, while in the absence of an intact community E. coli populations increased. This effect was temperature specific, with E. coli populations remaining stable at low temperature, regardless of treatment. Soil type was of importance in survival at both cold and ambient temperatures. This work highlights the significance of the soil microbial community in suppressing enteropathogens in soil, and of investigating die-off in a multi-factorial manner.
biolenviprocria.114B.3.219|Salmonid populations were sampled in 64 first- and second-order headwater streams throughout the Republic of Ireland in 2008. Streams were selected from neighbouring sub-catchments dominated either by moorland or conifer plantations, across two soil typespeat soil and mineral soil. A range of chemical variables were measured on three occasions over the year. Brown trout and Atlantic salmon populations were quantified on a single occasion for density and biomass in each stream. Data were analysed to test the null hypothesis that neither land use nor soil type had a significant impact on fish or chemical metrics in the streams. Streams draining afforested catchments had a significantly lower pH, pH and elevated TDOC, total phosphorus, total monomeric aluminium, ammonia and colour. Streams draining peat soil sub-catchments had significantly lower minimum pH and TON, and higher suspended solids, TDOC, ammonia, aluminium and colour. While density and biomass of brown trout were somewhat lower in afforested catchments, the difference was not significant. Densities and biomass of juvenile Atlantic salmon, however, were significantly lower in streams draining afforested catchments. Atlantic salmon also had a much lower threshold tolerance to deleterious forestry-mediated water chemistry than trout. Forestry-mediated acidification of streams apparently remains a severe threat to Atlantic salmon populations, despite the reduction of airborne sulphate pollutants, posing challenges to forest and fisheries managers.
biolenviprocria.114B.1.41|The mechanisms underlying biotic resistance against the establishment of invasive species in native macroalgal communities are still poorly understood. In the present study, the impact of epiphytes on growth and recruitment of
20694844|This paper compares the diversity and structure of the benthic diatom assemblages on boulder and cobble substrata and examines the influence of site and seasonal factors on diatom diversity in the River Deel, Co. Limerick. One hundred and ten diatom species were identified from the River Deel, with 85 species found on boulders over a two-year period and 102 species found on cobbles over a one-year period. There was little difference in the composition of the diatom community on boulders between sites. Some differences were noted between sites for cobbles, with a small number of species being more associated with certain sites than others. The absence of marked differences between the sites was attributed to the lack of longitudinal variation in the main channel of the River Deel. On both substrates, indicator species analysis showed that the abundance of most diatom species was not related to sampling date. On boulders, only fourteen species in 1999 and twenty-one species in 2000 had a significant association with any sampling date. Twelve cobble species had a significant association with a sampling date (principally May). There was little correspondence between significant indicator species on cobbles and boulders. The patterns of dominance of diatom species differed between the boulder and cobble substrates over the sampling period, and Detrended Correspondence Analysis (DCA) showed that diatom samples formed two distinct groupings based on substrate.
20500025|The grey seal breeding assemblies on the Inishkea Island Group and Blasket Islands in western Ireland were studied in 1995 and 1996. A census of pup production in each area provided data on the timing of breeding and site selection at these island groups in addition to birth and mortality parameters. An estimated 154 pups were born at the Inishkea Group in 1995 and 155 pups at the Blasket Islands in 1996-97. These figures correspond to minimum all-age population estimates of 539-693 and 543-697 animals, respectively. These minimum estimates are similar to those derived in previous work at these islands, suggesting little change in the breeding population size at these colonies since 1983. Observed mortality was approximately 7.8% at the Inishkea Group and 2.6% at the Blasket Islands, though the true mortality may have been higher. Changes in breeding site use since 1980-83 were observed at the Inishkea Group in 1995. These are thought to be a result of past human interference. More effective coverage of the breeding season and long-term monitoring of these sites would contribute more accurate estimates and facilitate the determination of population trends.
