41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941094|Argentina|D001118|295|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|80^9^0
41941094|*Manihot|D002365|182|MH|RtM via: Brazilian Arrowroot;RtM via: Manihot;Forced Leaf Node Lookup:manihots;checkForceMH Boosted|TI|MM|159^7^0;60^7^0
41941094|*Names|D009275|135|MH|RtM via: Name|TI|MM|202^5^0
43574277|Animals|D000818|21231|CT|Torpedo;CT Treecode Lookup: B01.050.150.900.493 (Torpedo)||MM;RC
43574277|*Germination|D018525|20231|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|626^11^0;556^9^0
43574277|*Ilex paraguariensis|D030019|9163|MH|RtM via: Yerba mate;Forced Leaf Node Lookup:ilex paraguariensis;checkForceMH Boosted|TI|MM;RC|46^19^0
43574277|*Fruit|D005638|8534|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|359^5^0
43574277|*Polygonum|D028502|5542|MH|RtM via: Polygonum;Forced Leaf Node Lookup:polygonums;checkForceMH Boosted|TI|MM|334^9^0
43574277|*Torpedo|D014101|2381|MH|RtM via: Torpedo;checkForceMH Boosted|TI|MM|458^7^0
43574277|*Seed|D012639|11043|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|531^4^0
43574277|*Pollen|D011058|5472|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|234^6^0
43574277|*Meiosis|D008540|3882|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM;RC|155^7^0
43574277|*Chromosome|D002875|1245|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|25^10^0
43574277|*Fertility|D005298|579|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|264^9^0
41941184|Koelreuteria|C000633687|2468|NM|RtM via: Koelreuteria elegans;Forced SCR Leaf Node Lookup:koelreuteria|TI|MM|21^20^0
41941184|*Trees|D014197|1294|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|130^4^0
41941184|Argentina|D001118|344|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|327^9^0
41941184|*Sapindaceae|D029631|2467|MH|RtM via: Koelreuteria elegans;RtM via: Sapindaceae;Forced Non-Leaf Node Lookup:sapindaceae|TI|MM;RC|21^20^0;91^11^0
41941184|*Plant|D010944|1887|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|266^5^0
41941184|*Chromosomes|D002875|465|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|342^17^0
41941379|Brazil|D001938|334|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|528^6^0;68^6^0
41941379|*Baccharis|D031175|185|MH|RtM via: Baccharis;RtM via: Baccharis neorupestris;Forced Leaf Node Lookup:baccharis;checkForceMH Boosted|TI|MM|867^9^0;497^9^0;402^9^0;40^9^0;710^22^0;254^22^0
41941379|*Environment|D004777|126|MH|RtM via: Para (geographic area)|TI|MM|829^4^0
41941379|*Names|D009275|63|MH|RtM via: Name;RtM via: Person Name|TI|MM|359^5^0
41941379|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|536^3^0;794^3^0
41941088|Humans|D006801|1894|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
41941088|*Indican|D007200|894|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|643^7^0
41941088|*Rosa|D027826|813|MH|RtM via: Rosa;Forced Leaf Node Lookup:rosa;checkForceMH Boosted|TI|MM|1034^4^0;455^4^0
41941088|*Asian Continental Ancestry Group|D044466|297|MH|RtM via: Asians|TI|MM|879^8^0;277^8^0
41941395|Humans|D006801|16830595|CT|Forced Humans: individuals|TI|MM;RC
41941395|*Ilex paraguariensis|D030019|1348269|MH|RtM via: Yerba mate;Forced Leaf Node Lookup:ilex paraguariensis;checkForceMH Boosted|TI|MM|2119^10^0;1372^10^0;1225^19^0;1212^10^0;1023^10^0;327^10^0;169^19^0;156^10^0
41941395|*Trees|D014197|1347834|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|217^5^0
41941395|Uruguay|D014583|674631|MH|RtM via: Uruguay;Forced Leaf Node Lookup:uruguay|TI|MM|1455^7^0;462^7^0;1538^7^0
41941395|*Aquifoliaceae|D029063|673887|MH|RtM via: Aquifoliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:aquifoliaceae|TI|MM|1246^13^0;202^13^0
41941395|*Hispanic Americans|D006630|1668|MH|RtM via: argentinian;RtM via: Uruguayan|TI|MM|969^11^0;992^9^0;370^9^0
41941395|*Writing|D014956|1488|MH|RtM via: Writing (occupation or discipline)|TI|MM|798^7^0
41941395|South America|D013020|1047|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|226^13^0
41941395|*Travel|D014195|549|MH|RtM via: travel|TI|MM|633^9^0
41941395|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1463^3^0
41941246|Brazil|D001938|3052|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|585^6^0;433^6^0;247^6^0
41941135|Animals|D000818|1929|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941135|*Cucurbitaceae|D019662|929|MH|RtM via: Cucurbitaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cucurbitaceae|TI|MM;RC|88^13^0
41941135|*Salmoniformes|D017858|150|MH|RtM via: Argentina sphyraena|TI|MM|129^9^0
41941135|*Teratology|D018600|57|MH|RtM via: Teratology|TI|MM;RC|65^13^0
41941433|Humans|D006801|34249|CT|American Natives;CT Treecode Lookup: M01.686 (American Natives)|TI|MM
41941433|*Phylogeny|D010802|33249|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships|TI|MM;RC|5727^26^0
41941433|*Arachis|D010367|19032|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM;RC|15055^7^0;14348^7^0;14328^7^0;12448^7^0;11111^7^0;9341^7^0;9111^7^0;8660^7^0;8431^7^0;8200^7^0;7812^7^0;6935^7^0;6303^7^0;6285^7^0;4477^7^0;3163^7^0;1535^7^0;1336^7^0;923^7^0;688^7^0;454^7^0;96^7^0
41941433|Brazil|D001938|18546|MH|RtM via: Brazil;RtM via: Tocantins;RtM via: Amazonas;Forced Leaf Node Lookup:brazil|TI|MM|14810^6^0;9270^6^0;6738^6^0;1468^6^0;14881^9^0;6787^9^0;9188^8^0;6803^6^0
41941433|*Seedlings|D036226|13701|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1004^8^0
41941433|*Fruit|D005638|13011|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|7604^5^0;7652^8^0;5304^8^0;1596^6^0
41941433|origen|C009784|12226|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|14265^6^0;13447^6^0
41941433|*Seed Dispersal|D058614|9882|MH|RtM via: Seed Dispersal;Forced Leaf Node Lookup:seed dispersals|TI|MM|5344^14^0
41941433|*Language|D007802|9087|MH|RtM via: figurative;RtM via: Languages;Forced Leaf Node Lookup:languages|TI|MM|2397^7^0;7164^9^0
41941433|*Hypocotyl|D018546|7470|MH|RtM via: Hypocotyl;Forced Leaf Node Lookup:hypocotyls|TI|MM|1640^10^0
41941433|Argentina|D001118|7251|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|14859^9^0;6770^9^0;1452^9^0
41941433|Paraguay|D010239|7221|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|14661^8^0;6579^8^0
41941433|*American Natives|D000086562|6078|MH|Forced New Lookup:native american|TI|MM|7148^15^0
41941433|Antigua and Barbuda|D000958|6078|MH|Forced Leaf Node Lookup:antigua|TI|MM|14046^7^0
41941433|*Hybridization, Genetic|D006824|12312|MH|RtM via: Crossbreeding|TI|MM;RC|1936^13^0
41941433|*Azocines|D001392|12225|HM|RtM via: origen|TI|MM|14265^6^0;13447^6^0
41941433|*Names|D009275|6462|MH|RtM via: Common Name;RtM via: Generic Name;RtM via: Name;RtM via: Person Name|TI|MM|7124^12^0;328^5^0
41941433|*Biological Evolution|D005075|6039|MH|RtM via: Biological Evolution|TI|MM|5710^12^0
41941433|*Clustering|D016000|2943|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|2628^10^0;2311^10^0
41941433|*Fertility|D005298|2910|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|3035^9^0
41941433|*Chromosome|D002875|2538|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|2936^10^0
41941433|*Reproduction|D012098|2331|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|7633^13^0;5278^12^0
41941433|*Plant Leaves|D018515|1575|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|7711^6^0
41941433|*Infertility|D007246|1536|MH|RtM via: Infertility;Forced Non-Leaf Node Lookup:infertility|TI|MM|5475^11^0;2256^13^0;2197^11^0;5570^11^0;5642^11^0
41941433|*Civilization|D002962|1245|MH|RtM via: Civilization;Forced Non-Leaf Node Lookup:civilizations|TI|MM|7248^12^0
41941433|*Systems, Reproductive|D005835|1065|ET|Entry Term Replacement for "Genitalia";RtM via: Genitalia;Forced Non-Leaf Node Lookup:reproductive systems|TI|MM|5247^20^0
41941433|*Pollen|D011058|975|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|2249^6^0
41941433|*Habit|D006184|387|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|5313^5^0;3101^5^0
41941433|Chromatography|D002845|1000|MH|Forced Non-Leaf Node Lookup:chromatographies||MM|2957^15^0
41941291|*Malvaceae|D019660|8696|MH|RtM via: Waltheria;RtM via: Guazuma;RtM via: Ayenia magna;RtM via: Melochia;RtM via: Byttneria;RtM via: Malvaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sterculiaceae|TI|MM|3704^9^0;1409^9^0;2536^7^0;318^7^0;2991^12^0;766^12^0;4470^8^0;3821^8^0;2574^8^0;2052^8^0;1433^8^0;354^8^0;2869^9^0;2562^9^0;649^9^0;340^9^0;4193^9^0;4146^13^0;3958^9^0;4056^13^0;3518^13^0;2256^13^0;1778^9^0;1754^13^0;1633^9^0;1230^13^0;3231^6^0;983^6^0;51^13^0
41941291|*Sterculia|D032361|6607|MH|RtM via: Sterculia (plant);Forced Leaf Node Lookup:sterculias;checkForceMH Boosted|TI|MM|2524^9^0;304^9^0
41941291|*Soils|D012987|3497|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|1081^5^0;516^5^0
41941291|*Sand|D000080463|3449|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|510^5^0
41941291|Argentina|D001118|2351|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|2450^9^0;235^9^0
41941291|Venezuela|D014687|2351|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM|3105^9^0;867^9^0
41941291|Paraguay|D010239|2333|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|3175^8^0;2275^8^0;942^8^0;75^8^0
41941291|Trinidad and Tobago|D014300|1586|MH|RtM via: Trinidad;Forced Leaf Node Lookup:trinidad|TI|MM|3081^8^0;842^8^0
41941291|*Forests|D065928|2544|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|448^7^0
41941291|*Habitats|D017753|2238|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|425^8^0
41941291|*Text Messaging|D060145|1599|MH|RtM via: Text Messages|TI|MM|1820^4^0
41941291|*Habit|D006184|1212|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|527^5^0
41941291|*Plant Leaves|D018515|876|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1493^6^0;1297^5^0
41941291|*Flowers|D035264|756|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|1244^7^0
41941291|*Attention|D001288|108|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|717^9^0
41941291|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2386^3^0;2821^3^0;3532^3^0;3615^3^0;3657^3^0;3736^3^0;4113^3^0
41945698|*Name|D009275|84|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|112^4^0
41945698|*Malvaceae|D019660|54|MH|RtM via: Wissadula|TI|MM|153^9^0;53^9^0
41941368|Argentina|D001118|532|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|640^9^0;110^9^0
41941368|*Durable Medical Equipment|D004389|1248|MH|RtM via: Oxygen supplies regulator|TI|MM|492^8^0
41941368|*Income|D007182|1041|MH|RtM via: Income|TI|MM|249^6^0
41941368|*Sale|D003132|957|ET|Entry Term Replacement for "Commerce";RtM via: Sales - occupational activity|TI|MM|209^4^0
41941368|*Forest|D065928|402|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|306^6^0
41941251|Brazil|D001938|5385|MH|RtM via: Minas Gerais;RtM via: Brazil|TI|MM;RC|330^12^0;73^12^0;322^6^0;65^6^0
41941251|*Malvaceae|D019660|633|MH|RtM via: Ayenia|TI|MM|392^6^0;276^6^0;145^6^0;21^6^0
41941251|*Photomicrography|D010784|351|MH|RtM via: Photomicrography|TI|MM|171^16^0
41941251|*Hairs|D006197|213|ET|Entry Term Replacement for "Hair";RtM via: Hair|TI|MM|250^5^0
41941251|*Plant Leaves|D018515|138|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|215^4^0
41941251|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|661^3^0
41941317|*Malvaceae|D019660|19499|MH|RtM via: Malvaceae;RtM via: Abutilon;RtM via: Gaya;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvaceae|TI|MM;RC|242^9^0;40^9^0;253^8^0;65^8^0;275^4^0;87^4^0
41941317|*Hibiscus|D031584|9112|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM;RC|350^8^0;168^8^0
41941317|Bolivia|D001838|1934|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|376^7^0;196^7^0
41941317|*Sida Plant|D000076248|3441|MH|RtM via: Sida <angiosperm>|TI|MM|293^4^0;105^4^0
41941317|*Flower Essences|D065829|1035|MH|RtM via: Hibiscus, Flower essence|TI|MM|350^8^0;168^8^0
41941317|Brazil|D001938|618|MH|RtM via: Brazil|TI|MM;RC|341^6^0;157^6^0
41945696|Argentina|D001118|1202|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|504^9^0;436^9^0;264^9^0;175^9^0
41945696|Bolivia|D001838|1157|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|377^7^0;110^7^0
41945696|*Malvaceae|D019660|192|MH|RtM via: Acaulimalva;RtM via: Gaya|TI|MM|308^11^0;40^11^0;460^4^0;369^4^0;214^4^0;100^4^0
41945696|*Environment|D004777|111|MH|RtM via: Para (geographic area)|TI|MM|499^4^0
41941334|*Cactaceae|D029421|1823|MH|RtM via: Cactaceae;RtM via: Pereskioideae;RtM via: Maihuenioideae;RtM via: Maihuenia;RtM via: Pereskia aculeata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactaceae|TI|MM|1297^9^0;120^9^0;1503^13^0;1282^13^0;428^13^0;105^13^0;1412^14^0;1265^14^0;322^14^0;86^14^0;1773^9^0;1542^9^0;1309^9^0;1179^9^0;719^9^0;480^9^0;188^9^0;1429^17^0;1810^8^0;1609^8^0;1216^8^0;755^8^0;544^8^0;342^8^0
41941334|*Rosa|D027826|667|MH|RtM via: Rosa;Forced Leaf Node Lookup:rose;checkForceMH Boosted|TI|MM|1347^4^0;255^4^0
41941334|variacin|C099477|656|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|1675^8^0
41941334|*Phosmet|D010706|553|MH|RtM via: Prolate;Forced Leaf Node Lookup:prolate;checkForceMH Boosted|TI|MM|494^7^0
41941334|Argentina|D001118|275|MH|Forced Leaf Node Lookup:argentina|TI|MM|1153^9^0
41941334|*Bacteriocins|D001430|655|HM|RtM via: variacin|TI|MM|1675^8^0
41941334|*Culture Media|D003470|609|MH|RtM via: Culture Media|TI|MM|517^6^0
41941334|*Plant Structures|D018514|576|MH|RtM via: Grains|TI|MM|744^6^0
41941334|*Microscopy|D008853|411|MH|RtM via: Microscopes|TI|MM|175^11^0
41941334|*Pollen Grains|D011058|291|ET|Entry Term Replacement for "Pollen";RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|456^13^0;21^13^0
41941334|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1552^3^0;1618^3^0;1721^3^0
41941096|Male|D008297|1657|CT|CT Text Lookup: he|TI|MM;RC|699^2^0
41941096|Argentina|D001118|657|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|467^9^0;115^9^0
41941096|*Biological Phenomena|D001686|558|MH|RtM via: Tissue Growth|TI|MM|666^4^0
41941096|*Research|D012106|501|MH|RtM via: Study|TI|MM|631^7^0
41941096|*Immunoenzyme Techniques|D007124|210|MH|RtM via: Enzyme-Linked Lectin Assay|TI|MM|273^5^0
41941096|*Environment|D004777|195|MH|RtM via: Para (geographic area)|TI|MM|602^4^0;453^4^0
41941096|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|342^3^0
41945699|Humans|D006801|50269645|CT|Forced Humans: women;Forced Humans: men|TI|MM;RC
41945699|Male|D008297|50269645|CT|CT Text Lookup: men|TI|MM;RC|209^3^0
41945699|Female|D005260|50269645|CT|CT Text Lookup: women|TI|MM;RC|217^5^0
41945699|*Plants, Medicinal|D010946|2011970|MH|RtM via: Plants, Medicinal;Forced Leaf Node Lookup:medicinal plants|TI|MM|66^16^0
41945699|*Farmers|D000067565|2011475|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|97^7^0
41945699|*Ethnobotany|D019448|4386|MH|RtM via: Ethnobotany|TI|MM|38^14^0
41945699|*Abstracting and Indexing|D000043|195|MH|RtM via: Index|TI|MM|554^5^0
41945699|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|940^3^0;1081^3^0;1145^3^0
41941399|Humans|D006801|40784353|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|340^5^0
41941399|xylometazoline|C009695|3023773|NM|RtM via: Snup;Forced SCR Leaf Node Lookup:stas|TI|MM|2110^4^0
41941399|*Poa|D031785|3023640|MH|Forced Leaf Node Lookup:poas;checkForceMH Boosted|TI|MM|1610^4^0;1753^4^0;1816^4^0;1867^4^0;1960^4^0;2052^4^0;2687^4^0
41941399|*Edible Plants|D010945|1513752|ET|Entry Term Replacement for "Plants, Edible";RtM via: Plants, Edible;checkForceMH Boosted;Forced Non-Leaf Node Lookup:edible plants|TI|MM|402^11^0;86^13^0
41941399|*Droughts|D055864|1513368|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|609^7^0
41941399|*Imidazoles|D007093|3023772|HM|RtM via: Snup|TI|MM|2110^4^0
41941399|*Adaptation, Physiological|D000222|17238|MH|RtM via: Adaptation|TI|MM|581^11^0
41941399|*Ethnobotany|D019448|2235|MH|RtM via: Ethnobotany|TI|MM|1060^14^0
41941399|*Food|D005502|1515|MH|RtM via: Food|TI|MM|1181^10^0
41941277|Brazil|D001938|3969|MH|RtM via: Bahia (organism);Forced Leaf Node Lookup:bahia|TI|MM;RC|1996^5^0;768^5^0
41941277|*Plant Nectar|D057048|2613|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM|111^6^0
41941277|*Turnera|D029647|1272|MH|RtM via: Turnera (plant);Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM|2113^7^0;1610^7^0;1382^7^0;1336^7^0;1174^7^0;868^7^0;424^7^0;225^7^0;172^7^0;21^7^0
41941277|*Inflorescence|D056626|954|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|333^14^0;459^14^0
41941277|*Cytogenetics|D003582|939|MH|RtM via: Cytogenetics|TI|MM|290^12^0
41941277|*Cytogenetic Analysis|D020732|594|MH|RtM via: Cytogenetic Analysis;Forced Non-Leaf Node Lookup:cytogenetics|TI|MM|290^12^0
41941277|*Flower|D035264|540|ET|Entry Term Replacement for "Flowers";RtM via: Flowers|TI|MM|438^8^0
41941277|*Behavior Therapy|D001521|222|MH|RtM via: System Support Mapping|TI|MM|1146^4^0
41941277|*Forests|D065928|96|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|576^7^0
41941277|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2286^3^0;2303^3^0
41941261|*Hibiscus|D031584|164|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM|77^8^0
41941261|*Flower Essences|D065829|165|MH|RtM via: Hibiscus, Flower essence|TI|MM|77^8^0
41941261|*Environment|D004777|135|MH|RtM via: Para (geographic area)|TI|MM|225^4^0
41941261|*Chromosome|D002875|18|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|27^10^0
41941154|*Lichens|D008011|9814|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|37^7^0
41941154|Argentina|D001118|5510|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|330^9^0
41941154|Bolivia|D001838|4559|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|452^7^0
41941154|Paraguay|D010239|4553|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM;RC|480^8^0
41941154|*Ascomycota|D001203|1467|MH|RtM via: Mazosia;RtM via: Lopadium;RtM via: Sporopodium|TI|MM|69^7^0;385^8^0;341^11^0
41941154|*Pruritus|D011537|744|MH|RtM via: Lichen disease|TI|MM|37^7^0
41941154|*Eczema|D004485|585|MH|RtM via: Lichen disease|TI|MM|37^7^0
41941154|*Keratosis|D007642|423|MH|RtM via: Lichen disease|TI|MM|37^7^0
41941315|Humans|D006801|1736|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941315|Argentina|D001118|736|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|284^9^0
41941315|*Hispanic Americans|D006630|354|MH|RtM via: argentinian|TI|MM|93^11^0
41941315|*Environment|D004777|204|MH|RtM via: Para (geographic area)|TI|MM|351^4^0;270^4^0
41941393|Bees|D001516|5285|CT|RtM via: Tetragonisca fiebrigi;RtM via: Apis mellifera;RtM via: Bees;Forced Leaf Node Lookup:apis;Forced Leaf Node Lookup:bees|TI|MM|1941^21^0;1042^21^0;765^21^0;1968^14^0;1068^14^0;791^14^0;352^3^0;295^4^0;167^3^0;38^4^0
41941393|Animals|D000818|5285|CT|RtM via: Apis mellifera;RtM via: Bees;CT Text Lookup: animal;Forced Non-Leaf Node Lookup:animals|TI|MM;RC|1968^14^0;1068^14^0;791^14^0;352^3^0;295^4^0;167^3^0;38^4^0;585^6^0;1815^6^0
41941393|*Honey|D006722|4285|MH|RtM via: Honey;Forced Leaf Node Lookup:honeys|TI|MM|1083^6^0;887^6^0;746^6^0;459^6^0;363^5^0;203^5^0
41941393|*Functional Food|D055951|2264|MH|RtM via: Functional Food;Forced Leaf Node Lookup:functional foods|TI|MM|441^16^0
41941393|xylometazoline|C009695|1517|NM|RtM via: Snup;Forced SCR Leaf Node Lookup:stas|TI|MM|2037^4^0
41941393|Argentina|D001118|1493|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|120^9^0
41941393|origen|C009784|1475|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|1808^6^0
41941393|*Consensus|D032921|890|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|630^9^0
41941393|*Imidazoles|D007093|1516|HM|RtM via: Snup|TI|MM|2037^4^0
41941393|*Azocines|D001392|1474|HM|RtM via: origen|TI|MM|1808^6^0
41941393|*Research|D012106|747|MH|RtM via: Study|TI|MM|135^7^0
