43739795|Humans|D006801|43327867|CT|Forced Humans: people|TI|MM;RC
24310672|*Forestry|D016468|9458844|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1038^8^0;584^8^0;382^8^0;294^8^0;86^8^0;489^8^0;1100^8^0
24310672|Nepal|D009390|9457809|MH|RtM via: Nepal;Forced Leaf Node Lookup:nepal|TI|MM|3803^5^0;751^5^0
24310672|*Developing Countries|D003906|9456870|MH|Forced Leaf Node Lookup:developing countries|TI|MM|149^20^0
24310672|*Men|D008571|21987126|MH|RtM via: Male population group|TI|MM|444^5^0
24310672|*Data Management|D000079803|10057371|MH|RtM via: Databases|TI|MM|236^8^0
24310672|*Forests|D065928|531|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|835^6^0;539^6^0;138^7^0
24310672|Perception|D010465|1000|MH|Forced Non-Leaf Node Lookup:perception||MM|1084^10^0
24310672|India|D007194|5085|MH|RtM via: India|TI|MM|3795^5^0;741^5^0
24310672|Asia|D001208|3075|MH|RtM via: Southern Asia;RtM via: Asia|TI|MM|887^10^0;626^10^0;3994^4^0;3582^4^0
24310672|Africa|D000349|609|MH|RtM via: Africa|TI|MM|666^6^0
43739454|Animals|D000818|4064|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)|TI|MM
43739454|*Forestry|D016468|3064|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1622^8^0;1244^8^0;77^8^0
43739454|*Farms|D000072480|1570|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farmlands|TI|MM|447^9^0
43739454|Nepal|D009390|1432|MH|RtM via: Nepal;Forced Leaf Node Lookup:nepal|TI|MM|5522^5^0;4077^5^0;3838^5^0;307^5^0;102^5^0
43739454|*Conservation of Natural Resources|D003247|1165|MH|Forced Leaf Node Lookup:deforestation|TI|MM|740^13^0
43739454|*Lepidoptera|D007915|2202|MH|RtM via: Problema|TI|MM|4788^8^0
43739454|*Government|D006076|1974|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|1717^10^0;849^10^0;392^10^0
43739454|*Proctectomy|D000078542|1698|MH|RtM via: Abdominoperineal resection|TI|MM|2313^4^0
43739454|*Policy|D057766|1554|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policies|TI|MM|1405^6^0;1195^8^0;265^6^0;64^8^0;556^6^0
43739454|*Forests|D065928|573|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forestlands;Forced Non-Leaf Node Lookup:forests|TI|MM|1710^6^0;1443^7^0;1119^6^0;1054^6^0;758^6^0;672^6^0;528^7^0;432^11^0;57^6^0;620^7^0;1559^7^0;170^6^0;1188^6^0
43739454|Asia|D001208|267|MH|RtM via: Asian country|TI|MM|328^15^0
24310664|Humans|D006801|204343|CT|Child Care;CT Treecode Lookup: N02.421.088 (Child Care);CT Text Lookup: child;CT Text Lookup: women|TI|MM;RC|1415^5^0;247^5^0
24310664|Female|D005260|204343|CT|CT Text Lookup: women|TI|MM;RC|247^5^0
24310664|Child|D002648|204343|CT|CT Text Lookup: child|TI|MM|1415^5^0
24310664|*Frankincense|D065260|95625|MH|RtM via: Frankincense;Forced Leaf Node Lookup:frankincense;Forced Leaf Node Lookup:olibanum;checkForceMH Boosted|TI|MM|124^12^0;114^8^0
24310664|*Gum Arabic|D006170|60895|MH|RtM via: Gum Arabic;Forced Leaf Node Lookup:arabic, gum;checkForceMH Boosted|TI|MM|98^10^0;102^11^0
24310664|*Lactobacillus rhamnosus|D052201|60112|MH|Forced Leaf Node Lookup:culturelle;checkForceMH Boosted|TI|MM|2514^10^0
24310664|*Child Care|D002654|32261|MH|RtM via: Child Care;Forced Leaf Node Lookup:child care|TI|MM|1415^10^0
24310664|*Informal Sector|D000070100|31901|MH|RtM via: Informal Sector;Forced Leaf Node Lookup:informal sector|TI|MM|3384^6^1;3401^8^1;506^15^0
24310664|*Negotiating|D017008|31364|MH|RtM via: Mediation;Forced Leaf Node Lookup:negotiating|TI|MM|1212^11^0
24310664|*Honey|D006722|31166|MH|RtM via: Honey;Forced Leaf Node Lookup:honey|TI|MM|142^5^0
24310664|*Gender Role|D000085402|31052|MH|RtM via: Woman's Role;Forced New Lookup:women's role|TI|MM|625^13^0
24310664|*Conscience|D003242|30287|MH|RtM via: Conscience;Forced Leaf Node Lookup:consciences|TI|MM|2853^10^0
24310664|Ethiopia|D005002|30059|MH|RtM via: Ethiopia;Forced Leaf Node Lookup:ethiopia|TI|MM|167^8^0
24310664|Burkina Faso|D002050|30056|MH|RtM via: Burkina Faso;Forced Leaf Node Lookup:burkina faso|TI|MM|3077^12^0;1655^12^0;153^12^0
24310664|Zambia|D015024|30056|MH|RtM via: Zambia;Forced Leaf Node Lookup:zambia|TI|MM|3100^6^0;180^6^0
24310664|*Cyclophosphamide|D003520|203343|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM;RC|2100^4^0
24310664|Red-Cell Aplasia, Pure|D012010|90471|MH|||RC
24310664|*Forest|D065928|237|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|77^6^0
24310664|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3854^3^0
43740333|*Forestry|D016468|4799|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|479^8^0
43740333|*Trees|D014197|4701|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|862^4^0;705^5^0
43740333|*Federal Government|D035082|2312|MH|RtM via: Federal Government;Forced Leaf Node Lookup:national government|TI|MM|644^19^0
43740333|*Wood|D014934|1808|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|756^4^0;274^4^0;120^4^0
43740333|*Farms|D000072480|1439|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farmlands|TI|MM|227^9^0
43740333|*Forests|D065928|2325|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|851^6^0;617^6^0;415^6^0;61^7^0;204^7^0
43740333|*Industries|D007221|1650|ET|Entry Term Replacement for "Industry";RtM via: Industry|TI|MM|1997^10^0;1706^10^0;767^10^0;680^10^0;139^10^0
43740333|*Commerce|D003132|1140|MH|RtM via: Manufacture|TI|MM|1177^11^0;312^13^0
43740333|*Biological Phenomena|D001686|972|MH|RtM via: Tissue Growth|TI|MM|746^6^0
43740333|Employment|D004651|1000|MH|Forced Non-Leaf Node Lookup:employment||MM|782^10^0
43740180|*Economic Development|D057217|882|MH|Forced Leaf Node Lookup:economic development|TI|MM|647^20^0
43740180|*Resource, Natural|D000067936|2982|ET|Entry Term Replacement for "Natural Resources";RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|721^16^0
43740180|*Commerce|D003132|2571|MH|RtM via: Sales - occupational activity;RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|297^4^0;1352^8^0
43740180|*Packaging|D019064|2013|ET|Entry Term Replacement for "Product Packaging";RtM via: Packaging|TI|MM|925^9^0
43740180|*Technology|D013672|1530|MH|RtM via: Technology;Forced Non-Leaf Node Lookup:technology|TI|MM|896^10^0
43740180|*Forest|D065928|459|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1365^5^0;1087^5^0;671^6^0;540^5^0;247^5^0;30^6^0;100^6^0
43739807|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
43739807|*Poverty|D011203|5545|MH|RtM via: Poverty;RtM via: Low income;Forced Leaf Node Lookup:poverty|TI|MM|951^12^0;90^7^0
43739807|*Forestry|D016468|3802|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|77^8^0
43739807|*Farmers|D000067565|1828|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|964^7^0;488^7^0;400^7^0
43739807|*Tourism|D000085926|1147|MH|RtM via: Tourism;Forced New Lookup:tourism|TI|MM|770^7^0
43739807|China|D002681|3162|MH|RtM via: China;Forced Non-Leaf Node Lookup:china|TI|MM;RC|2637^5^0;264^5^0
43739807|*Income|D007182|2733|MH|RtM via: Income|TI|MM|849^6^0
43739807|*Households|D005191|2346|ET|Entry Term Replacement for "Family Characteristics";RtM via: Households|TI|MM|332^10^0
43739807|*Rural Development|D012939|1608|ET|Entry Term Replacement for "Social Planning";RtM via: Rural Development;Forced Non-Leaf Node Lookup:rural developments|TI|MM|132^17^0
43739807|*Forests|D065928|645|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|884^6^0;609^6^0;671^6^0;535^6^0;367^6^0;241^6^0;111^7^0
43739807|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3254^3^0
43740253|Humans|D006801|48349028|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|199^5^0
43740253|*Economic Development|D057217|1793243|MH|RtM via: Economic Growth;Forced Leaf Node Lookup:economic growth|TI|MM|485^15^0
43740253|*Conscience|D003242|1791875|MH|RtM via: Conscience;Forced Leaf Node Lookup:consciences|TI|MM|1479^10^0
43740253|*Forestry|D016468|1791830|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|39^8^0
43740253|*Democracy|D003709|1791518|MH|Forced Leaf Node Lookup:democracies|TI|MM|566^11^0
43740253|*Poverty|D011203|1791518|MH|Forced Leaf Node Lookup:poverty|TI|MM|131^7^0
43740253|*Rural Development|D012939|1845|ET|Entry Term Replacement for "Social Planning";RtM via: Rural Development;Forced Non-Leaf Node Lookup:rural developments|TI|MM|73^17^0
43740253|*Natural Resources|D000067936|1833|MH|RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|464^17^0;801^16^0
43740253|*Governments|D006076|1077|ET|Entry Term Replacement for "Government";RtM via: Government|TI|MM|587^10^0
43740253|*Technology|D013672|993|MH|RtM via: Technology;Forced Non-Leaf Node Lookup:technology|TI|MM|881^10^0
43740253|Africa|D000349|96|MH|RtM via: Africa|TI|MM|161^6^0
43739822|*Local Government|D009111|1593|MH|RtM via: Local Government;Forced Leaf Node Lookup:local government|TI|MM|549^17^0;701^16^0;823^16^0;913^16^0;980^16^0
43739822|*Conservation of Natural Resources|D003247|411|MH|Forced Leaf Node Lookup:deforestation|TI|MM|289^13^0;59^60^0;121^4^0;497^4^0;592^4^0;854^4^0;1008^4^0;1083^4^0;1218^4^0;1605^4^0;1706^4^0;2011^4^0;2202^4^0;2321^4^0;2444^4^0;2885^4^0;3001^4^0;3318^4^0;3510^4^0;3653^4^0
43739822|*Federal Government|D035082|1245|MH|RtM via: Federal Government|TI|MM|609^18^0
43739822|*Zona|D006562|798|ET|Entry Term Replacement for "Herpes Zoster";RtM via: Herpes zoster disease|TI|MM|3521^4^0
43739822|*Surveys and Questionnaires|D011795|630|MH|RtM via: PANEL.SURVEY.SEEK|TI|MM|788^5^0
43739822|*Forest|D065928|114|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|453^6^0;384^6^0;101^6^0
43739822|Politics|D011057|1000|MH|Forced Non-Leaf Node Lookup:decentralization||MM|338^16^0
43739822|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2575^3^0;3006^3^0
43740163|Humans|D006801|1000|CT|Forced Humans:D Educational Personnel||MM
43740163|*Plague|D010930|1735|MH|RtM via: Plague;Forced Leaf Node Lookup:plague|TI|MM|295^6^0
43740163|*Actins|D000199|1670|MH|RtM via: Actins;Forced Leaf Node Lookup:actins;checkForceMH Boosted|TI|MM|5160^5^0
43740163|*Governments|D006076|1761|ET|Entry Term Replacement for "Government";RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|940^11^0
43740163|*Natural Resources|D000067936|1611|MH|RtM via: Natural Resources|TI|MM|724^7^1;739^9^1
43740163|*Organizations|D009938|1530|MH|RtM via: Organization administrative structures|TI|MM|987^13^0
43740163|*Educational Personnel|D000071195|1497|MH|RtM via: Teaching principal|TI|MM|3911^9^0;3389^9^0
43740163|*Commerce|D003132|813|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|2565^8^0
43740163|*Forests|D065928|141|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|732^6^0;516^6^0;428^7^0;145^6^0
43740163|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|4490^3^0
43740163|China|D002681|1194|MH|RtM via: China|TI|MM|4916^5^0;4285^5^0;3723^5^0;3369^5^0;3268^6^0;889^5^0;123^5^0
43740163|Asia|D001208|915|MH|RtM via: Asia|TI|MM|650^4^0;98^4^0
43740163|*Longitudinal Studies|D008137|342|MH|RtM via: Continuous|TI|MM|2267^12^0;845^12^0
43740163|Russia|D012426|285|MH|RtM via: Russia|TI|MM|630^6^0
43740312|*Trees|D014197|3747|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|456^4^0
43740312|*Ecosystem|D017753|2628|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|1117^9^0
43740312|*Altitude|D000531|2325|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|1657^8^0;561^8^0;409^8^0;103^8^0;1290^8^0;1624^8^0;1787^8^0
43740312|*Conscience|D003242|945|MH|RtM via: Conscience;Forced Leaf Node Lookup:consciences|TI|MM|2204^10^0
43740312|*Tourism|D000085926|720|MH|RtM via: Tourism;Forced New Lookup:tourism|TI|MM|1187^7^0
43740312|Turkey|D014421|720|MH|RtM via: Country of Turkey;RtM via: Turkish population;Forced Leaf Node Lookup:turkey|TI|MM|232^6^0;167^6^0;617^7^0;302^7^0
43740312|*Forest|D065928|2607|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|782^6^0;664^6^0;81^6^0;686^6^0;713^6^0;908^6^0
43740312|*City Planning|D002958|1485|MH|RtM via: zoning|TI|MM|939^8^0
43740312|*Cyclophosphamide|D003520|576|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2054^4^0
43740312|Conservation of Natural Resources|D003247|1000|MH|Forced Non-Leaf Node Lookup:nature conservation||MM|1092^19^0
24310471|*Private Sector|D017149|45188|MH|RtM via: Private Sector;Forced Leaf Node Lookup:private sector|TI|MM|738^14^0
24310471|Cameroon|D002163|44561|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|373^8^0
24310471|Gabon|D005681|44207|MH|RtM via: Gabon;Forced Leaf Node Lookup:gabon|TI|MM|2632^5^0;1072^5^0
24310471|Congo|D003223|44201|MH|RtM via: Congo;Forced Leaf Node Lookup:congo|TI|MM|4221^5^0;2644^5^0;1062^5^0
24310471|*Intention|D033182|43943|MH|RtM via: Intention - mental process;Forced Leaf Node Lookup:intentions|TI|MM|2591^9^0;1019^9^0
24310471|*Vacuum|D014618|43778|MH|RtM via: Vacuum (physical force);Forced Leaf Node Lookup:vacuums|TI|MM|1174^6^0
24310471|*Economic Recession|D057172|43118|MH|Forced Leaf Node Lookup:economic crisis|TI|MM|35^15^0
24310471|Nevus, Blue|D018329|807050|MH|||RC
24310471|Gastrointestinal Neoplasms|D005770|73932|MH|||RC
24310471|Skin Neoplasms|D012878|36626|MH|Neoplasm Coordination Rule: Nevus, Blue||MM;RC
24310471|*Governments|D006076|1992|ET|Entry Term Replacement for "Government";RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|718^11^0
24310471|*Forests|D065928|147|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|802^7^0
24310471|Conservation of Natural Resources|D003247|1000|MH|Forced Non-Leaf Node Lookup:redd||MM|871^4^0;2409^4^0;3933^4^0
24310667|Humans|D006801|95777266|CT|Forced Humans: women|TI|MM;RC
24310667|Female|D005260|95777266|CT|CT Text Lookup: women;CT Text Lookup: women's right|TI|MM;RC|361^5^0;1687^14^0
24310667|Male|D008297|95777266|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|1221^4^0
24310667|*Women's Rights|D014933|3891612|MH|RtM via: Women's Rights;Forced Leaf Node Lookup:women's rights|TI|MM|1687^14^0
24310667|*Local Government|D009111|3885450|MH|RtM via: Local Government;Forced Leaf Node Lookup:local government|TI|MM|1249^16^0;1119^17^0;168^16^0
24310667|*Forestry|D016468|3885333|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|112^8^0
24310667|*Government Employees|D000071296|3884577|MH|RtM via: Government Officials;Forced Leaf Node Lookup:government officials|TI|MM|2005^20^0
24310667|*Ownership|D010067|3884325|MH|RtM via: Ownership;Forced Leaf Node Lookup:ownership|TI|MM|2084^9^0;633^9^0
24310667|*Gender Equity|D000084803|3882591|MH|RtM via: Gender Equity;Forced New Lookup:gender equity|TI|MM|1669^13^0;676^13^0
24310667|Senegal|D012675|3882588|MH|RtM via: Senegal;Forced Leaf Node Lookup:senegal|TI|MM|4856^7^0;140^7^0
24310667|Tuberculin Test|D014374|384540|MH|||RC
24310667|Interferon-gamma Release Tests|D059425|280708|MH|||RC
24310667|*Policy Analysis|D011050|6144|ET|Entry Term Replacement for "Policy Making";RtM via: Policy Analysis;Forced Non-Leaf Node Lookup:policy analysis|TI|MM|484^15^0
24310667|*Politics|D011057|2787|MH|RtM via: political party;Forced Non-Leaf Node Lookup:decentralization|TI|MM|1077^17^0;287^16^0;551^16^0
24310667|*Policy|D057766|2505|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policies;Forced Non-Leaf Node Lookup:policy|TI|MM|1829^8^0;1458^8^0;1403^6^0;968^6^0;785^8^0;130^6^0
24310667|*Accountability|D012941|1602|ET|Entry Term Replacement for "Social Responsibility";RtM via: Accountability;Forced Non-Leaf Node Lookup:accountability|TI|MM|1931^14^0;2026^11^0;923^14^0;617^14^0
24310667|*Forest|D065928|666|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1804^6^0;1442^6^0;1373^6^0;952^6^0;760^6^0;730^6^0;1162^6^0;1620^6^0;2113^6^0
24310667|Decision Making|D003657|1000|MH|Forced Non-Leaf Node Lookup:decision making||MM|1586^15^0
24310667|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|6309^3^0
43739638|Humans|D006801|15493558|CT|Forced Humans: people|TI|MM;RC
43739638|*Forestry|D016468|621820|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1051^8^0;785^8^0
43739638|Philippines|D010679|620593|MH|RtM via: Philippines;Forced Leaf Node Lookup:philippines|TI|MM|1188^11^0;142^11^0
43739638|Antigua and Barbuda|D000958|620110|MH|Forced Leaf Node Lookup:antigua|TI|MM|2435^7^0
43739638|*Goals|D006040|620110|MH|Forced Leaf Node Lookup:goals|TI|MM|582^5^0
43739638|*Organizations|D009938|714|MH|RtM via: Corporation|TI|MM|338^9^0
43739638|*Policy|D057766|714|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|661^6^0;248^6^0;71^6^0
43739638|*Orientation, Spatial|D000072458|642|MH|RtM via: Orientation (spatial)|TI|MM|475^8^0
43739638|Asia|D001208|552|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM|2447^4^0;218^4^0
43739638|*Forest|D065928|438|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1848^4^0;1703^4^0;1334^4^0;1173^4^0;975^6^0;701^4^0;617^6^0;356^6^0;263^4^0;110^6^0;498^6^0
43739638|Perception|D010465|1000|MH|Forced Non-Leaf Node Lookup:perception||MM|1831^10^0
24309832|Female|D005260|136889|CT|Forced Lookup:female|TI|MM|780^6^0
24309832|*Indican|D007200|45063|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|3000^7^0
24309832|Nepal|D009390|22095|MH|RtM via: Nepal;Forced Leaf Node Lookup:nepal|TI|MM|2438^5^0;40^5^0
24309832|Rhizobium|D012231|135889|MH|||RC
24309832|Root Nodules, Plant|D053204|84185|MH|||RC
24309832|*Forests|D065928|1707|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|969^6^0;618^7^0;193^6^0;21^6^0;66^6^0;107^6^0;279^6^0
24309832|*Regression Analysis|D012044|1344|MH|RtM via: Regression Analysis;Forced Non-Leaf Node Lookup:regression analysis|TI|MM|337^19^0
24309832|*Policies|D057766|213|ET|Entry Term Replacement for "Policy";RtM via: Policy;Forced Non-Leaf Node Lookup:policies|TI|MM|28^8^0
24310611|*Trees|D014197|155182|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|37^5^0
24310611|Vanuatu|D009514|77333|MH|RtM via: Vanuatu;Forced Leaf Node Lookup:vanuatu|TI|MM|2559^7^0;2316^7^0;1327^7^0;1111^7^0;229^7^0;66^7^0
24310611|DNA Breaks, Double-Stranded|D053903|267426|MH|||RC
24310611|DNA Replication|D004261|263148|MH|||RC
24310611|*Attitudes|D001290|510|ET|Entry Term Replacement for "Attitude";RtM via: Attitude;Forced Non-Leaf Node Lookup:attitudes|TI|MM|594^9^0
24310611|*Marketing|D040541|231|MH|RtM via: Marketing;Forced Non-Leaf Node Lookup:marketing|TI|MM|2247^9^0;1010^9^0
24310611|*Islands|D062312|906|MH|RtM via: Islands|TI|MM|767^6^0;565^6^0
43739886|Humans|D006801|28382941|CT|Forced Humans: participants;Forced Lookup:participant;checkForceMH Boosted|TI|MM;RC|623^11^0;852^11^0;2123^11^0;2418^11^0
43739886|*Social Justice|D012935|2107329|MH|RtM via: Social Justice;RtM via: Justice;Forced Leaf Node Lookup:social justice;Forced Leaf Node Lookup:justice|TI|MM|766^14^0;2313^7^0
43739886|*Justicia|D027902|2104476|MH|RtM via: Justicia;Forced Leaf Node Lookup:justicia;checkForceMH Boosted|TI|MM|4103^8^0
43739886|*Economic Status|D000078022|1053789|MH|RtM via: Economic Status;Forced Leaf Node Lookup:economic status|TI|MM|835^15^0
43739886|Mexico|D008800|1053027|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|2012^6^0;523^6^0
43739886|Bolivia|D001838|1052238|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|3802^7^0;534^7^0
43739886|*Commerce|D003132|2973|MH|RtM via: Sales - occupational activity;RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|1164^4^0;1025^4^0;1474^8^0
43739886|*Rural Development|D012939|2565|ET|Entry Term Replacement for "Social Planning";RtM via: Rural Development;Forced Non-Leaf Node Lookup:rural developments|TI|MM|117^17^0
43739886|*Socioeconomic Factors|D012959|2394|MH|RtM via: Economic Status|TI|MM|835^15^0
43739886|*Marketing|D040541|2346|MH|RtM via: Marketing;Forced Non-Leaf Node Lookup:marketing|TI|MM|4516^9^0;4348^9^0;1011^9^0;1150^9^0
43739886|*Forest|D065928|201|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|50^6^0
42610112|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
42610112|*Farmers|D000067565|1052|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|430^7^0
42610112|*Interpersonal Relations|D007398|2025|MH|RtM via: Rapport|TI|MM|888^7^0
42610112|*Household|D005191|1995|ET|Entry Term Replacement for "Family Characteristics";RtM via: Households|TI|MM|92^9^0
42610112|India|D007194|1563|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM;RC|1662^5^0;166^5^0
42610112|*Health Facilities|D006268|831|MH|RtM via: Health care facility|TI|MM|663^13^0;290^13^0
42610112|*Fodder|D000821|447|ET|Entry Term Replacement for "Animal Feed";RtM via: Fodder;Forced Non-Leaf Node Lookup:fodders|TI|MM|204^6^0
42610112|*Forest|D065928|87|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|256^6^0;331^6^0
42610112|Perception|D010465|1000|MH|Forced Non-Leaf Node Lookup:perception||MM|229^10^0;986^10^0
42609341|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
42609341|*Trees|D014197|2685|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|809^4^0;748^4^0;522^5^0;363^14^0;372^5^0
42609341|*Poverty|D011203|2610|MH|RtM via: Poverty;Forced Leaf Node Lookup:poverty|TI|MM|589^7^0
42609341|*Farms|D000072480|2445|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farms|TI|MM|560^4^0;387^5^0
42609341|*Automobiles|D001336|1929|MH|RtM via: Automobiles;Forced Leaf Node Lookup:automobiles;Forced Leaf Node Lookup:car|TI|MM|2003^10^0;877^3^0
42609341|*Domestication|D000071278|1818|MH|RtM via: Domestication;Forced Leaf Node Lookup:domestication|TI|MM|1523^13^0;494^13^0
42609341|*Farmers|D000067565|1488|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|351^7^0;149^7^0
42609341|*Income|D007182|1962|MH|RtM via: Income|TI|MM|565^6^0
42609341|*Manufacturing Industry|D066192|1458|MH|RtM via: Manufacturing Industry;Forced Non-Leaf Node Lookup:manufacturing industry|TI|MM|881^22^0
42609341|*Pharmaceutical Industries|D004345|1215|ET|Entry Term Replacement for "Drug Industry";RtM via: Drug Industry;Forced Non-Leaf Node Lookup:pharmaceutical industries|TI|MM|960^25^0
