10.2307/2395210|Animals|D000818|8867|CT|Spiders;CT Treecode Lookup: B01.050.500.131 (Spiders)||MM;RC
10.2307/2395258|*Onagraceae|D029594|383504|MH|RtM via: Fuchsia excorticata;RtM via: Hauya heydeana;RtM via: Onagraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:onagraceae|TI|MM;RC|823^19^0;82^19^0;847^14^0;107^14^0;638^10^0;610^10^0;340^10^0
10.2307/2395258|*Wood|D014934|377705|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|795^4^0;887^4^0;564^5^0;227^4^0;28^4^0
10.2307/2395258|*Environment|D004777|606|MH|RtM via: Woods|TI|MM|564^5^0
10.2307/2395258|*Research|D012106|114|MH|RtM via: Study|TI|MM|621^7^0
10.2307/2394925|*Ageratum|D031163|599|MH|RtM via: Ageratum;Forced Leaf Node Lookup:ageratums;checkForceMH Boosted|TI|MM|384^8^0
10.2307/2394925|*Date Fruit|D065749|421|ET|Entry Term Replacement for "Phoeniceae";RtM via: Date Fruit;checkForceMH Boosted|TI|MM|820^14^0
10.2307/2394925|*Names|D009275|2874|MH|RtM via: Common Name;RtM via: Generic Name;RtM via: Name;RtM via: Person Name|TI|MM|709^12^0;334^5^0
10.2307/2394925|*Geography|D005843|1299|MH|RtM via: Geography;Forced Non-Leaf Node Lookup:geography|TI|MM|723^9^0
10.2307/2394925|*Recognition, Psychology|D021641|192|MH|RtM via: Recognition, Psychology|TI|MM|43^10^0
10.2307/2394925|*Chromosomes|D002875|273|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|439^18^0;514^18^0;628^10^0
10.2307/2394925|Americas|D000569|117|MH|RtM via: Americas|TI|MM|101^8^0
10.2307/2399403|*Diploidy|D004171|5206|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|143^25^0
10.2307/2399403|*Meristem|D018519|1573|MH|RtM via: Root Tip;Forced Leaf Node Lookup:root tips|TI|MM|47^8^0
10.2307/2399403|*Karyotyping|D007621|11340|MH|RtM via: Karyotype determination procedure|TI|MM;RC|193^9^0
10.2307/2399403|*Karyotype|D059785|9171|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|193^9^0
10.2307/2399403|*Mitoses|D008938|525|ET|Entry Term Replacement for "Mitosis";RtM via: Mitosis;Forced Non-Leaf Node Lookup:mitoses|TI|MM|56^7^0
10.2307/2399403|Africa|D000349|3|MH|RtM via: Africa|TI|MM|388^6^0
10.2307/2399796|Chile|D002677|84|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM;RC|64^5^0
10.2307/2399796|Desert Climate|D003889|120|MH|||RC
10.2307/2399796|*Habits|D006184|18|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|171^6^0
10.2307/2399268|*Flowering Plants|D019684|5824|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM;RC|96^16^0
10.2307/2399268|*Vernonia|D035741|1022|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM;RC|310^8^0
10.2307/2399268|Madagascar|D008270|346|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|116^10^0
10.2307/2399268|*Solanales|D000076666|1107|MH|RtM via: Kaliphora|TI|MM|199^9^0
10.2307/2399268|*Chromosomes|D002875|258|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|28^18^0
10.2307/2399070|Humans|D006801|24454|CT|CT Text Lookup: individuals|TI|MM|83^11^0
10.2307/2399070|*Seasons|D012621|6427|MH|RtM via: Seasons;RtM via: Winter;Forced Leaf Node Lookup:seasons|TI|MM;RC|186^6^0;796^6^0
10.2307/2399070|*Atriplex|D027466|5510|MH|RtM via: Atriplex canescens;Forced Leaf Node Lookup:atriplex;checkForceMH Boosted|TI|MM|707^18^0;98^18^0
10.2307/2399070|*Droughts|D055864|4309|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|804^7^0
10.2307/2399070|*Flowers|D035264|23454|MH|RtM via: Flowers;RtM via: Pistil;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|644^7^0;1114^10^0;865^10^0;633^10^0;452^10^0;283^10^0
10.2307/2399070|*Reproduction|D012098|5835|MH|RtM via: Reproduction|TI|MM;RC|1240^12^0;1089^11^0
10.2307/2399070|*Seeds|D012639|5310|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|1156^5^0;829^4^0
10.2307/2399070|*Phenotype|D010641|822|MH|RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|294^9^0;332^9^0
10.2307/2992086|*Trees|D014197|73392|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|2082^4^0;1445^4^0;698^5^0;592^5^0
10.2307/2992086|*Conifers|D064028|12825|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|1194^10^0;678^8^0;463^10^0;384^8^0
10.2307/2992086|*Angiosperms|D019684|12522|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|1038^11^0;564^11^0;409^11^0
10.2307/2992086|Mississippi|D008922|7620|MH|RtM via: Mississippi (geographic location);Forced Leaf Node Lookup:mississippi|TI|MM|1141^11^0
10.2307/2992086|*Forests|D065928|35220|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|2124^6^0;2250^6^0;1996^6^0;1761^7^0;1205^7^0;878^7^0;334^7^0;52^6^0;911^7^0;1263^7^0;111^6^0
10.2307/2992086|*Habitat|D017753|26418|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:species ranges|TI|MM;RC|774^7^0;1919^14^0
10.2307/2992086|*Climate Change|D057231|14697|MH|RtM via: Climate Change|TI|MM;RC|1685^15^0
10.2307/2992086|Mediterranean Region|D019083|11070|MH|RtM via: Mediterranean Region;Forced Non-Leaf Node Lookup:mediterranean region|TI|MM|797^20^0
10.2307/2992086|Europe|D005060|2757|MH|RtM via: Europe;RtM via: Western Europe|TI|MM|345^6^0;2175^14^0;121^14^0
10.2307/2992086|North America|D009656|2586|MH|RtM via: North America|TI|MM|209^13^0;62^13^0
10.2307/2992086|Appalachia|D001061|96|ET|Entry Term Replacement for "Appalachian Region";RtM via: Appalachian Region|TI|MM|1074^11^0
10.2307/2398790|Humans|D006801|11647489|CT|Forced Humans: individuals|TI|MM
10.2307/2398790|Animals|D000818|11647489|CT|Ursidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ursidae)||MM;RC
10.2307/2398790|Female|D005260|11647489|CT|CT Text Lookup: females|TI|MM;RC|727^7^0
10.2307/2398790|*Plant Nectar|D057048|999336|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|875^6^0;715^6^0;899^6^0;1069^6^0
10.2307/2398790|*Ursidae|D001503|953115|MH|RtM via: Ursidae Family;Forced Leaf Node Lookup:bear;checkForceMH Boosted|TI|MM|809^4^0
10.2307/2398790|*Flowering Plants|D019684|492585|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted|TI|MM;RC|91^8^1;107^6^1
10.2307/2398790|*Fruit|D005638|479031|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|823^5^0;663^5^0;432^5^0
10.2307/2398790|*Pollination|D054817|68763|MH|RtM via: Pollination|TI|MM;RC|550^10^0;405^10^0
10.2307/2398790|*Flower|D035264|23904|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1214^8^0;765^6^0;144^8^0
10.2307/2398790|*Reproduction|D012098|17016|MH|RtM via: Reproduction|TI|MM;RC|1223^12^0
10.2307/2398790|*Onagraceae|D029594|16068|MH|RtM via: Fuchsia lycioides|TI|MM;RC|43^17^0
10.2307/2398790|*Pollen|D011058|10245|MH|RtM via: flower pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|1168^8^1;1190^6^1
10.2307/2398790|*Birds|D001717|3048|MH|RtM via: Aves;RtM via: Trochilidae;Forced Non-Leaf Node Lookup:birds|TI|MM|1177^4^0;745^5^0;491^11^0
10.2307/2992093|*Trees|D014197|5613|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|193^5^0
10.2307/2992093|*Euphorbiaceae|D019665|4407|MH|RtM via: Euphorbiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM;RC|1611^13^0;71^13^0
10.2307/2992093|*Trichomes|D064201|2658|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM|614^9^0
10.2307/2992093|*Latex|D007840|2103|MH|RtM via: latex;Forced Leaf Node Lookup:latex;checkForceMH Boosted|TI|MM|625^5^0
10.2307/2992093|*Subcutaneous Tissue|D040521|957|MH|RtM via: Subcutaneous Tissue;Forced Leaf Node Lookup:hypodermis|TI|MM|665^10^0
10.2307/2992093|Australia|D001315|873|MH|Forced Leaf Node Lookup:australian;Geo Lookup:australian|TI;AB|MM|1034^10^0
10.2307/2992093|*Xylem|D052584|2481|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM|914^5^0
10.2307/2992093|*Malpighiales|D000076622|2142|MH|RtM via: Phyllanthoideae|TI|MM|261^15^0
10.2307/2992093|*Cell Wall|D002473|1788|MH|RtM via: perforation plate|TI|MM;RC|730^18^0
10.2307/2992093|*Epidermal Cells|D000078404|1494|MH|RtM via: Epidermal cells|TI|MM|652^9^0
10.2307/2992093|*Plant Leaves|D018515|1359|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1535^6^0;1253^6^0;1479^6^0
10.2307/2992093|*Pollen|D011058|642|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|109^6^0
10.2307/2992093|*Epidermis|D004817|522|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|652^9^0
10.2307/2992084|China|D002681|5431|MH|RtM via: China;Forced Leaf Node Lookup:chinese|TI|MM|711^5^0;1220^7^0
10.2307/2992084|*Temperature|D013696|2758|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1510^11^0
10.2307/2992084|Asia|D001208|10380|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM;RC|501^4^0
10.2307/2992084|Eastern Asia|D005202|8190|ET|Entry Term Replacement for "Far East";RtM via: Far East;Forced Non-Leaf Node Lookup:eastern asia|TI|MM;RC|1446^12^0;1323^12^0;1100^12^0;112^12^0
10.2307/2992084|*Plants|D010944|5454|MH|RtM via: Plants|TI|MM;RC|1386^6^0;1057^6^0;865^6^0;730^5^0
10.2307/2992084|North America|D009656|5301|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|1261^13^0;970^13^0;510^13^0;137^13^0;1125^13^0;1348^13^0;1471^13^0
10.2307/2992084|Europe|D005060|3858|MH|RtM via: Europe|TI|MM|1143^6^0
10.2307/2992084|Atlantic Ocean|D001267|0|MH|RtM via: Atlantic Ocean|TI|MM|404^14^0
3298513|*Phylogeny|D010802|41823|MH|RtM via: Phylogeny;RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analyses;Forced Leaf Node Lookup:phylogeny|TI|MM|812^9^0;227^21^0;59^12^0
3298513|*Cleome|D031485|27378|MH|RtM via: Cleome;Forced Leaf Node Lookup:cleomes;checkForceMH Boosted|TI|MM|1000^6^0;274^6^0;111^6^0
3298513|Plasminogen Inactivators|D015849|95618|MH|||RC
3298513|Plasminogen Activators|D010960|56787|MH|||RC
3298513|*Pollen|D011058|921|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|936^6^0;376^6^0
3298513|Chloroplasts|D002736|1000|MH|Forced Non-Leaf Node Lookup:chloroplasts||MM|196^11^0
3298513|Genomics|D023281|1000|MH|Forced Non-Leaf Node Lookup:genomics||MM|208^7^0
3298513|South America|D013020|3|MH|RtM via: South America|TI|MM|555^13^0
10.2307/2399759|United States|D014481|112548|CT|Forced Leaf Node Lookup:american|TI|MM|60^8^0
10.2307/2399759|*Lycopodiaceae|D029542|111548|MH|RtM via: Diphasiastrum;RtM via: Lycopodiella;RtM via: Palhinhaea;RtM via: Phlegmariurus;RtM via: Pseudolycopodiella;RtM via: Huperzioideae;RtM via: Lycopodielloideae;RtM via: Lycopodioideae;RtM via: Lycopodiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lycopodiaceae|TI|MM;RC|906^13^0;975^12^0;993^10^0;842^13^0;955^18^0;827^13^0;936^17^0;878^14^0;69^13^0
10.2307/2399759|*Lycopodium|D032502|35209|MH|RtM via: Lycopodium plant;Forced Leaf Node Lookup:lycopodiums;checkForceMH Boosted|TI|MM;RC|894^10^0
10.2307/2399759|*Huperzia|D032501|34228|MH|RtM via: Huperzia;Forced Leaf Node Lookup:huperzias;checkForceMH Boosted|TI|MM;RC|857^8^0
10.2307/2399759|*Germ Cells, Plant|D055993|10415|MH|RtM via: Gametophytes;Forced Leaf Node Lookup:gametophytes|TI|MM|474^12^0
10.2307/2399759|*Spores|D013170|15654|MH|RtM via: Plant spore;RtM via: Reproduction spores;Forced Non-Leaf Node Lookup:spores|TI|MM;RC|462^6^0
10.2307/2399759|*Ferns|D029624|3213|MH|RtM via: Ferns|TI|MM|760^13^0
10.2307/2399759|*Hybridization, Genetic|D006824|1248|MH|RtM via: Crossbreeding|TI|MM|665^9^0
10.2307/2399759|*Social Segregation|D000072699|459|MH|RtM via: Racial Segregation|TI|MM|691^11^0;378^10^0
10.2307/2399759|*Chromosomes|D002875|669|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|449^11^0
10.2307/2398925|*Rosaceae|D027824|9844|MH|RtM via: Rosaceae (plant);RtM via: Holodiscus discolor;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM;RC|541^8^0;513^19^0
10.2307/2398925|*Aquifoliaceae|D029063|9205|MH|RtM via: Aquifoliaceae;RtM via: Nemopanthus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:aquifoliaceae|TI|MM|189^13^0;158^11^0
10.2307/2398925|*Pedaliaceae|D029601|4963|MH|RtM via: Pedaliaceae;RtM via: Uncarina grandidieri;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pedaliaceae|TI|MM|499^11^0;469^20^0
10.2307/2398925|*Balanites|D032430|4328|MH|RtM via: Balanites;Forced Leaf Node Lookup:balanites;checkForceMH Boosted|TI|MM|205^9^0
10.2307/2398925|*Moraceae|D029586|4108|MH|RtM via: Moraceae;RtM via: Trophis phillipinensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moraceae|TI|MM|458^8^0;426^22^0
10.2307/2398925|*Scrophulariaceae|D028083|3877|MH|RtM via: Scrophulariaceae;RtM via: Teedia lucida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:scrophulariaceae|TI|MM|706^16^0;683^13^0
10.2307/2398925|*Iridaceae|D027621|3340|MH|RtM via: Iridaceae;RtM via: Ferraria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iridaceae|TI|MM|102^9^0;74^8^0
10.2307/2398925|*Apocynaceae|D029062|2338|MH|RtM via: Apocynaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM|144^11^0
10.2307/2398925|*Magnoliopsida|D019684|11298|MH|RtM via: Francoaceae;RtM via: Wendtia gracilis|TI|MM;RC|368^13^0;342^16^0
10.2307/2398925|*Malpighiales|D000076622|4440|MH|RtM via: Balanopaceae;RtM via: Trigoniaceae;RtM via: Balanops|TI|MM|278^12^0;622^12^0;249^8^0;593^8^0
10.2307/2398925|*Solanales|D000076666|3234|MH|RtM via: Montiniaceae;RtM via: Grevea|TI|MM|411^12^0;384^6^0
10.2307/2398925|*Chromosome|D002875|2373|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|42^10^0
10.2307/2399288|Humans|D006801|15352423|CT|Forced Humans: families|TI|MM
10.2307/2399288|Animals|D000818|15352423|CT|Ants;CT Treecode Lookup: B01.050.500.131 (Ants);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);CT Text Lookup: mammal|TI|MM;RC|1386^6^0
10.2307/2399288|Female|D005260|15352423|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary)||MM
10.2307/2399288|*Rhizophoraceae|D043982|4373920|MH|RtM via: Anopyxis;RtM via: Blepharistemma;RtM via: Carallia;RtM via: Cassipourea;RtM via: Ceriops;RtM via: Gynotroches;RtM via: Kandelia;RtM via: Macarisia;RtM via: Pellacalyx;RtM via: Rhizophora;RtM via: Sterigmapetalum;RtM via: Crossostylis;RtM via: Rhizophoraceae;RtM via: Bruguiera;Forced Leaf Node Lookup:rhizophoraceae;Forced Leaf Node Lookup:cassipoureas;Forced Leaf Node Lookup:rhizophoras;Forced Leaf Node Lookup:bruguieras;Forced Leaf Node Lookup:kandelias;Forced Leaf Node Lookup:ceriops;checkForceMH Boosted|TI|MM|1606^8^0;1565^14^0;2742^8^0;2161^8^0;1581^11^0;2440^7^0;2752^11^0;2171^11^0;2449^8^0;1616^9^0;2769^10^0;2188^10^0;2463^10^0;1631^15^0;2942^12^0;1993^12^0;1457^14^0;1244^14^0;1068^14^0;869^14^0;585^14^0;98^14^0;2429^9^0
10.2307/2399288|*Fruit|D005638|1253564|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|408^5^0;262^6^0
10.2307/2399288|*Ants|D001000|1246580|MH|Forced Leaf Node Lookup:ant;checkForceMH Boosted|TI|MM;RC|1344^3^0
10.2307/2399288|*Seed Dispersal|D058614|655213|MH|RtM via: Seed Dispersal;Forced Leaf Node Lookup:seed dispersals|TI|MM;RC|1324^14^0
10.2307/2399288|*Wind|D014919|628696|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM;RC|1374^4^0
10.2307/2399288|*Elaeocarpaceae|D045467|626179|MH|RtM via: Elaeocarpaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:elaeocarpaceae|TI|MM|1088^14^0;1142^14^0
10.2307/2399288|*Malvales|D000077142|625300|MH|RtM via: Malvales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvales|TI|MM|1162^8^0
10.2307/2399288|*Water|D014867|625093|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|1397^5^0
10.2307/2399288|*Celastraceae|D029753|624286|MH|RtM via: Celastraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:celastraceae|TI|MM|1107^12^0
10.2307/2399288|*Capsules|D002214|624100|MH|RtM via: Hard Capsule Dosage Form;Forced Leaf Node Lookup:capsules|TI|MM|320^4^1;332^8^1
10.2307/2399288|*Ovary|D010053|623674|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|2108^5^0;1779^5^0
10.2307/2399288|*Adaptation, Physiological|D000222|24633|MH|RtM via: Adaptation|TI|MM|1289^10^0
10.2307/2399288|*Seeds|D012639|14364|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|2571^4^0;2221^4^0;2021^5^0;1841^4^0;1821^5^0;812^5^0;693^4^0;552^4^0;342^4^0;399^4^0;234^5^0;164^5^0;288^5^0;893^5^0;1904^5^0;63^4^0;1018^4^0;1213^4^0;1535^4^0
10.2307/2399288|*Bird|D001717|5349|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM;RC|1380^4^0
