42606754|Humans|D006801|3619|CT|Community Involvement;CT Treecode Lookup: N02.421.143 (Community Involvement)||MM;RC
43737691|*Pinus|D028223|2606|MH|RtM via: Pinus patula;RtM via: Pinus tecunumanii;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|5734^12^0;3770^12^0;1745^12^0;3926^17^0;3693^17^0;1886^17^0;1669^17^0;127^17^0
43737691|origen|C009784|1889|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|4865^6^0
43737691|South Africa|D013019|1196|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|278^12^0
43737691|*Altitude|D000531|914|MH|Forced Leaf Node Lookup:altitudes|TI|MM|3064^8^0
43737691|*Climate|D002980|3105|MH|RtM via: Climate|TI|MM|552^7^0
43737691|*Seasons|D012621|2568|MH|RtM via: Winter;RtM via: Summer|TI|MM|446^6^0;191^6^0;246^6^0
43737691|*Microclimates|D008834|2133|ET|Entry Term Replacement for "Microclimate";RtM via: Microclimate|TI|MM|574^14^0
43737691|*Azocines|D001392|1888|HM|RtM via: origen|TI|MM|4865^6^0
43737691|*Forested Areas|D065928|1632|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|5324^6^0;3334^6^0;1357^6^0;262^12^0
43737691|*Drainage|D004322|387|MH|RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|1647^8^0;697^8^0
43737691|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2873^3^0
42602980|*Developed Countries|D019049|1591|MH|Forced Leaf Node Lookup:developed countries|TI|MM|100^19^0
42602980|*Laboratories|D007753|1591|MH|Forced Leaf Node Lookup:laboratory|TI|MM|701^10^0
42602980|*Forests|D065928|10653|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|381^6^0;455^7^0
42602980|*Governments|D006076|6252|ET|Entry Term Replacement for "Government";RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM;RC|60^11^0
42602980|*Crops, Agricultural|D018556|3141|MH|RtM via: Agricultural Crops|TI|MM;RC|557^5^0
42602980|*Living Standards|D012959|1593|ET|Entry Term Replacement for "Socioeconomic Factors";RtM via: Standard of Living;Forced Non-Leaf Node Lookup:living standards|TI|MM;RC|279^16^0
42603487|*Trees|D014197|22362|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|312^4^0
42603487|Kenya|D007630|2961|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|183^5^0
42603487|*Forest|D065928|20166|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|344^6^0;189^6^0
42603487|*Conservation of Natural Resources|D003247|16425|MH|RtM via: Natural regeneration|TI|MM;RC|1362^12^0
42603487|*Research Design|D012107|1689|MH|RtM via: Chemical extraction;RtM via: Test Method|TI|MM|1240^10^0;1627^6^0
42603487|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|1362^12^0
42603454|*Pseudotsuga|D028224|3140|MH|RtM via: Pseudotsuga menziesii;Forced Leaf Node Lookup:pseudotsugas;checkForceMH Boosted|TI|MM|1106^21^0
42603454|Philippines|D010679|2914|MH|RtM via: Philippines;Forced Leaf Node Lookup:philippines|TI|MM;RC|573^11^0
42603454|Myanmar|D002052|1168|MH|RtM via: Myanmar;Forced Leaf Node Lookup:burma|TI|MM|800^5^0;688^5^0;507^5^0
42603454|Vietnam|D014744|1036|MH|RtM via: Vietnam;Forced Leaf Node Lookup:viet nam|TI|MM|599^8^0
42603454|Madagascar|D008270|406|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM;RC|901^10^0;738^10^0;614^10^0;752^10^0
42603454|Zambia|D015024|403|MH|RtM via: Zambia;Forced Leaf Node Lookup:northern rhodesia|TI|MM|319^17^0;122^17^0
42603454|*Pinus|D028223|1782|MH|RtM via: Pinus <genus>;RtM via: Pinus tropicalis|TI|MM|188^4^0;36^13^0
42603454|China|D002681|879|MH|RtM via: China;Forced Non-Leaf Node Lookup:china|TI|MM;RC|656^5^0
42603454|Oregon|D009922|3|MH|RtM via: Oregon (geographic location)|TI|MM|1097^6^0
42608474|*Acacia|D000045|2174|MH|RtM via: Acacia mangium;Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|1390^14^0;772^14^0;160^14^0
42608474|*Indican|D007200|1829|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|1462^7^0
42608474|Costa Rica|D003364|829|MH|RtM via: Costa Rica;Forced Leaf Node Lookup:costa rica|TI|MM|1444^10^0;813^10^0;208^10^0
42608474|VMBP protocol|C036046|2452|NM|RtM via: VMBP protocol|TI|MM|1415^4^0
42608474|*Cisplatin|D002945|2451|HM|RtM via: VMBP protocol;RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|1415^4^0;1216^4^0
42608474|*Vincristine|D014750|2217|HM|RtM via: VMBP protocol|TI|MM|1415^4^0
42608474|*Environment|D004777|1674|MH|RtM via: Para (geographic area)|TI|MM;RC|1316^4^0
42608474|*Antineoplastic Combined Chemotherapy Protocols|D000971|462|HM|RtM via: VMBP protocol|TI|MM|1415^4^0
42608474|*Bleomycin|D001761|582|HM|RtM via: VMBP protocol|TI|MM|1415^4^0
42608474|*Methotrexate|D008727|1122|HM|RtM via: VMBP protocol|TI|MM|1415^4^0
42608474|*Seeds|D012639|636|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|330^5^0;112^4^0;292^4^0
42608474|Genetic Variation|D014644|1000|MH|Forced Non-Leaf Node Lookup:genetic variations||MM|65^17^0
42608474|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1567^3^0;1796^3^0
42607636|*Interior Design and Furnishings|D007374|1089|MH|RtM via: Furniture;Forced Leaf Node Lookup:furniture|TI|MM|287^9^0
42607636|*Woods|D014934|1956|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM;RC|367^5^0
42607636|*Desiccation|D003890|1527|MH|RtM via: Desiccation|TI|MM;RC|180^6^0;219^3^0
42607636|*Environment|D004777|663|MH|RtM via: Woods|TI|MM|367^5^0
42607636|*Commerce|D003132|336|MH|RtM via: Manufacture|TI|MM|309^11^0
42606233|*Trees|D014197|1860|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|542^5^0;153^5^0;56^4^0
42606233|*Soils|D012987|1742|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|213^5^0
42606233|*Islands|D062312|1019|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|309^7^0;166^7^0
42606233|Falkland Islands|D019432|389|MH|RtM via: Falkland Islands;Forced Leaf Node Lookup:falkland islands|TI|MM|662^16^0;75^16^0
42606233|*Incidence|D015994|386|MH|Forced Leaf Node Lookup:incidences|TI|MM|725^9^0
42606233|*Agriculture|D000383|1602|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|643^11^0;1383^11^0
42606233|*Biological Phenomena|D001686|573|MH|RtM via: Tissue Growth|TI|MM|555^5^0;294^7^0;61^6^0
42606233|*Oils, Volatile|D009822|300|MH|RtM via: Oils, Volatile|TI|MM|966^8^0
42604515|United Kingdom|D006113|289|MH|Forced Lookup:britain|TI|MM|99^7^0
42604515|*Crop Production|D000069599|54|MH|RtM via: Crop Production;Forced Non-Leaf Node Lookup:crop production|TI|MM|512^15^0
42604515|Resource Allocation|D040841|1000|MH|Forced Non-Leaf Node Lookup:allocation of||MM|362^13^0
42609021|*Trees|D014197|2027|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|333^4^0
42609021|*Forests|D065928|1467|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|204^7^0
42609021|*Biological Phenomena|D001686|579|MH|RtM via: Tissue Growth|TI|MM|38^6^0
42609021|*Employment|D004651|432|MH|RtM via: Employed|TI|MM|230^9^0
42609021|*Cyclophosphamide|D003520|354|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|843^4^0
42609021|*Prescriptions|D055656|315|MH|RtM via: Prescription procedure;Forced Non-Leaf Node Lookup:prescriptions|TI|MM|217^12^0;503^13^0;141^13^0
42609021|*Computer|D003201|252|ET|Entry Term Replacement for "Computers";RtM via: Computers;Forced Non-Leaf Node Lookup:computers|TI|MM|65^8^0
42603723|*Soil|D012987|18080|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|313^5^0;53^4^0
42603723|*Seasons|D012621|10459|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|379^6^0;44^8^0;564^6^0
42603723|Zimbabwe|D015030|2525|MH|RtM via: Zimbabwe;Forced Leaf Node Lookup:southern rhodesia|TI|MM|158^17^0
42603723|*Electric Impedance|D017097|2501|MH|RtM via: electrical resistance;Forced Leaf Node Lookup:electrical resistance|TI|MM|198^21^0
42603723|*Grassland|D065948|2435|MH|Forced Leaf Node Lookup:grasslands|TI|MM|81^9^0
42603723|*Rains|D011891|14976|ET|Entry Term Replacement for "Rain";RtM via: Rain;Forced Non-Leaf Node Lookup:rains|TI|MM;RC|599^5^0;373^5^0
42603723|*Woodland|D065928|8613|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|481^8^0;104^8^0
42603723|*Poaceae|D006109|8130|MH|RtM via: Hyparrhenia|TI|MM;RC|452^11^0
42606729|Animals|D000818|4765|CT|Insects;CT Treecode Lookup: B01.050.500.131 (Insects)|TI|MM
42606729|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
42606729|*Trees|D014197|3765|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1093^5^0;903^5^0;615^5^0;141^13^0;149^5^0;677^5^0
42606729|*Populus|D032107|3021|MH|RtM via: Populus deltoides;Forced Leaf Node Lookup:populus;checkForceMH Boosted|TI|MM|3155^17^0;1633^17^0;334^17^0;1169^6^0;326^6^0
42606729|*Agricultural Crops|D018556|2115|ET|Entry Term Replacement for "Crops, Agricultural";RtM via: Agricultural Crops;checkForceMH Boosted;Forced Non-Leaf Node Lookup:agricultural crops|TI|MM|853^18^0
42606729|*Ownership|D010067|1662|MH|RtM via: Ownership;Forced Leaf Node Lookup:ownership|TI|MM|205^9^0
42606729|*Seasons|D012621|1650|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|939^6^0
42606729|*Farmers|D000067565|1452|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|708^7^0;510^7^0;306^7^0
42606729|*Rotation|D012399|1164|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|1792^8^0;485^8^0
42606729|*Fungi|D005658|1863|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM|1132^5^0
42606729|*Fire|D005390|1716|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|1149^4^0
42606729|*Eating|D004435|1632|MH|RtM via: Adequate Daily Fluid Intake;RtM via: Adequate Daily Salt Intake|TI|MM|1036^8^0
42606729|*Insects|D007313|1476|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1123^7^0
42606729|*Land Tenure|D012959|954|ET|Entry Term Replacement for "Socioeconomic Factors";RtM via: Land Tenure;Forced Non-Leaf Node Lookup:land tenure|TI|MM|163^11^0
42606729|*Drainage|D004322|33|MH|RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|1045^8^0
42606729|Clone Cells|D002999|1000|MH|Forced Non-Leaf Node Lookup:clones||MM|1176^6^0;2631^6^0;2671^6^0;4279^6^0;2729^5^0
42606729|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3757^3^0
42606729|Australia|D001315|1473|MH|RtM via: Australia|TI|MM|4353^9^0;1239^9^0
42606729|India|D007194|909|MH|RtM via: India|TI|MM|2818^5^0;52^5^0
42604793|*Pinus|D028223|27023|MH|RtM via: Pinus tropicalis;RtM via: Pinus <genus>;RtM via: Pinus caribaea;RtM via: Pinus cubensis;RtM via: Pinus occidentalis;RtM via: Pinus chiapensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|785^16^0;205^14^0;115^4^0;533^14^0;639^14^0;667^12^1;684^5^1;698^3^1;729^7^1;741^10^1;661^5^0;723^5^0;761^5^0
42604793|*Forestry|D016468|5984|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1193^8^0
42604793|Bahamas|D001444|4391|MH|RtM via: Bahamas;Forced Leaf Node Lookup:bahamas|TI|MM;RC|268^7^0
42604793|*Gene Pool|D005788|4283|MH|RtM via: Gene Pool;Forced Leaf Node Lookup:gene pools|TI|MM|1234^10^0;135^10^0
42604793|*Golf|D006055|2171|MH|RtM via: Golf;Forced Leaf Node Lookup:golf|TI|MM|633^4^0;604^4^0;574^4^0
42604793|West Indies|D014900|5706|MH|RtM via: Caribbean Islands|TI|MM;RC|254^9^0
42604793|Caribbean|D017691|3522|ET|Entry Term Replacement for "Caribbean Region";RtM via: Caribbean region;Forced Non-Leaf Node Lookup:caribbean|TI|MM;RC|254^9^0
42604793|*Forest|D065928|3126|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|120^6^0
42604793|Central America|D002489|2487|MH|RtM via: Central America;Forced Non-Leaf Node Lookup:central america|TI|MM;RC|223^15^0
42604793|*Phenotypes|D010641|1080|ET|Entry Term Replacement for "Phenotype";RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|977^10^0
42604793|*Seed|D012639|717|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|1118^4^0;392^4^0
42609014|*Forestry|D016468|2875|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|501^8^0;47^8^0
42609014|*State Government|D013219|2362|MH|RtM via: State Government;Forced Leaf Node Lookup:state governments|TI|MM|597^17^0;161^17^0
42609014|*Federal Government|D035082|2125|MH|RtM via: Federal Government;Forced Leaf Node Lookup:federal government|TI|MM|249^18^0
42609014|Australia|D001315|730|MH|RtM via: Australia;Forced Leaf Node Lookup:australian;Geo Lookup:australian|TI;AB|MM|1350^9^0;36^10^0
42609014|*Policy|D057766|1251|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|647^6^0;568^6^0
42609014|*Lobbying|D008119|1089|MH|RtM via: Lobbying|TI|MM|766^5^0
42609014|*Investments|D007449|927|MH|RtM via: Investments|TI|MM|377^11^0
42609014|*Internationality|D038622|855|MH|RtM via: International Aspects|TI|MM|369^7^0
42609014|*Forests|D065928|522|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|561^6^0;412^7^0;112^6^0
42607277|*Taiga|D066188|3913|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|995^13^0;747^14^0
42607277|*Biomass|D018533|2326|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|571^7^0;469^7^0;215^7^0;1340^8^0;1655^8^0;1806^8^0
42607277|*Indican|D007200|1660|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|2795^7^0
42607277|*Climate Change|D057231|1559|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|236^16^0;122^15^0
42607277|*Wood|D014934|1439|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|602^4^0;326^4^0;714^4^0
42607277|*Forests|D065928|1578|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1073^7^0;846^7^0;208^6^0
42607277|ceftiofur|C053503|1456|NM|RtM via: Excede|TI|MM|3153^6^0
42607277|*Cephalosporins|D002511|1455|HM|RtM via: Excede|TI|MM|3153^6^0
42607277|*Physiological Phenomena|D010829|1041|MH|RtM via: biologic consumption;RtM via: Circulatory Process|TI|MM|939^11^0;782^11^0;607^11^0;331^11^0;1139^11^0;86^11^0
42607277|*Atmosphere|D001272|615|MH|RtM via: Atmosphere, planetary;Forced Non-Leaf Node Lookup:atmospheres|TI|MM|61^10^0
42607277|Oceans and Seas|D009792|1000|MH|Forced Non-Leaf Node Lookup:oceans||MM|72^5^0
42607277|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2774^3^0
[17]: *** ERROR *** ERROR *** ERROR ***
42603045|*Cupressus|D029781|616|MH|RtM via: Cypress;Forced Leaf Node Lookup:cypress;checkForceMH Boosted|TI|MM|170^7^0
42603045|*Costs|D003365|2031|ET|Entry Term Replacement for "Costs and Cost Analysis";RtM via: Financial cost|TI|MM;RC|43^5^0
42603045|Forestry|D016468|624|MH|||RC
42603045|*Health Facilities, Proprietary|D006269|222|MH|RtM via: profit|TI|MM|214^10^0
42609019|*Altitude|D000531|1486|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|1423^8^0;1269^9^0;1130^9^0;1087^8^0;1512^8^0;1579^8^0
42609019|*Pinus|D028223|926|MH|RtM via: Pinus patula;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1986^12^0;1696^12^0;870^12^0;88^12^0
42609019|*Rotation|D012399|542|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|563^8^0;69^8^0
42609019|Body Mass Index|D015992|1371|MH|||RC
42609019|*Nutrient|D000078622|900|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|746^8^0
42609019|*Causality|D015984|810|MH|RtM via: Etiology|TI|MM|1544^6^0;682^6^0
42609019|*Forest|D065928|480|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|629^6^0;486^6^0;385^6^0;250^6^0;21^6^0
42609019|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1591^3^0;2480^3^0
42604795|Humans|D006801|12637|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
42604795|Trinidad and Tobago|D014300|10831|MH|RtM via: Tobago;RtM via: Trinidad;Forced Leaf Node Lookup:trinidad and tobago|TI|MM;RC|583^6^0;83^6^0;570^8^0;70^8^0
42604795|Jamaica|D007563|7168|MH|RtM via: Jamaica;Forced Leaf Node Lookup:jamaica|TI|MM;RC|166^7^0
42604795|*Trees|D014197|3722|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|264^4^0
42604795|*Incidence|D015994|3025|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM;RC|317^9^0
42604795|*Fomes|D055453|1597|ET|Entry Term Replacement for "Coriolaceae";RtM via: Fomes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fomes|TI|MM|362^5^0
42604795|Caribbean|D017691|3303|ET|Entry Term Replacement for "Caribbean Region";RtM via: Caribbean region;Forced Non-Leaf Node Lookup:caribbean|TI|MM;RC|645^9^0;134^9^0
42604795|*Ethnic Groups|D005006|1641|MH|RtM via: Caribbean natives|TI|MM;RC|645^9^0
42604795|*Government|D006076|1443|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|556^10^0
42604795|*Attention|D001288|48|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|294^9^0
42604898|*Trees|D014197|45318|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|684^4^0;206^5^0
42604898|Queensland|D011793|3707|MH|Forced Leaf Node Lookup:queensland|TI|MM|42^10^0
42604898|*Forests|D065928|38328|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|921^6^0;754^6^0;61^6^0;110^7^0;1014^6^0
42604898|Forestry|D016468|7645|MH|||RC
42604898|*Biological Phenomena|D001686|1398|MH|RtM via: cellular entity retention;RtM via: Tissue Growth|TI|MM|871^9^0;1077^7^0;420^7^0;256^7^0
42607957|Humans|D006801|1000|CT|Forced Humans:D Educational Personnel||MM
42607957|*Trees|D014197|2424|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|186^5^0
42607957|*Soil|D012987|1158|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|218^4^0
42607957|Falkland Islands|D019432|564|MH|RtM via: Falkland Islands;Forced Leaf Node Lookup:falkland islands;Forced Leaf Node Lookup:malvinas|TI|MM|563^14^0;70^16^0;569^8^0
42607957|*Environment|D004777|846|MH|RtM via: Para (geographic area)|TI|MM|638^4^0
42607957|*Educational Personnel|D000071195|648|MH|RtM via: Teaching principal|TI|MM|448^9^0
42607957|*Sleep Latency|D000074361|111|MH|RtM via: Sleep Onset Latency|TI|MM|481^4^0
42607957|*Isoleucine|D007532|84|MH|RtM via: isoleucine|TI|MM|315^4^0
42606327|*Wood|D014934|1619|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|163^4^0
42606327|*Eucalyptus|D005052|1534|MH|RtM via: Eucalyptus camaldulensis;Forced Leaf Node Lookup:eucalyptus;checkForceMH Boosted|TI|MM|69^24^0
42606327|*Trees|D014197|1216|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|372^4^0
42606327|*Biomass|D018533|1204|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|47^7^0;482^8^0
42606327|*Hot Temperature|D006358|668|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|313^4^0
42606327|*Skin Temperature|D012881|537|MH|RtM via: Increased skin temperature|TI|MM|1069^5^0
42606327|*Physical Phenomena|D055585|510|MH|RtM via: Combustion|TI|MM|699^10^0;334^10^0
42616713|Humans|D006801|4307|CT|Rural Population;CT Treecode Lookup: N01.600 (Rural Population)||MM;RC
42616713|Animals|D000818|4307|CT|Moth;CT Treecode Lookup: B01.050.500.131 (Moth)||MM;RC
42616713|*Forestry|D016468|3307|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1128^8^0;240^8^0
42616713|*Trees|D014197|1997|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|725^5^0
42616713|*Toona|D000082982|1355|MH|RtM via: Toona;Forced New Lookup:toona;checkForceMH Boosted|TI|MM|2508^5^0;2209^5^0;1997^5^0;1334^5^0;1200^5^0;941^5^0;600^5^0;307^5^0;132^5^0;1535^5^0
42616713|*Farmers|D000067565|1261|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|828^7^0
42616713|*Meliaceae|D029582|1120|MH|RtM via: Meliaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:meliaceae|TI|MM|2013^9^0;957^9^0;149^9^0
42616713|*Moth|D009036|895|ET|Entry Term Replacement for "Moths";RtM via: Moths;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moth|TI|MM|633^4^0
42616713|*Academies and Institutes|D000047|687|MH|RtM via: Institutes|TI|MM|1137^9^0;249^9^0
42616713|*Environment|D004777|591|MH|RtM via: Para (geographic area)|TI|MM;RC|2645^4^0
42616713|*Rural Population|D012424|306|MH|RtM via: Rural|TI|MM|2661^5^0;1719^5^0;735^5^0
42616713|Southeast Asia|D001210|3|ET|Entry Term Replacement for "Asia, Southeastern";RtM via: Asia, Southeastern;Forced Non-Leaf Node Lookup:southeast asia|TI|MM|855^14^0
42616713|Socioeconomic Factors|D012959|1000|MH|Forced Non-Leaf Node Lookup:socio-economic||MM|35^14^0;782^14^0
42603789|*Trees|D014197|42938|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1759^5^0;1849^5^0;1604^5^0
42603789|*Fertilizers|D005308|32663|MH|RtM via: Fertilizers;Forced Leaf Node Lookup:fertilisers;checkForceMH Boosted|TI|MM;RC|732^11^0
