41998951|Animals|D000818|394810|CT|Leafhopper;CT Treecode Lookup: B01.050.500.131 (Leafhopper);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)||MM;RC
41998496|*Mycelium|D025282|861|MH|RtM via: Mycelium;Forced Non-Leaf Node Lookup:myceliums|TI|MM|520^8^0;235^8^0
41998496|*Severity, Disease|D012720|51|ET|Entry Term Replacement for "Severity of Illness Index";RtM via: Severity of illness;Forced Non-Leaf Node Lookup:disease severity|TI|MM|712^16^0
24331961|*Phytoplasma|D045582|19427|MH|RtM via: Wheat blue dwarf phytoplasma;RtM via: Paulownia witches'-broom phytoplasma;RtM via: Phytoplasma;Forced Leaf Node Lookup:phytoplasma;checkForceMH Boosted|TI|MM|834^15^0;39^16^1;62^11^1;673^17^1;692^17^1;519^11^0;698^11^0;838^11^0
24331961|*Vinca|D031053|16889|MH|RtM via: Vinca;Forced Leaf Node Lookup:periwinkles;checkForceMH Boosted|TI|MM|894^10^0
24331961|*Blotting, Southern|D015139|15265|MH|RtM via: Southern Blot result;RtM via: Southern blot assay (procedure);Forced Leaf Node Lookup:southern blot|TI|MM|134^13^0
24331961|*Phylogeny|D010802|13565|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analysis|TI|MM|450^21^0
24331961|*Triticum|D014908|13208|MH|Forced Leaf Node Lookup:wheat;checkForceMH Boosted|TI|MM|39^5^0
24331961|*Single-Stranded DNA-Binding Protein|D004268|9652|ET|Entry Term Replacement for "DNA-Binding Proteins";RtM via: Replication Protein A 70 kDa DNA-Binding Subunit;RtM via: Single-Stranded DNA Binding Proteins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:single-stranded dna-binding protein|TI|MM|407^35^0
24331961|*Membrane Proteins|D008565|8515|MH|RtM via: Membrane Proteins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:membrane proteins|TI|MM|297^17^0
24331961|*Organ Specificity|D009928|7627|MH|RtM via: Tissue Specificity;Forced Leaf Node Lookup:tissue specificity|TI|MM|863^18^0
24331961|*Geminiviruses|D017791|7309|ET|Entry Term Replacement for "Geminiviridae";RtM via: Geminiviridae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:geminiviruses|TI|MM|584^13^0
24331961|*Real-Time Polymerase Chain Reaction|D060888|7174|MH|RtM via: Real-Time Polymerase Chain Reaction;Forced Leaf Node Lookup:real time pcrs|TI|MM|777^22^0
24331961|*DNA Copy Number Variations|D056915|6604|MH|Forced Leaf Node Lookup:copy number|TI|MM|369^11^0;818^11^0;949^11^0;1055^11^0;1123^11^0
24331961|Metabolic Syndrome|D024821|20599|MH|||RC
24331961|Risk Factors|D012307|11049|MH|||RC
24331961|*DNA|D004247|2115|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|574^4^0;556^3^0
24331961|*Plasmids|D010957|1056|MH|RtM via: Plasmids;Forced Non-Leaf Node Lookup:plasmids|TI|MM|965^8^0;850^8^0;27^8^0
41998428|*Ficus|D030681|11211|MH|RtM via: Ficus;Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM;RC|130^9^0;539^3^0;874^3^0;923^3^0;1073^3^0
41998428|*Reverse Transcriptase Polymerase Chain Reaction|D020133|6861|MH|RtM via: Reverse Transcriptase Polymerase Chain Reaction;Forced Leaf Node Lookup:rt-pcr|TI|MM;RC|712^6^0
41998428|*Trees|D014197|5634|MH|Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|134^5^0
41998428|*Phloem|D052585|4764|MH|RtM via: Phloem;Forced Leaf Node Lookup:phloems|TI|MM|684^6^0
41998428|*Nucleic Acids|D009696|3096|MH|RtM via: Nucleic Acids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nucleic acids|TI|MM|735^13^0
41998428|Mexico|D008800|2829|MH|RtM via: Mexico;RtM via: Mexican;Forced Leaf Node Lookup:mexico|TI|MM;RC|1243^6^0;143^6^0;1065^7^0;435^7^0
41998428|South Africa|D013019|2820|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|1158^12^0;154^12^0;1254^12^0
41998428|*Electrons|D004583|2817|MH|Forced Leaf Node Lookup:electrons|TI|MM|315^8^0
41998428|*Closterovirus|D017790|17721|MH|RtM via: Fig leaf mottle-associated virus 1;RtM via: Closterovirus|TI|MM|1183^7^0;1002^7^0;874^34^0;858^15^0
41998428|*Closteroviridae|D029381|15246|MH|RtM via: Fig leaf mottle-associated virus 2|TI|MM|923^34^0
41998428|*Viruses, Unclassified|D014713|4740|MH|RtM via: AS virus|TI|MM|1234^5^0
41998428|*Plant Leaves|D018515|2853|MH|RtM via: Plant Leaves|TI|MM;RC|764^4^0;391^6^0;307^6^0;108^6^0
41998428|Satellite Viruses|D012526|1000|MH|Forced Non-Leaf Node Lookup:associated virus||MM|890^16^0;939^16^0
41998221|*Viroids|D014772|272115|MH|RtM via: Viroids;Forced Leaf Node Lookup:viroids;checkForceMH Boosted|TI|MM;RC|945^6^0;919^6^0;394^6^0;377^6^0;119^7^0;617^6^0;735^6^0;775^6^0
41998221|Hop stunt viroid|C000623745|176023|NM|RtM via: Hop stunt viroid;Forced SCR Leaf Node Lookup:hop stunt viroid|TI|MM|970^4^1;977^4^1;999^4^0;543^16^0
41998221|Citrus dwarfing viroid|C000623872|143845|NM|RtM via: Citrus dwarfing viroid;Forced SCR Leaf Node Lookup:citrus viroid iii|TI|MM|568^17^0
41998221|*Citrus|D002957|46974|MH|RtM via: Citrus medica;RtM via: Citrus plant;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrus|TI|MM;RC|357^6^0;1006^7^0;183^6^0;112^6^0;600^6^0;728^6^0;758^6^0
41998221|*Trees|D014197|32868|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|876^5^0;190^5^0
41998221|Arizona|D001130|16089|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|334^7^0
41998221|*Plant Viruses|D010942|176022|HM|RtM via: Citrus dwarfing viroid;RtM via: Hop stunt viroid|TI|MM;RC|568^17^0;970^4^1;977^4^1;999^4^0;543^16^0
41998221|*Nucleic Acid Hybridization|D009693|3948|MH|RtM via: Nucleic acid hybridization procedure|TI|MM;RC|505^13^0
41998221|*Hybridization, Genetic|D006824|1449|MH|RtM via: Crossbreeding|TI|MM|505^13^0
41998221|*Electrophoresis, Polyacrylamide Gel|D004591|897|MH|RtM via: Polyacrylamide Gel Electrophoresis;Forced Non-Leaf Node Lookup:polyacrylamide gel electrophoresis|TI|MM;RC|439^34^0
41998221|Plant Leaves|D018515|1000|MH|Forced Non-Leaf Node Lookup:leaf||MM;RC|770^4^0
41998221|Italy|D007558|0|MH|RtM via: Italy|TI|MM|809^5^0;160^5^0
41998831|*Fusarium|D005670|87730|MH|RtM via: Fusarium;RtM via: Fusarium oxysporum;Forced Leaf Node Lookup:fusariums;checkForceMH Boosted|TI|MM;RC|707^16^0;74^18^0
41998831|*Pathology, Molecular|D057089|8582|MH|RtM via: molecular diagnostics (lab procedure);Forced Leaf Node Lookup:molecular diagnostics|TI|MM|43^20^0
41998831|*Polymorphism, Single Nucleotide|D020641|7934|MH|RtM via: Single Nucleotide Polymorphism;Forced Leaf Node Lookup:single nucleotide polymorphisms|TI|MM|345^30^0
41998831|Fusarium oxysporum|C000677527|6480|NM|Forced New Lookup:fusarium oxysporum|TI|MM|74^18^0
41998831|*Limit of Detection|D057230|6479|MH|Forced Leaf Node Lookup:detection limits|TI|MM|815^15^0;1009^15^0
41998831|*PCR|D016133|22926|ET|Entry Term Replacement for "Polymerase Chain Reaction";RtM via: Polymerase Chain Reaction;RtM via: Nested Polymerase Chain Reaction;Forced Non-Leaf Node Lookup:nested pcr|TI|MM;RC|778^3^0;1066^10^0;907^10^0
41998831|*Plants|D010944|6732|MH|RtM via: Host plants|TI|MM;RC|1175^11^0
41998831|*DNA|D004247|6459|MH|RtM via: DNA;RtM via: Genomic DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|590^3^0;1048^11^0;691^3^0;1056^3^0
41998831|*Fungus|D005658|4746|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|501^6^0
41998831|*Genomics|D023281|3051|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM|881^7^0;1048^7^0
41998819|*Spiroplasma citri|D045642|66046|MH|RtM via: Spiroplasma citri;Forced Leaf Node Lookup:spiroplasma citri;checkForceMH Boosted|TI|MM;RC|76^17^0
41998819|*Citrus sinensis|D032084|28636|MH|RtM via: Citrus sinensis;Forced Leaf Node Lookup:orange trees;checkForceMH Boosted|TI|MM;RC|357^12^0;351^12^0
41998819|*Citrus|D002957|27773|MH|RtM via: Citrus plant;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrus|TI|MM;RC|1293^3^0;214^6^0;35^6^0;122^6^0
41998819|*Trees|D014197|17733|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1261^5^0;1067^4^0;1007^5^0;856^5^0;739^5^0;576^4^0;364^5^0;269^5^0;927^5^0
41998819|*Fruit|D005638|12497|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|1207^5^0;946^5^0;827^5^0;566^5^0;493^5^0;552^5^0
41998819|*Spiroplasma|D013149|11315|MH|RtM via: Spiroplasma;checkForceMH Boosted;Forced Non-Leaf Node Lookup:spiroplasma|TI|MM;RC|806^11^0
41998819|*Sunburn|D013471|6197|MH|RtM via: Solar Erythema;RtM via: Sunburn;Forced Leaf Node Lookup:sunburns|TI|MM|616^7^0
41998819|*PCR|D016133|1122|ET|Entry Term Replacement for "Polymerase Chain Reaction";RtM via: Polymerase Chain Reaction;Forced Non-Leaf Node Lookup:pcr|TI|MM;RC|798^3^0
41998819|*Bacteria|D001419|885|MH|RtM via: Bacterial|TI|MM|713^9^0;243^9^0
41998819|California|D002140|0|MH|RtM via: California|TI|MM|1360^10^0;403^10^0
41998047|*Xanthomonas vesicatoria|D044184|15029|MH|RtM via: Xanthomonas vesicatoria;checkForceMH Boosted|TI|MM|208^11^1;235^11^1
41998047|*Xanthomonas campestris|D016959|7789|MH|Forced Leaf Node Lookup:xanthomonas campestris;checkForceMH Boosted|TI|MM;RC|208^22^0
41998047|*RNase|D012260|7013|ET|Entry Term Replacement for "Ribonucleases";RtM via: Ribonucleases;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rnase|TI|MM;RC|595^5^0;71^5^0;417^5^0
41998047|*RNA|D012313|4574|MH|RtM via: RNA;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rna|TI|MM|675^3^0
41998047|*Cell Extracts|D002457|4567|MH|RtM via: Cell Extracts;Forced Leaf Node Lookup:cell extracts;checkForceMH Boosted|TI|MM|776^13^0
41998047|*Edetic Acid|D004492|3940|MH|Forced Leaf Node Lookup:edta;checkForceMH Boosted|TI|MM|737^4^0
41998047|*Plant|D010944|4884|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|894^5^0
41998047|*Genetic Techniques|D005821|2841|MH|RtM via: Deoxyribonucleic Acid Measurement|TI|MM|683^3^0
41998047|*Biochemical Phenomena|D001669|2274|MH|RtM via: nuclease activity;RtM via: deoxyribonuclease I activity|TI|MM|701^17^0;81^16^0
41998047|*DNA|D004247|1941|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM|683^3^0
41998047|Plant Extracts|D010936|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM|508^8^0
41998047|Deoxyribonucleases|D003851|1000|MH|Forced Non-Leaf Node Lookup:dnase||MM|81^5^0
41998047|Zinc|D015032|1000|MH|Forced Non-Leaf Node Lookup:zn||MM|568^2^0;746^2^0
41999034|*Leptosphaeria|D000084744|8920|MH|RtM via: Leptosphaeria maculans;Forced New Lookup:leptosphaeria;checkForceMH Boosted|TI|MM|283^22^0;80^13^0
41999034|*Phoma|D000084723|7792|MH|RtM via: Genus Phoma;Forced New Lookup:phoma;checkForceMH Boosted|TI|MM|1325^5^0;903^5^0;1034^5^0
41999034|*Incidence|D015994|4955|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|919^9^0
41999034|*Prevalence|D015995|4241|MH|RtM via: Statistical Prevalence;Forced Leaf Node Lookup:prevalences|TI|MM|1166^10^0;605^10^0
41999034|Lithuania|D008097|3791|MH|RtM via: Lithuania;Forced Leaf Node Lookup:lithuania|TI|MM|1195^9^0;154^9^0
41999034|*Cultural Characteristics|D003466|3305|MH|RtM via: Cultural Characteristics;Forced Leaf Node Lookup:cultural characteristics|TI|MM|370^24^0;179^24^0
41999034|*Amplified Fragment Length Polymorphism Analysis|D054458|3269|MH|Forced Lookup:aflp|TI|MM|851^4^0
41999034|*Brassica napus|D029688|26871|MH|RtM via: Brassica napus|TI|MM;RC|939^12^0;115^12^0
41999034|*Spores, Fungal|D013172|14727|MH|RtM via: Kingdom Fungi ascospore|TI|MM;RC|70^9^0
41999034|*Fungus|D005658|3723|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|1259^6^0
41999034|*Reproduction|D012098|1623|MH|RtM via: sexual reproduction;RtM via: conjugation with cellular fusion;RtM via: mating;RtM via: parasexual conjugation with cellular fusion;Forced Non-Leaf Node Lookup:reproduction|TI|MM|874^19^0;755^6^0;881^12^0
41999034|*Epidemics|D058872|360|MH|RtM via: Epidemic;Forced Non-Leaf Node Lookup:epidemics|TI|MM|1343^9^0
41999034|Genetic Variation|D014644|1000|MH|Forced Non-Leaf Node Lookup:genetic variations||MM;RC|791^17^0
41999034|Europe|D005060|2361|MH|RtM via: Europe|TI|MM|1269^6^0
41998419|Animals|D000818|16436|CT|Milk;CT Treecode Lookup: A12.200.455 (Milk);Milk;CT Treecode Lookup: J02.200.700 (Milk);Milk;CT Treecode Lookup: J02.500.350.525 (Milk)||MM;RC
41998419|*Phytoplasma|D045582|15436|MH|RtM via: Phytoplasma;Forced Leaf Node Lookup:phytoplasma;checkForceMH Boosted|TI|MM;RC|891^11^0
41998419|*Zea mays|D003313|11850|MH|RtM via: Zea;RtM via: Maize;RtM via: Zea mays;Forced Leaf Node Lookup:maize;Forced Leaf Node Lookup:corn;checkForceMH Boosted|TI|MM;RC|982^2^0;823^2^0;264^2^0;21^4^0;1011^5^0
41998419|*Milk|D008892|2249|MH|RtM via: Cow's milk;RtM via: Milk (body substance);RtM via: Milk - dietary;Forced Leaf Node Lookup:milk|TI|MM|429^4^0
41998419|Serbia|D055771|1328|MH|RtM via: Serbia;Forced Leaf Node Lookup:serbia|TI|MM;RC|73^6^0
41998419|Plant Breeding|D000069600|2185|MH|Replacement of Breeding Plants Found||MM
