42901758|Animals|D000818|6458|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
42901850|*Corbicula|D049874|5445|MH|RtM via: Corbicula fluminea;Forced Leaf Node Lookup:corbiculas;checkForceMH Boosted|TI|MM|2886^18^0;650^18^0
42901850|*Ecosystem|D017753|5055|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|2180^10^0
42901850|*Gastrointestinal Contents|D005766|4881|MH|RtM via: Gastric Content;Forced Leaf Node Lookup:stomach contents|TI|MM|1688^15^0
42901850|*Pseudomonas aeruginosa|D011550|4842|MH|Forced Leaf Node Lookup:aeruginosa;checkForceMH Boosted|TI|MM|635^10^0;2872^10^0
42901850|*Lakes|D060106|4113|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|150^4^0;105^4^0;174^4^0;308^4^0;385^4^0;486^4^0;949^4^0;1111^4^0;1220^4^0;1382^4^0;1473^4^0;1590^4^0;2013^4^0
42901850|*Carbon|D002244|2883|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|988^6^0;705^6^0;67^6^0;863^6^0
42901850|*Fishes|D005399|6414|MH|RtM via: Coilia nasus;RtM via: Fishes;RtM via: Anchovy (fish);RtM via: Family Engraulidae|TI|MM|2314^25^0;2013^12^0;1590^12^0;1382^12^0;1220^12^0;949^12^0;486^12^0;174^12^0;119^6^1;133^10^1;105^12^0;1633^4^0;619^4^0;256^4^0;1870^7^0
42901850|*Seafood|D017747|4335|MH|RtM via: Anchovy - dietary|TI|MM|1870^7^0
42901850|*Diet|D004032|3432|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diets|TI|MM|1665^5^0;1885^4^0;1528^4^0;1124^4^0;532^5^0;600^4^0;1434^10^0;1440^4^0
42901850|*Nutritional Status|D009752|2781|MH|RtM via: Nutritional status|TI|MM|2148^7^0;1356^7^0
42901850|China|D002681|309|MH|RtM via: China|TI|MM|163^5^0
42902539|Humans|D006801|7560659|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|70^5^0;338^5^0
42902539|*Seed Bank|D000068098|570118|MH|RtM via: Seed Bank;Forced Leaf Node Lookup:seed banks|TI|MM|1492^9^0;1088^10^0;824^9^0;400^10^0;126^10^0;260^10^0
42902539|*Plantago|D010943|563629|MH|RtM via: Plantago major;Forced Leaf Node Lookup:plantago;checkForceMH Boosted|TI|MM|3315^14^0;1314^14^0
42902539|*Rubus|D065856|563119|MH|RtM via: Rubus idaeus;Forced Leaf Node Lookup:rubus idaeus;checkForceMH Boosted|TI|MM|3421^12^0;1461^12^0
42902539|*Anemone|D031883|563110|MH|RtM via: Anemone canadensis;Forced Leaf Node Lookup:anemones;checkForceMH Boosted|TI|MM|3399^18^0;1438^18^0
42902539|*Poa|D031785|562792|MH|Forced Leaf Node Lookup:poa pratenses;checkForceMH Boosted|TI|MM|1154^12^0;3129^12^0
42902539|*Urban Renewal|D014506|284636|MH|RtM via: Urban Development;Forced Leaf Node Lookup:urban developments|TI|MM|1593^17^0
42902539|*Soils|D012987|283724|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|817^5^0
42902539|Manitoba|D008350|281915|MH|RtM via: Manitoba;Forced Leaf Node Lookup:manitoba|TI|MM|2274^8^0;492^8^0
42902539|*Conservation of Natural Resources|D003247|5169|MH|RtM via: Natural regeneration|TI|MM|183^12^0
42902539|*Agriculture|D000383|4041|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|1615^11^0
42902539|*Forests|D065928|3573|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1537^7^0;514^6^0;442^7^0;253^6^0;199^7^0;30^7^0
42902539|*Habitats|D017753|3159|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1970^8^0
42902539|*Seeds|D012639|486|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|691^5^0
42902539|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|183^12^0
42902539|North America|D009656|747|MH|RtM via: North America|TI|MM|111^13^0
[3]: *** ERROR *** ERROR *** ERROR ***
42902073|Female|D005260|13339|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|194^6^0;355^6^0;729^6^0;1285^6^0;1448^6^0
42902073|Animals|D000818|13339|CT|Reindeer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Reindeer);Wolves;CT Treecode Lookup: B01.050.150.900.649.313.750 (Wolves);Homing Behavior;CT Treecode Lookup: F01.145.113.646 (Homing Behavior)|TI|MM
42902073|*Reindeer|D012053|12339|MH|RtM via: Rangifer tarandus caribou;RtM via: Reindeer;Forced Leaf Node Lookup:rangifer;Forced Leaf Node Lookup:caribou;checkForceMH Boosted|TI|MM|4396^25^0;2065^25^0;124^25^0;6191^7^0;5996^8^0;5775^8^0;5104^8^0;4938^8^0;4665^8^0;4494^8^0;4377^7^0;3860^7^0;3665^8^0;3444^8^0;2773^8^0;2607^8^0;2334^8^0;2163^8^0;2046^7^0;1595^7^0;1455^7^0;1292^7^0;736^7^0;574^7^0;362^7^0;201^7^0;115^7^0;142^7^0;2083^7^0;4414^7^0
42902073|*Wolves|D019596|8765|MH|RtM via: Canis lupus;RtM via: Wolves;Forced Leaf Node Lookup:wolf;checkForceMH Boosted|TI|MM|1683^4^0
42902073|*Taiga|D066188|7609|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|158^13^0
42902073|*Lichens|D008011|6789|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|6428^7^0;5841^7^0;5053^7^0;4821^7^0;4097^7^0;3510^7^0;2722^7^0;2490^7^0;1802^7^0;1339^6^0;714^7^0;483^6^0
42902073|*Biomass|D018533|5141|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|1779^7^0;1346^7^0;675^7^0;2710^8^0;3488^8^0;4080^8^0;5041^8^0;5819^8^0;6411^8^0
42902073|*Trees|D014197|4699|MH|RtM via: Trees (plant);checkForceMH Boosted|TI|MM|705^8^0
42902073|*Homing Behavior|D006702|4351|MH|RtM via: Home Range;Forced Leaf Node Lookup:home ranges|TI|MM|553^11^0
42902073|*Logistic Models|D016015|2305|MH|RtM via: Logistic Regression;Forced Leaf Node Lookup:logistic regressions|TI|MM|1221^20^0
42902073|*Forest|D065928|3576|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1706^6^0;297^6^0;21^6^0;99^6^0
42902073|*Snow|D012914|3318|MH|RtM via: Snow (substance);RtM via: snow - weather|TI|MM|1430^4^0;818^4^0;399^4^0
42902073|*Picea|D028222|1539|MH|RtM via: Picea|TI|MM|1387^6^0
42902073|*Pruritus|D011537|1518|MH|RtM via: Lichen disease|TI|MM|6428^7^0;5841^7^0;5053^7^0;4821^7^0;4097^7^0;3510^7^0;2722^7^0;2490^7^0;1802^7^0;1339^6^0;714^7^0;483^6^0
42902073|*Food Supply|D005523|555|MH|RtM via: Food Supply;Forced Non-Leaf Node Lookup:food supply|TI|MM|600^11^0
42902073|Canada|D002170|327|MH|RtM via: Canada|TI|MM|4602^6^0;2271^6^0;315^6^0
42902398|Humans|D006801|4234|CT|American Natives;CT Treecode Lookup: M01.686 (American Natives);CT Text Lookup: human|TI|MM;RC|827^5^0
42902398|Animals|D000818|4234|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)||MM
42902398|*Trees|D014197|3234|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1278^4^0
42902398|*Droughts|D055864|2331|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|1780^8^0
42902398|*Conifer|D064028|1902|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|254^7^0
42902398|*Cicatrix|D002921|1374|MH|RtM via: Scar Tissue;RtM via: Cicatrix;Forced Leaf Node Lookup:scar|TI|MM|226^4^0;2262^10^0;2153^10^0
42902398|Argentina|D001118|681|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|44^9^0
42902398|*American Natives|D000086562|678|MH|Forced New Lookup:native american|TI|MM|480^15^0;592^15^0
42902398|*Woodlands|D065928|2145|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|92^9^0
42902398|*Fires|D005390|1473|MH|RtM via: Fire - disasters|TI|MM|1637^4^0;1391^4^0;1195^4^0;908^5^0;774^5^0;549^4^0;397^4^0;221^4^0;134^4^0
42902398|*Lepidoptera|D007915|960|MH|RtM via: Telles|TI|MM|3366^6^0
42902398|*Weather|D014887|930|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|1105^7^0
42902398|*Activities, Human|D006802|705|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activities|TI|MM|1579^16^0;827^16^0
42902398|*Occupation|D009790|135|ET|Entry Term Replacement for "Occupations";RtM via: Occupations;Forced Non-Leaf Node Lookup:occupations|TI|MM|496^10^0;2468^10^0
42901600|Cats|D002415|2404|CT|RtM via: Felis catus;Forced Leaf Node Lookup:domestic cats;Forced Leaf Node Lookup:felis catus|TI|MM|965^11^0;113^13^0;128^11^0
42901600|Male|D008297|2404|CT|Forced Lookup:male;CT Text Lookup: male;CT Text Lookup: males;Forced Non-Leaf Node Lookup:males|TI|MM;RC|326^4^0;482^4^0;250^5^0;791^5^0
42901600|Female|D005260|2404|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|304^6^0;723^6^0
42901600|Animals|D000818|2404|CT|RtM via: Felis catus;Gadiformes;CT Treecode Lookup: B01.050.150.900.493 (Gadiformes)|TI|MM|965^11^0;113^13^0;128^11^0
42901600|*Behavior Observation Techniques|D000067289|923|MH|RtM via: Behavior Observation Techniques;Forced Leaf Node Lookup:behavioural observations|TI|MM|427^24^0;224^24^0
42901600|*Reproduction|D012098|1404|MH|RtM via: conjugation with cellular fusion;RtM via: mating;RtM via: parasexual conjugation with cellular fusion|TI|MM|412^6^0
42901600|*Polygyny|D008393|885|ET|Entry Term Replacement for "Marriage";RtM via: Polygyny|TI|MM|389^10^0
42901600|*Cyclophosphamide|D003520|390|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|1405^4^0
42901600|*Gadiformes|D048388|363|MH|RtM via: Merluccius merluccius|TI|MM|950^5^0
42901600|*Genotypes|D005838|234|ET|Entry Term Replacement for "Genotype";RtM via: Genotype;Forced Non-Leaf Node Lookup:genotypes|TI|MM|210^9^0
42901600|*Microsatellite|D018895|177|ET|Entry Term Replacement for "Microsatellite Repeats";RtM via: Short Tandem Repeat;Forced Non-Leaf Node Lookup:microsatellites|TI|MM|1099^15^0;195^14^0
42901462|Animals|D000818|4318|CT|Moths;CT Treecode Lookup: B01.050.500.131 (Moths);Insect;CT Treecode Lookup: B01.050.500.131 (Insect)|TI|MM
42901462|*Lichens|D008011|3318|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|2608^6^0;2386^6^0;2154^7^0;1447^6^0;1183^6^0;790^6^0;600^6^0;414^6^0
42901462|*Picea|D028222|3160|MH|RtM via: Picea;RtM via: Picea mariana;Forced Leaf Node Lookup:spruce trees;checkForceMH Boosted|TI|MM|1150^12^0;545^18^0;667^12^0;401^12^0;551^12^0
42901462|*Parmeliaceae|D000068837|2337|MH|RtM via: Bryoria|TI|MM|3243^7^0;2969^7^0;2514^7^0;2402^7^0;1304^7^0;1112^7^0;697^7^0;607^7^0
42901462|*Health Services|D006296|1575|MH|RtM via: Test Method|TI|MM|374^6^0
42901462|*Research|D012106|1398|MH|RtM via: Study Branch|TI|MM|2998^8^0;1747^8^0;1132^8^0;60^6^0
42901462|*Causality|D015984|1275|MH|RtM via: Etiology|TI|MM|44^6^0
42901462|*Moths|D009036|366|MH|RtM via: Choristoneura fumiferana;Forced Non-Leaf Node Lookup:spruce budworm|TI|MM|1381^14^0;1273^14^0;952^14^0;851^14^0;480^14^0;21^14^0
42901462|*Insect|D007313|345|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1631^6^0
42901462|*Woodlands|D065928|324|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|421^9^0
42901462|North America|D009656|1000|MH|Forced Non-Leaf Node Lookup:north america||MM|442^13^0
42900622|Male|D008297|7285|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|339^4^0
42900622|Animals|D000818|7285|CT|Sticklebacks;CT Treecode Lookup: B01.050.150.900.493 (Sticklebacks);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes)|TI|MM
42900622|Humans|D006801|1000|CT|Forced Humans:D Health Personnel||MM
42900622|*Sticklebacks|D023701|5946|ET|Entry Term Replacement for "Smegmamorpha";RtM via: Gasterosteus aculeatus;RtM via: Sticklebacks;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sticklebacks|TI|MM|1125^22^0;968^25^0;51^22^0;25^24^0;701^11^0;344^12^0;981^12^0;38^11^0;782^11^0
42900622|*Parasites|D010271|2883|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|1598^9^0;462^9^0
42900622|*Predatory Behavior|D011235|2403|MH|RtM via: Predatory Behavior;Forced Leaf Node Lookup:predation|TI|MM|426^9^0
42900622|*Laboratories|D007753|1596|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|1062^10^0;864^10^0
42900622|Plant Breeding|D000069600|2770|MH|Replacement of Breeding Plants Found||MM
42900622|*Reproduction|D012098|6285|MH|RtM via: conjugation with cellular fusion;RtM via: mating;RtM via: parasexual conjugation with cellular fusion;RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|933^6^0;2132^12^0;1470^12^0;1273^12^0
42900622|*Fishes|D005399|1815|MH|RtM via: Fishes|TI|MM|124^4^0
42900622|*Maintenance|D008283|960|MH|RtM via: Maintenance|TI|MM|371^11^0
42900622|*Health Personnel|D006282|756|MH|RtM via: Biologist (general)|TI|MM|794^10^0
42900622|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|182^7^0;957^7^0
42900622|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1222^3^0
42900622|vif protein, Human immunodeficiency virus 1|C514847|1000|NM|Forced SCR Human Protein Found: vif|TI|MM|1422^3^0
42900622|*vif Gene Products, Human Immunodeficiency Virus|D054320|1000|MH|Forced HM Human Protein SCR Found|TI|MM
42900622|vif protein, Human immunodeficiency virus 2|C514848|1000|NM|Forced SCR Human Protein Found: vif|TI|MM|1422^3^0
42902347|Animals|D000818|7528|CT|CT Text Lookup: rabbit|TI|MM|1153^6^0;192^7^0;232^7^0;530^7^0;622^7^0;645^7^0;777^7^0;1131^7^0;1225^7^0
42902347|Rabbits|D011817|7528|CT|RtM via: Rabbits;Forced Leaf Node Lookup:rabbits;CT Text Lookup: rabbit|TI|MM|1153^6^0
42902347|Female|D005260|7528|CT|Forced Lookup:female;Mothers;CT Treecode Lookup: F01.829.263.500.320.200 (Mothers);Mothers;CT Treecode Lookup: I01.880.853.150.500.340.270 (Mothers);Mothers;CT Treecode Lookup: M01.620.630 (Mothers);CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|860^6^0
42902347|Humans|D006801|1000|CT|Forced Humans:D Mothers||MM
42902347|*Edible Grain|D002523|5713|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|1177^6^0
42902347|*Roughage|D004043|5408|ET|Entry Term Replacement for "Dietary Fiber";RtM via: Roughage;checkForceMH Boosted;Forced Non-Leaf Node Lookup:roughages|TI|MM|1080^8^0
42902347|*Weaning|D014886|5372|MH|RtM via: Weaning;Forced Leaf Node Lookup:weanings|TI|MM|1044^7^0;906^7^0;1063^7^0;1196^7^0
42902347|*Mothers|D009035|3494|MH|RtM via: Mother (person);Forced Leaf Node Lookup:mothers|TI|MM|883^7^0;808^7^0
42902347|*Animals, Wild|D000835|2858|MH|RtM via: Animals, Wild;checkForceMH Boosted|TI|MM|518^4^1;530^7^1
42902347|*Laboratories|D007753|2504|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|137^10^0;176^10^0;752^10^0
42902347|Sweden|D013548|2171|MH|RtM via: Swedish ethnic group;Forced Leaf Node Lookup:swedish|TI|MM|637^7^0;380^7^0;209^7^0
42902347|Plant Breeding|D000069600|1708|MH|Replacement of Breeding Plants Found||MM
42902347|*Biological Phenomena|D001686|6528|MH|RtM via: Tissue Growth;RtM via: Anatomical maturation|TI|MM|44^6^0;3142^10^0;1398^10^0
42902347|*Diet|D004032|5559|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diets|TI|MM|1184^5^0;1099^4^0;961^4^0;839^4^0;711^4^0;568^4^0;312^4^0;1071^5^0;1251^5^0;604^4^0;737^4^0;1115^4^0
42902347|*Physiological Phenomena|D010829|4527|MH|RtM via: Reflecting|TI|MM|1004^7^0
42902347|*Nutritional Status|D009752|3420|MH|RtM via: Nutritional status|TI|MM|1440^9^0
42902347|*Food Habits|D005247|3810|ET|Entry Term Replacement for "Feeding Behavior";RtM via: Food Habits;Forced Non-Leaf Node Lookup:food habits|TI|MM|361^11^0
42902347|*Reproduction|D012098|1680|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|1474^12^0;674^12^0;55^12^0;2262^12^0
42902347|*Stable Populations|D011157|894|ET|Entry Term Replacement for "Population Dynamics";RtM via: Stable Population;Forced Non-Leaf Node Lookup:stable populations|TI|MM|430^18^0
42902347|*Arvicolinae|D003411|612|MH|RtM via: Clethrionomys glariolus;Forced Non-Leaf Node Lookup:clethrionomys;Forced Non-Leaf Node Lookup:voles|TI|MM|1501^23^0;71^10^0;82^23^0;76^5^0
42902347|Digestion|D004063|1000|MH|Forced Non-Leaf Node Lookup:digestion||MM|2707^9^0
42901856|Humans|D006801|10827223|CT|Forced Humans: individuals|TI|MM;RC
42901856|Adult|D000328|10827223|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|283^5^0
42901856|Animals|D000818|10827223|CT|Acari;CT Treecode Lookup: B01.050.500.131 (Acari);Mites;CT Treecode Lookup: B01.050.500.131 (Mites)|TI|MM
42901856|*Trees|D014197|1303059|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1294^4^0;423^5^0;180^5^0
42901856|Profil|C546490|867997|NM|RtM via: Profil;Forced SCR Leaf Node Lookup:profil|TI|MM|1691^6^0
42901856|*Rainforest|D065947|437283|MH|RtM via: Temperate Rainforest;Forced Leaf Node Lookup:temperate rainforests|TI|MM|191^20^0
42901856|*Mites|D008925|435357|MH|RtM via: Mites;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oribatida|TI|MM|1495^4^0;939^4^0;298^5^0;95^5^0;109^9^0;1643^9^0
42901856|*Composite Resins|D003188|867996|HM|RtM via: Profil|TI|MM|1691^6^0
42901856|*Islands|D062312|1239|MH|RtM via: Islands|TI|MM|225^6^0
42901856|Plexosarcoma|C537517|874|NM|RtM via: Plexosarcoma|TI|MM|1728^5^0
42901856|*Sarcoma|D012509|873|HM|RtM via: Plexosarcoma|TI|MM|1728^5^0
42901856|*Autonomic Nervous System Diseases|D001342|258|HM|RtM via: Plexosarcoma|TI|MM|1728^5^0
42901856|*Gastrointestinal Stromal Tumors|D046152|807|HM|RtM via: Gastrointestinal Stromal Tumors;RtM via: Plexosarcoma|TI|MM|1728^5^0
42901856|*Spatial Autocorrelation|D062206|825|ET|Entry Term Replacement for "Spatial Analysis";RtM via: Spatial Autocorrelation;Forced Non-Leaf Node Lookup:spatial autocorrelations|TI|MM|675^23^0
42901856|Canada|D002170|12|MH|RtM via: Canada|TI|MM|1787^6^0;233^6^0
42901503|Male|D008297|9919|CT|Forced Lookup:male;CT Text Lookup: both sexes;CT Text Lookup: male;CT Text Lookup: males;Forced Non-Leaf Node Lookup:males|TI|MM;RC|551^4^0;800^4^0;841^4^0;589^10^0;424^5^0;713^5^0;1273^5^0
42901503|Female|D005260|9919|CT|Forced Lookup:female;CT Text Lookup: both sexes;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|400^6^0;850^6^0;1295^6^0;589^10^0
42901503|Animals|D000818|9919|CT|Bufo bufo;CT Treecode Lookup: B01.050.150.900.090 (Bufo bufo);Ferrets;CT Treecode Lookup: B01.050.150.900.649.313.750 (Ferrets);Lagomorphs;CT Treecode Lookup: B01.050.150.900.649.313.968 (Lagomorphs);Rodents;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodents);Copulation;CT Treecode Lookup: F01.145.113.252 (Copulation);Ranidae;CT Treecode Lookup: B01.050.150.900.090 (Ranidae)|TI|MM
42901503|*Sex Characteristics|D012727|8919|MH|RtM via: Sex Characteristics;RtM via: sexual dimorphism (cellular);Forced Leaf Node Lookup:sexual dimorphisms;Forced Leaf Node Lookup:dimorphism|TI|MM|990^17^0;140^17^0;56^17^0;1217^10^0
42901503|*Bufo bufo|D002023|5127|MH|RtM via: Bufo bufo;Forced Leaf Node Lookup:bufo bufo;checkForceMH Boosted|TI|MM|1951^9^0;476^9^0
42901503|*Ferrets|D005289|4596|MH|RtM via: Mustela putorius;Forced Leaf Node Lookup:mustela putorius;checkForceMH Boosted|TI|MM|1693^16^0;233^16^0
42901503|*Lagomorphs|D007793|3933|ET|Entry Term Replacement for "Lagomorpha";RtM via: Lagomorpha;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lagomorphs|TI|MM|366^10^0
42901503|*Rodents|D012377|3798|ET|Entry Term Replacement for "Rodentia";RtM via: Rodent;checkForceMH Boosted|TI|MM|667^7^0
42901503|*Copulation|D003307|3366|MH|RtM via: Copulation;Forced Leaf Node Lookup:copulations|TI|MM|2782^10^0
42901503|*Sexual Selection|D000082723|2580|MH|RtM via: Sexual Selection;Forced New Lookup:sexual selection|TI|MM|1348^16^0
42901503|*Reproduction|D012098|4968|MH|RtM via: conjugation with cellular fusion;RtM via: mating;RtM via: parasexual conjugation with cellular fusion|TI|MM|1256^6^0
42901503|*Diet|D004032|3801|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM|581^4^0;494^4^0;392^4^0;196^4^0
42901503|*Food|D005502|3504|MH|RtM via: Food|TI|MM|1287^4^0
42901503|*Nutritional Status|D009752|2946|MH|RtM via: Nutritional status|TI|MM|1161^7^0
42901503|*Ranidae|D011898|1233|MH|RtM via: Rana dalmatina;Forced Non-Leaf Node Lookup:rana|TI|MM|1933^14^0;457^14^0
42901503|*Habits|D006184|672|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|300^6^0
42901822|Male|D008297|5569|CT|Forced Lookup:male;CT Text Lookup: male;CT Text Lookup: males;Forced Non-Leaf Node Lookup:males|TI|MM;RC|482^4^0;547^4^0;826^4^0;386^5^0;619^5^0;1061^5^0;1157^5^0;1327^5^0
42901822|Female|D005260|5569|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|168^6^0;234^6^0;313^6^0;348^6^0;445^6^0;654^6^0;866^6^0;1280^6^0
