10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/1217806|*Universities|C0041740|3003|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|1904^10^0
10.2307/1217806|*Publication|C0034036|12762|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|176^11^0
10.2307/1217806|*Publishing|C0034037|12636|MH|RtM via: Publishing|TI|MM;RC|176^11^0
10.2307/1217806|*Organization|C0029246|3702|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM;RC|1867^12^0;1297^12^0;46^12^0
10.2307/1217806|*Fees|C0015751|1368|ET|Entry Term Replacement for "Fees and Charges";RtM via: Fees|TI|MM|445^4^0
10.2307/1217806|England|C0014282|9|MH|RtM via: England|TI|MM|1930^7^0
10.2307/1216021|*Basidiomycota|C0004810|21324|MH|RtM via: Agaricomycotina;RtM via: Ditangium;RtM via: Craterocolla;RtM via: Botryobasidium;RtM via: Syzygospora|TI|MM;RC|99^13^0;430^9^0;211^9^0;461^12^0;581^14^0;235^11^0
10.2307/1216021|*Mitosporic Fungi|C0011746|7635|MH|RtM via: Sporobolomycetaceae|TI|MM;RC|131^19^0
10.2307/1216021|*Agaricales|C0001774|3588|MH|RtM via: Asterophora|TI|MM|627^8^0;414^11^0;444^8^0;155^11^0
10.2307/1216726|*Citrullus|C0950015|15842|MH|RtM via: Citrullus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrullus|TI|MM|507^9^0
10.2307/1216726|*Brassicaceae|C0524824|2019|MH|RtM via: Carrichtera|TI|MM|213^11^0
10.2307/1216726|*Euphorbiaceae|C0446243|1503|MH|RtM via: Gelonium|TI|MM|379^8^0
10.2307/1216726|*Lecythidaceae|C0996744|1311|MH|RtM via: Lecythis|TI|MM|327^8^0
10.2307/1216726|*Seeds|C0036563|987|MH|RtM via: Plant seeds;RtM via: Turpinia|TI|MM|46^13^0;249^8^0
10.2307/1217562|*Computer|C0009622|6936|ET|Entry Term Replacement for "Computers";RtM via: Computers|TI|MM;RC|572^8^0
10.2307/1217562|*Hybridization, Genetic|C0020202|3804|MH|RtM via: Crossbreeding|TI|MM|985^13^0
10.2307/1217562|*Nucleic Acid Hybridization|C1300517|2832|MH|RtM via: Nucleic acid hybridization procedure|TI|MM|985^13^0
10.2307/1217562|*Botany|C0006038|1428|MH|RtM via: Botany;Forced Non-Leaf Node Lookup:botany|TI|MM|717^6^0
10.2307/1217562|*Electronic Data Processing|C0004374|4278|MH|RtM via: Automatic Data Processing;Forced Non-Leaf Node Lookup:electronic data processing|TI|MM|55^26^0
10.2307/1217562|Cytogenetic Analysis|C0752095|1000|MH|Forced Non-Leaf Node Lookup:cytogenetic||MM|918^11^0
10.2307/1217563|*Liverworts|C0996514|42249|ET|Entry Term Replacement for "Hepatophyta";RtM via: Marchantiophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:liverworts|TI|MM|327^10^0
10.2307/1217563|*Bryophyta|C0282635|29835|MH|RtM via: Mosses|TI|MM|215^4^0
10.2307/1217563|*Bryopsida|C0996526|2982|MH|RtM via: Mnium|TI|MM|226^5^0
10.2307/1217563|*Name|C0027365|459|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|203^4^0
10.2307/1217563|*Phoeniceae|C1095761|144|MH|RtM via: Date Fruit|TI|MM|161^5^0
10.2307/1216918|Animals|C0003062|20086|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
10.2307/1216918|*Sorghum|C0331570|19086|MH|RtM via: Sorghum;Forced Leaf Node Lookup:sorghums;checkForceMH Boosted|TI|MM;RC|136^7^0
10.2307/1216918|*Harrisonia|C1010962|6444|ET|Entry Term Replacement for "Simaroubaceae";RtM via: Harrisonia;checkForceMH Boosted|TI|MM|152^10^0
10.2307/1216918|*Edible Grain|C4042883|3858|MH|RtM via: Sorghum (Food)|TI|MM;RC|136^7^0
10.2307/1216918|*Fabaceae|C0023263|1734|MH|RtM via: Piliostigma|TI|MM|94^11^0
10.2307/1216918|*Asparagales|C1030020|558|MH|RtM via: Cyanastrum|TI|MM|314^10^0
10.2307/1216918|*Coleoptera|C0009276|312|MH|RtM via: Phyllocharis|TI|MM|268^12^0
10.2307/1216327|*Fossils|C0016614|5808|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|666^6^0;352^6^0;134^7^0
10.2307/1216327|*Plants|C0032098|2448|MH|RtM via: Plants|TI|MM;RC|673^6^0;359^6^0
10.2307/1216327|Phylogeny|C0031797|292|MH|||RC
10.2307/1216327|*Inclusion Bodies|C0007637|222|MH|RtM via: Inclusion Bodies|TI|MM|653^9^0;304^9^0
10.2307/1216139|*Pittosporum|C1001219|12226|ET|Entry Term Replacement for "Rosales";RtM via: Pittosporum;checkForceMH Boosted|TI|MM;RC|146^11^0
10.2307/1216139|*Pandanaceae|C0997268|10487|MH|RtM via: Pandanus;Forced Leaf Node Lookup:pandanus;checkForceMH Boosted|TI|MM|286^8^0
10.2307/1216139|*Bromeliaceae|C0997210|4521|MH|RtM via: Cryptanthus|TI|MM;RC|163^11^0
10.2307/1216139|*Lamiales|C1080876|3426|MH|RtM via: Sarmienta|TI|MM|181^9^0
10.2307/1216139|*Fabaceae|C0023263|1977|MH|RtM via: Erythrophleum|TI|MM|265^13^0
10.2307/1216139|*Loranthaceae|C0331014|1131|MH|RtM via: Loranthus|TI|MM;RC|112^9^0
10.2307/1216692|*Wood|C0043217|2275|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|663^5^0;606^5^0;474^4^0;53^4^0;112^4^0
10.2307/1216692|*Aprepitant|C1176306|470|MH|Forced Leaf Node Lookup:emend;checkForceMH Boosted|TI|MM|1017^5^0
10.2307/1216692|polyamide-ether-elastomer|C0637461|1108|NM|RtM via: Xylon|TI|MM|204^5^0
10.2307/1216692|*Nylons|C0028736|1107|HM|RtM via: Xylon|TI|MM|204^5^0
10.2307/1216692|*Ethers|C0014996|1092|HM|RtM via: Xylon|TI|MM|204^5^0
10.2307/1216692|*Environment|C0014406|594|MH|RtM via: Woods|TI|MM|663^5^0;606^5^0
10.2307/1216705|*Ascomycota|C0003965|6528|MH|RtM via: Epipolaeum;RtM via: Episphaerella;RtM via: Ascoma|TI|MM;RC|550^10^0;271^10^0;159^10^0;643^13^0;592^13^0;287^13^0;140^13^0;699^8^0
10.2307/1216705|*Spores, Fungal|C0038029|4242|MH|RtM via: Kingdom Fungi ascospore|TI|MM;RC|495^9^0
10.2307/1216705|*Color|C0009393|1218|MH|RtM via: Color|TI|MM;RC|505^5^0
10.2307/1216705|*Plant Leaves|C0242724|861|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|635^6^0
10.2307/1216705|*Habit|C0018464|162|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|422^5^0
10.2307/1217048|*Random Allocation|C0034656|25|MH|Forced Leaf Node Lookup:randomization|TI|MM|30^13^0
10.2307/1217048|Phylogeny|C0031797|24|MH|||RC
10.2307/1217532|*Legume|C0023263|20400|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:legumes|TI|MM;RC|706^6^0
10.2307/1217532|*Plant Proteins|C0032089|15828|MH|RtM via: Plant Proteins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plant proteins|TI|MM;RC|110^14^0
10.2307/1217532|*Isoenzymes|C0022173|12678|MH|RtM via: Isoenzymes;Forced Leaf Node Lookup:isozymes|TI|MM;RC|825^8^0
10.2307/1217532|*Acrylamide|C0050587|7833|MH|RtM via: Acrylamide;checkForceMH Boosted|TI|MM;RC|556^10^0;55^10^0
10.2307/1217532|*Electrophoresis|C0013855|10668|MH|RtM via: Gel Electrophoresis (lab technique);Forced Non-Leaf Node Lookup:electrophoresis|TI|MM;RC|327^19^0;331^15^0
10.2307/1217532|*Immunoelectrophoresis|C0020997|8982|MH|RtM via: immunoelectrophoresis|TI|MM|643^32^0
10.2307/1217532|Seeds|C0036563|1000|MH|Forced Non-Leaf Node Lookup:seed||MM|713^4^0
10.2307/1216382|Animals|C0003062|34326|CT|Life Cycles;CT Treecode Lookup: B05.500 (Life Cycles);Life Cycles;CT Treecode Lookup: G07.345.500.550.500 (Life Cycles)||MM;RC
10.2307/1216382|*Angiosperms|C0330209|33326|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM;RC|1762^11^0
10.2307/1216382|*Gossypium|C0010196|28573|MH|RtM via: Gossypium;Forced Leaf Node Lookup:gossypiums;checkForceMH Boosted|TI|MM;RC|1551^9^0;278^9^0
10.2307/1216382|*Malvaceae|C0524874|4926|MH|RtM via: Cienfuegosia|TI|MM|292^12^0
10.2307/1216382|*Life Cycles|C0023675|2997|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages|TI|MM|411^11^0
10.2307/1216406|*Flowering Plants|C0330209|12640|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM;RC|96^16^0
10.2307/1216406|Flowers|C0330090|552|MH|||RC
10.2307/1216408|*Engraving and Engravings|C0014287|3132|MH|RtM via: Engraving;Forced Leaf Node Lookup:engravings|TI|MM;RC|207^10^0
10.2307/1216408|*Copper|C0009968|336|MH|RtM via: Copper;Forced Leaf Node Lookup:copper;checkForceMH Boosted|TI|MM|200^6^0
10.2307/1216408|*Publications|C0034036|297|MH|RtM via: Scientific Publication;RtM via: Reprint|TI|MM|850^9^0;757^9^0;598^9^0;424^9^0;249^9^0;75^9^0;670^9^0
10.2307/1216408|*Nerve Tissue|C0027757|153|MH|RtM via: Fascicle - nerve fibers|TI|MM|97^9^0
10.2307/1216408|*Hand|C0018563|39|MH|RtM via: Palm of hand;RtM via: Palmar surface|TI|MM|864^4^0
10.2307/1216408|*Text Messaging|C3178908|39|MH|RtM via: Text Messages|TI|MM|647^4^0;374^4^0;236^4^0
10.2307/1216409|*Manilkara|C1092985|251761|MH|RtM via: Manilkara zapota;Forced Leaf Node Lookup:manilkara zapotas;Forced Leaf Node Lookup:sapodillas;Forced Leaf Node Lookup:sapotes;checkForceMH Boosted|TI|MM;RC|346^6^0;302^16^0;289^9^0;201^9^0;474^6^0;506^6^0;73^6^0;28^6^0
10.2307/1216409|*Pouteria|C1086529|165242|MH|RtM via: Pouteria sapota;Forced Leaf Node Lookup:pouteria sapotas;checkForceMH Boosted|TI|MM;RC|353^15^0;346^6^0
10.2307/1216409|*Drugs, Generic|C0085155|399|MH|RtM via: Generic Drugs|TI|MM|411^7^0;236^7^0
10.2307/1216409|Fruit|C0016767|392|MH|||RC
10.2307/1216409|*Names|C0027365|321|MH|RtM via: Name;RtM via: Person Name|TI|MM|451^5^0;276^4^0
10.2307/1216411|*Names|C0027365|687|MH|RtM via: Name;RtM via: Person Name|TI|MM|341^4^0;187^5^0;132^5^0
10.2307/1216411|*Publications|C0034036|465|MH|RtM via: Scientific Publication|TI|MM|193^9^0;138^9^0
10.2307/1216412|Philadelphia|C0031525|745|MH|RtM via: Philadelphia;Forced Leaf Node Lookup:philadelphia|TI|MM|385^12^0;233^12^0
10.2307/1216412|*Natural Sciences|C0678530|6828|ET|Entry Term Replacement for "Natural Science Disciplines";RtM via: Natural Science Disciplines;Forced Non-Leaf Node Lookup:natural sciences|TI|MM|365^16^0;213^16^0
10.2307/1216412|*Publication|C0034036|2856|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|477^10^0;530^11^0;166^9^0
10.2307/1216412|*Names|C0027365|2730|MH|RtM via: Name;RtM via: Person Name|TI|MM;RC|561^5^0;511^5^0
10.2307/1216412|*Academy|C0000876|1734|ET|Entry Term Replacement for "Academies and Institutes";RtM via: Academies|TI|MM|354^7^0;202^7^0
10.2307/1216412|California|C0006754|12|MH|RtM via: California|TI|MM|144^10^0
10.2307/1216414|Animals|C0003062|2779|CT|Bryozoa;CT Treecode Lookup: B01.050.500.217 (Bryozoa)||MM;RC
10.2307/1216414|*Ochnaceae|C1019593|1464|MH|RtM via: Ochnaceae;RtM via: Gomphia;RtM via: Campylospermum;Forced Leaf Node Lookup:ochnaceae;Forced Leaf Node Lookup:ochnas;checkForceMH Boosted|TI|MM|69^9^0;413^5^0;561^7^0;370^7^0;497^14^0
10.2307/1216414|*Confusion|C0009676|1779|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|159^9^0
10.2307/1216414|*Name|C0027365|507|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|492^4^0;357^12^0;32^12^0
10.2307/1216414|*Bryozoa|C0006328|438|MH|RtM via: Walkeria|TI|MM|223^8^0
10.2307/1216414|*Bryopsida|C0996526|36|MH|RtM via: Meesia|TI|MM|465^6^0;321^6^0;100^6^0
10.2307/1216951|*Electronic Data Processing|C0004374|4056|MH|RtM via: Automatic Data Processing;Forced Non-Leaf Node Lookup:electronic data processing|TI|MM;RC|639^3^0;545^3^0;156^3^0;51^26^0
10.2307/1216951|*Text Messaging|C3178908|1821|MH|RtM via: Text Messages|TI|MM|765^4^0
10.2307/1216951|*Questionnaire|C0034394|468|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Questionnaires|TI|MM|606^13^0
10.2307/1216952|Humans|C0086418|3607|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
10.2307/1216952|London|C0023973|346|MH|RtM via: London;Forced Leaf Node Lookup:london|TI|MM|367^6^0
10.2307/1216952|*Publication|C0034036|2607|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|317^11^0;65^9^0
10.2307/1216952|*Names|C0027365|2292|MH|RtM via: Name;RtM via: Person Name|TI|MM|483^5^0
10.2307/1216952|*Phoeniceae|C1095761|1740|MH|RtM via: Date Fruit|TI|MM|308^5^0
10.2307/1216952|*Ethnic Groups|C0015031|216|MH|RtM via: british|TI|MM|45^7^0
10.2307/1216953|*Phylogeny|C0031797|30515|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|30^12^0
10.2307/1216953|*Monarda|C1008031|23659|MH|RtM via: Monarda;Forced Leaf Node Lookup:monardas;checkForceMH Boosted|TI|MM|704^7^0;67^7^0
10.2307/1216953|*Biological Evolution|C0015219|25419|MH|RtM via: Biological Evolution|TI|MM;RC|758^12^0
10.2307/1216953|*Recognition, Psychology|C0524637|228|MH|RtM via: Recognition, Psychology|TI|MM|745^12^0
10.2307/1216953|*Abstracting and Indexing|C0000858|195|MH|RtM via: Index|TI|MM|253^5^0
10.2307/1216955|*Basidiomycota|C0004810|2145|MH|RtM via: Tomentella|TI|MM;RC|330^10^0;274^10^0;190^10^0;73^10^0
10.2307/1216955|*Ascomycota|C0003965|765|MH|RtM via: Italica|TI|MM|341^7^0
10.2307/1216143|*Artifacts|C0085089|1547|MH|RtM via: Morphologic artifacts;Forced Leaf Node Lookup:artefacts|TI|MM|343^8^0
10.2307/1216143|*Biological Evolution|C0015219|6873|MH|RtM via: Biological Evolution|TI|MM;RC|409^12^0;153^12^0
10.2307/1216143|*Computer Program|C0037585|4611|ET|Entry Term Replacement for "Software";RtM via: Computer software;Forced Non-Leaf Node Lookup:computer programs|TI|MM;RC|355^16^0
10.2307/1216143|*Discriminant Analysis|C0012630|2136|MH|RtM via: Discriminant Analysis|TI|MM|515^21^0;72^30^0
10.2307/1216145|*Plant|C0032098|2853|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|116^5^0
10.2307/1216145|*Plant Leaves|C0242724|2832|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|254^6^0
10.2307/1216145|*Edema|C0013604|255|MH|RtM via: Edema|TI|MM|54^8^0
10.2307/1216146|Greece|C0018226|191|MH|RtM via: Greeks;Forced Leaf Node Lookup:greeks|TI|MM;RC|520^5^0;267^5^0;309^5^0;341^5^0
10.2307/1216146|*Names|C0027365|3777|MH|RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|412^5^0;178^5^0;61^13^0
10.2307/1216146|Language|C0023008|152|MH|||RC
10.2307/1216146|*Brassicaceae|C0524824|33|MH|RtM via: Iti|TI|MM|356^4^0
10.2307/1216147|*Lichens|C0023657|41410|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|180^7^0
10.2307/1216147|*Cladosporium|C0008886|31345|MH|RtM via: Cladosporium;Forced Leaf Node Lookup:cladosporiums;checkForceMH Boosted|TI|MM;RC|266^18^0;272^12^0
10.2307/1216147|*Ascomycota|C0003965|22266|MH|RtM via: Racodium;RtM via: Zasmidium;RtM via: Zasmidium cellare|TI|MM;RC|38^8^0;357^9^0;218^16^0
10.2307/1216147|*Exanthema|C0015230|81|MH|RtM via: Lichen disease|TI|MM|180^7^0
